trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
ENSRNOT00000001367	19	32696455	32385962-32702947	overdominant	trans	7.13 	6.40 
ENSRNOT00000020932	7	142814056	134946880-142814056	overdominant	trans	7.12 	6.85 
ENSRNOT00000050181	2	229589975	228368625-230347311	dominant	trans	7.10 	11.02 
ENSRNOT00000037226	10	95647000	94751568-96053767	overdominant	trans	7.10 	6.59 
ENSRNOT00000006835	16	51533412	50690502-51533412	overdominant	trans	7.06 	7.30 
ENSRNOT00000051078	5	110700308	110700308-111549595	dominant	trans	7.06 	10.72 
ENSRNOT00000049100	6	60025463	59664792-60041609	overdominant	trans	7.04 	7.71 
ENSRNOT00000007354	1	137972604	137972604-137972604	overdominant	trans	7.02 	7.81 
ENSRNOT00000027978	20	37218207	27348592-37458838	dominant	trans	6.96 	9.81 
ENSRNOT00000044588	5	12208928	12208928-17019261	dominant	trans	6.96 	12.23 
ENSRNOT00000057874	15	54325958	54325958-54325958	dominant	trans	6.95 	8.81 
ENSRNOT00000047080	2	193569490	193546208-193569490	overdominant	trans	6.94 	6.73 
ENSRNOT00000015620	19	46124340	46004777-46233151	overdominant	trans	6.93 	6.33 
ENSRNOT00000010115	8	102062320	102062320-102062320	overdominant	trans	6.93 	6.35 
ENSRNOT00000012667	19	9077971	9077971-9097170	dominant	trans	6.92 	8.68 
ENSRNOT00000026231	18	1337316	1092559-2545215	overdominant	trans	6.91 	6.11 
ENSRNOT00000002890	11	63889775	63889775-64144210	overdominant	trans	6.90 	6.32 
ENSRNOT00000006876	13	44220731	44146184-44595624	overdominant	trans	6.90 	6.60 
ENSRNOT00000025821	5	30736607	30628547-31373812	dominant	trans	6.89 	9.45 
ENSRNOT00000050090	9	37178783	37178783-45848693	overdominant	trans	6.89 	6.16 
ENSRNOT00000057828	12	3676963	3676963-3676963	dominant	trans	6.88 	9.97 
ENSRNOT00000050433	2	31760142	31727160-32155579	overdominant	trans	6.88 	6.20 
ENSRNOT00000058171	20	14699866	14335448-14699866	overdominant	trans	6.86 	6.80 
ENSRNOT00000058694	11	71053497	71034573-71053497	overdominant	trans	6.83 	6.02 
ENSRNOT00000041817	6	144518380	144518380-144654370	dominant	trans	6.83 	8.49 
ENSRNOT00000056511	1	38902970	38158770-38939558	overdominant	trans	6.75 	5.95 
ENSRNOT00000018912	9	102590876	102486348-102713637	overdominant	trans	6.75 	6.25 
ENSRNOT00000065324	16	73692627	73692627-76205115	dominant	trans	6.75 	8.50 
ENSRNOT00000019211	1	100661098	100661098-100737568	overdominant	trans	6.75 	7.78 
ENSRNOT00000041565	16	87701823	87701823-87957105	overdominant	trans	6.75 	6.33 
ENSRNOT00000067750	8	102062320	102062320-102062320	overdominant	trans	6.74 	6.02 
ENSRNOT00000002669	18	54705777	54705777-56973315	dominant	trans	6.74 	8.63 
ENSRNOT00000046402	17	12595735	12595735-12648242	dominant	trans	6.74 	8.04 
ENSRNOT00000067095	2	88983392	88983392-89450353	overdominant	trans	6.73 	5.94 
ENSRNOT00000017146	14	17009940	16499505-17030630	dominant	trans	6.72 	8.16 
ENSRNOT00000003479	19	46104966	45941759-46245738	overdominant	trans	6.71 	5.91 
ENSRNOT00000010270	20	42973075	42458909-42975524	overdominant	trans	6.70 	6.17 
ENSRNOT00000056775	5	24691127	24691127-28881746	dominant	trans	6.69 	10.03 
ENSRNOT00000029140	10	108220705	107996584-109888770	overdominant	trans	6.69 	6.14 
ENSRNOT00000038353	11	40543286	37439965-40983511	dominant	trans	6.67 	7.76 
ENSRNOT00000054760	11	80694608	73004255-80816587	overdominant	trans	6.67 	5.92 
ENSRNOT00000030099	20	41209830	41209830-41209830	overdominant	trans	6.66 	6.63 
ENSRNOT00000044617	4	171866474	171866474-172028959	overdominant	trans	6.65 	6.71 
ENSRNOT00000025664	8	48017386	47630795-48114841	overdominant	trans	6.64 	6.07 
ENSRNOT00000016714	1	3728253	3170823-4004693	overdominant	trans	6.64 	5.89 
ENSRNOT00000021828	18	160642	160642-932913	dominant	trans	6.64 	9.79 
ENSRNOT00000019093	8	10739251	10361677-10828268	overdominant	trans	6.62 	5.81 
ENSRNOT00000022365	5	160623018	159874850-161008141	overdominant	trans	6.61 	5.87 
ENSRNOT00000047706	2	52777029	51820366-52777029	dominant	trans	6.61 	10.26 
ENSRNOT00000013275	17	33460935	33460935-34589433	overdominant	trans	6.60 	6.43 
ENSRNOT00000052351	5	154690167	154520152-154904660	overdominant	trans	6.60 	6.11 
ENSRNOT00000032989	6	53837816	53543012-53837816	overdominant	trans	6.59 	5.80 
ENSRNOT00000035335	5	161283636	161008141-161350863	overdominant	trans	6.59 	7.14 
ENSRNOT00000001532	18	21914044	21884577-22270507	overdominant	trans	6.58 	7.09 
ENSRNOT00000043079	3	145063931	145063931-145063931	overdominant	trans	6.57 	7.88 
ENSRNOT00000068119	2	242734834	242704639-244134301	overdominant	trans	6.57 	6.53 
ENSRNOT00000023856	9	6421529	6106393-6421529	overdominant	trans	6.54 	6.92 
ENSRNOT00000028690	6	5352855	5352855-5528512	overdominant	trans	6.54 	6.21 
ENSRNOT00000056265	6	7297135	7231513-9121981	overdominant	trans	6.54 	6.89 
ENSRNOT00000026794	2	197492453	197492453-197688392	overdominant	trans	6.52 	6.00 
ENSRNOT00000061567	6	7712366	7566326-9121981	overdominant	trans	6.51 	6.96 
ENSRNOT00000055971	7	127913106	127887130-128291673	overdominant	trans	6.51 	5.81 
ENSRNOT00000041731	10	15792386	13417085-93208296	overdominant	trans	6.50 	5.75 
ENSRNOT00000014449	2	192787627	192787627-193608621	overdominant	trans	6.49 	5.69 
ENSRNOT00000001551	15	75143909	74729124-75143909	overdominant	trans	6.48 	5.78 
ENSRNOT00000047976	17	33361289	32943834-35176831	overdominant	trans	6.48 	5.77 
ENSRNOT00000046035	20	12229318	12229318-12233352	overdominant	trans	6.48 	6.52 
ENSRNOT00000042130	7	28188693	27428266-28229334	overdominant	trans	6.47 	6.05 
ENSRNOT00000027710	15	84900526	84792736-84900526	overdominant	trans	6.46 	5.74 
ENSRNOT00000001334	3	134313455	133863883-134313455	overdominant	trans	6.46 	7.34 
ENSRNOT00000024167	1	202048821	202048821-202058767	dominant	trans	6.46 	9.58 
ENSRNOT00000023902	19	46124340	46004777-46245738	overdominant	trans	6.45 	5.69 
ENSRNOT00000025137	19	56450818	56450818-56450818	dominant	trans	6.45 	11.37 
ENSRNOT00000052393	19	46245738	46104966-46245738	overdominant	trans	6.45 	5.71 
ENSRNOT00000001807	13	51485686	50889870-51740265	overdominant	trans	6.44 	5.66 
ENSRNOT00000026864	6	114402701	114377353-114403559	dominant	trans	6.44 	8.37 
ENSRNOT00000022396	13	69371726	69371726-69379848	overdominant	trans	6.44 	5.74 
ENSRNOT00000029783	2	247805336	247805336-248039896	dominant	trans	6.44 	8.01 
ENSRNOT00000034495	5	2241369	106953-2659999	overdominant	trans	6.44 	5.73 
ENSRNOT00000015624	11	86468362	84959479-87675529	overdominant	trans	6.43 	5.80 
ENSRNOT00000006506	7	97361007	95502632-97886345	dominant	cis	6.42 	7.46 
ENSRNOT00000030470	7	60636124	60022864-60674207	overdominant	trans	6.42 	7.23 
ENSRNOT00000061303	13	94522479	94138325-94522479	dominant	trans	6.41 	7.80 
ENSRNOT00000009535	10	54855702	54855702-55194099	overdominant	trans	6.41 	7.06 
ENSRNOT00000003378	15	25655194	25462267-25655194	overdominant	trans	6.41 	5.64 
ENSRNOT00000056930	17	33460935	32969493-35176831	overdominant	trans	6.40 	5.60 
ENSRNOT00000047713	20	27415172	25112799-37668161	overdominant	trans	6.39 	7.22 
ENSRNOT00000021828	16	77672938	77545318-77838953	dominant	trans	6.38 	9.70 
ENSRNOT00000043163	2	40840999	40840999-40851618	overdominant	trans	6.38 	5.86 
ENSRNOT00000057307	8	102062320	102062320-102062320	overdominant	trans	6.38 	5.61 
ENSRNOT00000041735	18	21914044	21884577-22270507	overdominant	trans	6.38 	5.71 
ENSRNOT00000043351	14	70268406	28723182-70268406	overdominant	trans	6.37 	5.72 
ENSRNOT00000028660	19	45941759	45268621-46284235	overdominant	trans	6.37 	5.82 
ENSRNOT00000068573	3	134706492	134655230-135261385	overdominant	trans	6.37 	5.59 
ENSRNOT00000065531	17	42113602	42113602-46219648	overdominant	trans	6.37 	5.68 
ENSRNOT00000064271	3	155623357	11005002-155666339	overdominant	trans	6.36 	5.60 
ENSRNOT00000039190	11	84845094	84845094-84846953	dominant	trans	6.36 	8.43 
ENSRNOT00000056543	3	112321484	111968392-112652899	overdominant	trans	6.36 	5.60 
ENSRNOT00000010002	5	7382406	4157950-8430887	overdominant	trans	6.34 	5.55 
ENSRNOT00000042699	5	24884086	24835704-24886890	dominant	trans	6.34 	7.41 
ENSRNOT00000000369	8	93960808	93960808-94665445	dominant	trans	6.33 	9.19 
ENSRNOT00000055839	8	98259952	98259952-98327258	overdominant	trans	6.33 	5.55 
ENSRNOT00000059393	1	19180800	19180800-19408182	dominant	trans	6.33 	7.36 
ENSRNOT00000003498	16	82922481	82922481-82978304	overdominant	trans	6.33 	6.34 
ENSRNOT00000060822	15	84900526	84792736-84900526	overdominant	trans	6.33 	5.63 
ENSRNOT00000047448	2	152885737	142831346-152885737	overdominant	trans	6.32 	6.85 
ENSRNOT00000068655	1	231471431	87328932-232353893	overdominant	trans	6.32 	5.54 
ENSRNOT00000048784	10	34881504	34881504-35148062	overdominant	trans	6.31 	5.71 
ENSRNOT00000058024	17	13943451	13874825-15522918	overdominant	trans	6.31 	5.87 
ENSRNOT00000065459	14	13784035	13784035-13784035	overdominant	trans	6.30 	5.59 
ENSRNOT00000064680	11	83542725	83542725-84169588	overdominant	trans	6.30 	6.32 
ENSRNOT00000026224	8	102062320	102062320-102062320	overdominant	trans	6.30 	5.75 
ENSRNOT00000010417	6	10780445	10780445-10780445	overdominant	trans	6.30 	5.58 
ENSRNOT00000011639	14	88417850	88329327-89150139	overdominant	trans	6.30 	6.13 
ENSRNOT00000047813	11	84964865	82750989-87346926	overdominant	trans	6.29 	5.68 
ENSRNOT00000015388	1	196939787	196939787-197094662	overdominant	trans	6.29 	7.38 
ENSRNOT00000020851	2	245619696	245561602-245664575	overdominant	trans	6.29 	7.78 
ENSRNOT00000040985	17	70955688	70870610-71976038	overdominant	trans	6.28 	5.80 
ENSRNOT00000039067	2	24976778	24976778-25048979	overdominant	trans	6.28 	5.57 
ENSRNOT00000059779	5	15920602	15220264-16246111	overdominant	trans	6.28 	5.52 
ENSRNOT00000023390	4	134497039	134497039-135038316	dominant	trans	6.28 	7.29 
ENSRNOT00000006073	16	55402135	54917943-55402135	overdominant	trans	6.27 	5.76 
ENSRNOT00000050930	2	89820883	89738280-89969693	overdominant	trans	6.26 	5.76 
ENSRNOT00000033434	14	15117205	15117205-15117205	overdominant	trans	6.26 	5.79 
ENSRNOT00000065154	16	4280046	4280046-4280046	dominant	trans	6.26 	8.37 
ENSRNOT00000010365	18	60199425	59678191-70035676	overdominant	trans	6.26 	5.50 
ENSRNOT00000046866	13	54714960	54714960-54823623	dominant	trans	6.26 	8.93 
ENSRNOT00000019780	3	14984971	14984971-16500266	overdominant	trans	6.25 	7.19 
ENSRNOT00000017029	1	242166710	240722760-242166710	overdominant	trans	6.25 	5.49 
ENSRNOT00000016597	10	103949455	103949455-103949455	overdominant	trans	6.24 	5.47 
ENSRNOT00000026908	4	6204872	5106087-6204872	overdominant	trans	6.24 	5.49 
ENSRNOT00000035838	13	59764868	59764868-59830910	overdominant	trans	6.24 	5.44 
ENSRNOT00000033687	2	25048979	24976778-25048979	overdominant	trans	6.24 	5.51 
ENSRNOT00000006210	15	1779347	488463-3580546	overdominant	trans	6.23 	5.94 
ENSRNOT00000063872	6	45560437	45261120-45669015	overdominant	trans	6.23 	5.58 
ENSRNOT00000066120	17	39396542	39396542-39396542	overdominant	trans	6.23 	6.36 
ENSRNOT00000063904	8	15301811	14546249-19466617	overdominant	trans	6.23 	5.64 
ENSRNOT00000061932	2	211376494	211376494-211376494	overdominant	trans	6.22 	6.06 
ENSRNOT00000001464	1	196175892	196175892-197094662	overdominant	trans	6.22 	6.79 
ENSRNOT00000010924	13	70201616	70201616-106825299	overdominant	trans	6.21 	5.47 
ENSRNOT00000066662	5	161396749	62483950-161442263	overdominant	trans	6.21 	5.42 
ENSRNOT00000067667	7	139169613	139169613-139487467	dominant	trans	6.21 	8.69 
ENSRNOT00000035650	1	257977368	257629620-258527787	overdominant	trans	6.21 	5.50 
ENSRNOT00000066462	1	257977368	257629620-258527787	overdominant	trans	6.21 	5.50 
ENSRNOT00000059355	5	28881746	25075768-28881746	overdominant	trans	6.20 	6.77 
ENSRNOT00000032147	17	33460935	33361289-36604748	overdominant	trans	6.20 	5.45 
ENSRNOT00000001661	7	115123441	115123441-115362484	dominant	trans	6.20 	10.65 
ENSRNOT00000068494	6	144670668	144670668-144700949	dominant	trans	6.19 	8.07 
ENSRNOT00000012321	6	34284445	34065743-54927762	overdominant	trans	6.19 	5.41 
ENSRNOT00000047706	16	76234005	4475660-76590623	overdominant	trans	6.19 	5.97 
ENSRNOT00000015065	16	53378048	52677122-55002540	overdominant	trans	6.18 	6.58 
ENSRNOT00000055165	17	34541827	33460935-36495539	overdominant	trans	6.18 	5.67 
ENSRNOT00000051841	17	68645754	68645754-68706321	overdominant	trans	6.18 	6.80 
ENSRNOT00000010588	3	161938430	161793843-161939935	overdominant	trans	6.18 	6.96 
ENSRNOT00000066613	8	102062320	102062320-102062320	overdominant	trans	6.18 	5.40 
ENSRNOT00000017714	2	214256669	213713650-214413621	overdominant	trans	6.17 	5.38 
ENSRNOT00000045491	6	116373124	116373124-116532599	overdominant	trans	6.17 	5.39 
ENSRNOT00000066750	3	77679140	75559237-77913174	overdominant	trans	6.17 	6.12 
ENSRNOT00000012161	13	34413360	34141314-36386186	overdominant	trans	6.17 	5.54 
ENSRNOT00000001200	20	25112799	25112799-37668161	dominant	trans	6.16 	8.86 
ENSRNOT00000056513	1	44356459	44356459-45058564	overdominant	trans	6.16 	5.45 
ENSRNOT00000068218	2	83220793	83220793-90359104	overdominant	trans	6.16 	5.89 
ENSRNOT00000058619	17	70062280	70055932-70867923	overdominant	trans	6.15 	5.37 
ENSRNOT00000047564	4	171311289	171311289-172049205	overdominant	trans	6.15 	5.75 
ENSRNOT00000015889	20	6194745	5999888-7791283	overdominant	trans	6.15 	5.70 
ENSRNOT00000031432	9	84096053	14008041-84719922	overdominant	trans	6.15 	5.35 
ENSRNOT00000008868	10	82079017	81392700-84302383	overdominant	trans	6.15 	5.57 
ENSRNOT00000015955	2	163297070	158297986-212121364	overdominant	trans	6.14 	5.34 
ENSRNOT00000065382	6	144518380	144518380-144654370	dominant	trans	6.13 	8.18 
ENSRNOT00000039621	2	205639084	205425025-206539640	overdominant	trans	6.13 	5.69 
ENSRNOT00000061031	9	91818441	91818441-91818441	overdominant	trans	6.13 	5.95 
ENSRNOT00000001953	2	25048979	24976778-25048979	overdominant	trans	6.13 	5.38 
ENSRNOT00000034377	11	68011450	68011450-68011450	overdominant	trans	6.13 	6.22 
ENSRNOT00000011883	19	54649066	53631063-54917075	overdominant	trans	6.12 	7.73 
ENSRNOT00000050969	5	28881746	24908648-28881746	overdominant	trans	6.12 	6.81 
ENSRNOT00000042369	10	76770830	76727870-77260233	overdominant	trans	6.12 	7.11 
ENSRNOT00000009319	8	4785040	3620213-5571420	overdominant	trans	6.12 	6.00 
ENSRNOT00000051653	19	46124340	46004777-46233151	overdominant	trans	6.12 	5.47 
ENSRNOT00000065211	2	40846770	40840999-40851618	overdominant	trans	6.12 	5.41 
ENSRNOT00000065508	2	257782631	257292686-258173262	overdominant	trans	6.11 	6.94 
ENSRNOT00000007963	17	33361289	32943834-36295043	overdominant	trans	6.11 	5.35 
ENSRNOT00000020965	13	77949241	77949241-77949241	dominant	trans	6.11 	7.63 
ENSRNOT00000000509	2	40846770	40840999-206162561	overdominant	trans	6.10 	5.75 
ENSRNOT00000045495	13	109090322	58226526-110964094	overdominant	trans	6.09 	5.50 
ENSRNOT00000067422	13	109090322	58226526-110964094	overdominant	trans	6.09 	5.50 
ENSRNOT00000068748	13	109090322	58226526-110964094	overdominant	trans	6.09 	5.50 
ENSRNOT00000022249	1	137886109	136153021-137897362	overdominant	trans	6.09 	5.31 
ENSRNOT00000061201	13	108633657	108633657-110964094	overdominant	trans	6.09 	5.31 
ENSRNOT00000039713	5	3548981	3548981-4241129	overdominant	trans	6.08 	7.59 
ENSRNOT00000003918	17	82906608	82906608-83701261	dominant	trans	6.08 	7.85 
ENSRNOT00000014349	2	54091070	42566354-82962451	overdominant	trans	6.08 	5.37 
ENSRNOT00000068559	14	66664542	65189981-66994495	overdominant	trans	6.08 	5.28 
ENSRNOT00000002664	12	26969334	26910682-26969334	overdominant	trans	6.07 	6.29 
ENSRNOT00000002799	5	34289995	34289995-34289995	overdominant	trans	6.07 	5.57 
ENSRNOT00000010993	3	16507237	16507237-46711800	overdominant	trans	6.07 	5.28 
ENSRNOT00000004248	2	25048979	24976778-25048979	overdominant	trans	6.07 	5.28 
ENSRNOT00000004546	11	71162359	71141695-71162359	overdominant	trans	6.07 	5.29 
ENSRNOT00000034670	17	32669780	32665582-32670028	overdominant	trans	6.06 	6.24 
ENSRNOT00000027000	19	26644422	13983946-26686500	overdominant	trans	6.06 	5.74 
ENSRNOT00000026765	3	143452300	142933867-144163724	overdominant	trans	6.06 	5.39 
ENSRNOT00000064629	18	70883914	70883914-70883914	overdominant	trans	6.05 	6.78 
ENSRNOT00000039295	9	55253132	55253132-55650584	dominant	trans	6.05 	8.98 
ENSRNOT00000064929	18	3769971	3556753-5160603	dominant	trans	6.05 	8.39 
ENSRNOT00000013197	2	221025164	220093375-221403841	overdominant	trans	6.04 	5.26 
ENSRNOT00000010558	4	61549196	59022653-61613628	overdominant	trans	6.04 	5.25 
ENSRNOT00000064211	9	40196824	39978800-41303825	overdominant	trans	6.04 	5.40 
ENSRNOT00000000453	9	69793546	68042762-70496491	dominant	trans	6.04 	9.02 
ENSRNOT00000012234	18	20609639	20248033-20902008	overdominant	trans	6.04 	5.61 
ENSRNOT00000015818	5	70554910	70513564-70709900	overdominant	trans	6.03 	5.99 
ENSRNOT00000011610	6	94869483	94869483-95714057	overdominant	trans	6.03 	5.28 
ENSRNOT00000052149	1	206009746	205135392-206009746	overdominant	trans	6.03 	5.35 
ENSRNOT00000064118	5	60228119	58523631-61133928	overdominant	trans	6.02 	5.34 
ENSRNOT00000033160	3	130846666	128039104-130846666	overdominant	trans	6.02 	5.71 
ENSRNOT00000031993	17	72703164	72690964-72810414	dominant	trans	6.01 	7.71 
ENSRNOT00000012846	3	162538982	162146924-162787887	overdominant	trans	6.01 	5.48 
ENSRNOT00000024082	3	9280118	7246269-134605983	overdominant	trans	6.01 	5.23 
ENSRNOT00000036959	8	102062320	102062320-102062320	overdominant	trans	6.01 	5.24 
ENSRNOT00000034642	7	67577494	66833375-67577494	dominant	trans	6.01 	8.54 
ENSRNOT00000023480	1	4906309	4712354-153217960	overdominant	trans	6.00 	5.22 
ENSRNOT00000004153	6	104331267	104331267-105053738	overdominant	trans	6.00 	6.15 
ENSRNOT00000033934	10	95978778	95393104-96053767	overdominant	trans	5.99 	5.59 
ENSRNOT00000055310	9	45848693	37178783-45848693	overdominant	trans	5.99 	6.42 
ENSRNOT00000008120	19	46104966	45941759-46284235	overdominant	trans	5.99 	5.24 
ENSRNOT00000010762	18	9096830	3739457-13639446	overdominant	trans	5.99 	5.37 
ENSRNOT00000065744	4	5659266	4947463-6204872	overdominant	trans	5.99 	5.59 
ENSRNOT00000027596	17	63977366	63741908-63977366	overdominant	trans	5.98 	5.59 
ENSRNOT00000048455	14	89173273	7065439-91042051	overdominant	trans	5.98 	5.20 
ENSRNOT00000045347	7	118164046	118090714-118164046	dominant	trans	5.98 	8.10 
ENSRNOT00000057295	2	40846770	40840999-40851618	overdominant	trans	5.98 	5.20 
ENSRNOT00000008023	3	49393201	49393201-49393201	overdominant	trans	5.98 	8.03 
ENSRNOT00000017918	19	46004777	46004777-46403044	overdominant	trans	5.98 	5.46 
ENSRNOT00000014230	19	46004777	46004777-46233151	overdominant	trans	5.98 	5.43 
ENSRNOT00000047041	2	43210767	43210767-43210767	overdominant	trans	5.98 	5.88 
ENSRNOT00000051638	4	136926134	135972782-137504291	overdominant	trans	5.98 	5.24 
ENSRNOT00000034519	15	76208655	75930162-76477748	overdominant	trans	5.97 	5.44 
ENSRNOT00000046378	5	73844837	73471975-74865975	overdominant	trans	5.97 	5.26 
ENSRNOT00000023899	11	68011450	43788700-68011450	overdominant	trans	5.97 	5.21 
ENSRNOT00000065112	19	33952904	33952904-34510520	overdominant	trans	5.97 	5.91 
ENSRNOT00000045347	6	74880022	74880022-75791947	dominant	trans	5.97 	9.00 
ENSRNOT00000026887	8	82383152	82383152-83122472	overdominant	trans	5.97 	5.75 
ENSRNOT00000003620	1	19179808	19179808-20222743	overdominant	trans	5.96 	5.32 
ENSRNOT00000060139	6	72949217	72949217-73089070	overdominant	trans	5.96 	5.33 
ENSRNOT00000039803	1	257492679	257158032-257492679	overdominant	trans	5.96 	5.18 
ENSRNOT00000055296	20	27415172	25112799-37668161	overdominant	trans	5.96 	6.71 
ENSRNOT00000058246	17	40420539	40008037-40521460	overdominant	trans	5.96 	6.64 
ENSRNOT00000013569	6	40837428	40763215-43246721	overdominant	trans	5.96 	5.25 
ENSRNOT00000061027	4	161405551	161395418-162340768	dominant	trans	5.96 	9.53 
ENSRNOT00000063901	19	46104966	45268621-46672967	overdominant	trans	5.96 	5.17 
ENSRNOT00000009712	6	58669589	55406785-59145299	overdominant	trans	5.95 	6.23 
ENSRNOT00000007788	3	144058229	144058229-144163724	overdominant	trans	5.95 	5.23 
ENSRNOT00000066444	8	106637949	106427055-109456220	overdominant	trans	5.95 	5.24 
ENSRNOT00000019662	3	144058229	78296230-144163724	overdominant	trans	5.95 	5.28 
ENSRNOT00000057872	15	18901755	18901755-21331891	overdominant	trans	5.95 	5.16 
ENSRNOT00000044431	4	95128020	95128020-95171096	overdominant	trans	5.94 	5.18 
ENSRNOT00000033078	1	213210268	213210268-213210268	dominant	trans	5.94 	9.78 
ENSRNOT00000025531	18	53698429	19263563-53698429	overdominant	trans	5.94 	5.17 
ENSRNOT00000026047	6	144057711	137681159-144134813	overdominant	trans	5.94 	5.15 
ENSRNOT00000044871	15	84906378	84739350-84906378	overdominant	trans	5.94 	5.21 
ENSRNOT00000022241	9	45848693	45848693-45848693	overdominant	trans	5.93 	6.30 
ENSRNOT00000044642	4	185848866	185271200-186013628	overdominant	trans	5.93 	5.54 
ENSRNOT00000011168	1	100195114	99821270-100212453	overdominant	trans	5.93 	6.38 
ENSRNOT00000033835	16	77147524	76205115-77337645	overdominant	trans	5.93 	5.71 
ENSRNOT00000005157	10	104024935	103973684-104767670	overdominant	trans	5.93 	5.27 
ENSRNOT00000064634	1	54325182	54200994-54461578	overdominant	trans	5.92 	5.33 
ENSRNOT00000035783	15	75143909	75143909-75143909	dominant	trans	5.92 	7.34 
ENSRNOT00000030604	1	20256019	19678465-20256019	overdominant	trans	5.91 	5.31 
ENSRNOT00000068625	19	46124340	46004777-46233151	overdominant	trans	5.91 	5.18 
ENSRNOT00000055553	5	112958551	112119096-113635811	overdominant	trans	5.91 	5.74 
