trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
LUNG.express.scl34879.6.1_29.S	1	94034705	94034705-94034705	overdominant	trans	6.31 	5.56 
LUNG.express.GI_38075688.S	9	118729237	118729237-118729237	overdominant	trans	6.31 	5.82 
LUNG.express.scl46058.1.690_159.S	6	112474354	112474354-112474354	overdominant	trans	6.30 	5.52 
LUNG.express.GI_38090516.S	11	38616731	38616731-46978283	overdominant	trans	6.30 	5.82 
LUNG.express.ri.1700086D15.ZX00076J18.AK007013.1092.S	5	21254489	21119963-21773079	overdominant	trans	6.29 	5.51 
LUNG.express.scl0076826.1_48.S	18	55645310	55645310-55645310	overdominant	trans	6.28 	5.59 
LUNG.express.scl00107684.1_165.S	15	89984569	89984569-90596857	overdominant	trans	6.27 	5.69 
LUNG.express.GI_38080559.S	1	153102842	153102842-153102842	overdominant	NA	6.27 	6.20 
LUNG.express.GI_6755065.S	9	45240427	44657615-45240427	overdominant	trans	6.27 	5.52 
LUNG.express.scl0227634.1_319.S	7	103902463	103902463-104154190	overdominant	trans	6.26 	5.57 
LUNG.express.scl070222.2_44.S	1	45969119	44144743-45969119	overdominant	trans	6.26 	5.84 
LUNG.express.scl19157.1.1_197.S	6	73258104	73258104-75750449	overdominant	trans	6.25 	5.45 
LUNG.express.scl18227.6.1_62.S	1	45969119	44144743-45969119	overdominant	trans	6.24 	5.45 
LUNG.express.scl0073385.1_119.S	5	55122580	55122580-55122580	overdominant	NA	6.23 	6.04 
LUNG.express.scl017843.3_24.S	13	11193693	11193693-11898065	overdominant	trans	6.21 	5.43 
LUNG.express.scl0015006.1_287.S	6	93599787	93599787-93599787	overdominant	trans	6.18 	5.64 
LUNG.express.ri.B930072B04.PX00665E16.AK081033.1928.S	1	191159138	191159138-191159138	overdominant	NA	6.16 	5.43 
LUNG.express.scl0004058.1_1.S	11	13574320	12193199-14278667	overdominant	trans	6.15 	5.36 
LUNG.express.scl50590.2_200.S	9	112348235	112348235-112348235	overdominant	trans	6.13 	5.67 
LUNG.express.ri.A430080K08.PX00138I05.AK040251.3127.S	5	65220801	65141892-65220801	overdominant	trans	6.13 	5.34 
LUNG.express.scl40239.15.8_12.S	14	61173577	60980844-61919288	overdominant	trans	6.12 	5.33 
LUNG.express.scl0068014.2_271.S	10	98705083	98705083-124928036	overdominant	trans	6.11 	5.51 
LUNG.express.scl25206.6.1_30.S	18	82409897	82409897-82628832	overdominant	trans	6.10 	5.81 
LUNG.express.ri.C230066C21.PX00175D01.AK048784.2229.S	8	6461410	6084824-6886944	overdominant	trans	6.09 	5.30 
LUNG.express.ri.B930001A02.PX00162N04.AK046885.2722.S	17	27109862	26950847-27109862	overdominant	trans	6.09 	5.32 
LUNG.express.scl0068395.1_77.S	17	35338547	32598076-35338547	partial-dominant	cis	6.07 	20.62 
LUNG.express.scl0015130.1_284.S	7	109389714	109151732-111297435	partial-dominant	NA	6.07 	22.83 
LUNG.express.GI_38077598.S	7	38581915	38581915-47419364	overdominant	NA	6.06 	5.30 
LUNG.express.ri.D130012J16.PX00182K18.AK051186.1345.S	9	115064991	115064991-115064991	overdominant	trans	6.05 	5.33 
LUNG.express.scl00319329.1_235.S	14	120370854	120370854-120370854	overdominant	trans	6.05 	5.45 
LUNG.express.scl54223.9_256.S	7	103902463	103902463-104154190	overdominant	trans	6.04 	5.27 
LUNG.express.scl8880.1.1_324.S	11	110041474	110041474-110456590	overdominant	trans	6.04 	5.31 
LUNG.express.scl0002099.1_352.S	9	43879730	43405505-45240427	overdominant	trans	6.02 	5.50 
LUNG.express.ri.2610312E17.ZX00062G17.AK012014.1096.S	8	103943744	101829690-105061956	overdominant	trans	6.01 	5.32 
LUNG.express.scl28494.5_15.S	15	29961592	29562072-29961592	overdominant	trans	5.99 	5.34 
LUNG.express.scl00040.1_6.S	7	103902463	103902463-104154190	overdominant	trans	5.99 	5.31 
LUNG.express.scl0020782.1_0.S	18	57963768	57963768-61540914	overdominant	NA	5.99 	5.22 
LUNG.express.scl40040.13.1_25.S	7	65717422	65717422-65964613	overdominant	trans	5.99 	6.28 
LUNG.express.scl22733.6.2_0.S	11	30780122	30780122-30780122	overdominant	trans	5.99 	5.25 
LUNG.express.scl0016687.2_101.S	1	191933702	191933702-191933702	overdominant	NA	5.98 	5.23 
LUNG.express.scl35313.16.1_55.S	15	22448859	22448859-22448859	overdominant	trans	5.98 	5.22 
LUNG.express.ri.A130073F08.PX00125M21.AK038038.4012.S	6	50950045	50950045-50950045	overdominant	trans	5.97 	5.79 
LUNG.express.scl014897.1_33.S	7	103902463	103902463-104154190	overdominant	trans	5.97 	5.18 
LUNG.express.scl0003808.1_9.S	3	118561493	118289974-118561493	overdominant	trans	5.96 	5.18 
LUNG.express.scl52228.8_235.S	13	9569969	6905961-11529188	overdominant	trans	5.95 	5.17 
LUNG.express.scl38489.11_9.S	9	37895400	36242104-38326689	overdominant	trans	5.94 	5.16 
LUNG.express.scl0014964.1_100.S	17	35276617	35276617-35276617	partial-dominant	NA	5.93 	33.73 
LUNG.express.scl51507.12.1_81.S	11	58057719	58057719-58057719	overdominant	trans	5.93 	5.21 
LUNG.express.ri.5330440O04.PX00054H12.AK030642.2193.S	9	111095398	111095398-111095398	overdominant	trans	5.93 	5.47 
LUNG.express.scl0001215.1_7.S	7	103902463	103902463-104154190	overdominant	trans	5.92 	6.02 
LUNG.express.scl23222.4_222.S	1	76386570	76386570-76386570	overdominant	trans	5.91 	6.08 
LUNG.express.scl40497.6_233.S	12	118579723	59183396-118579723	overdominant	trans	5.91 	5.22 
LUNG.express.ri.1700012M13.ZX00036J16.AK005924.1026.S	17	27109862	26950847-27109862	overdominant	trans	5.90 	5.46 
LUNG.express.scl0020429.2_241.S	17	38319010	37658709-38563538	overdominant	trans	5.90 	5.11 
LUNG.express.gi_31981889_ref_NM_009735.2__43_a_28_0.S	12	26165733	26165733-26165733	overdominant	NA	5.89 	5.16 
LUNG.express.X9627947_61.S	17	33155241	32598076-36684309	overdominant	NA	5.88 	5.12 
LUNG.express.scl2363.1.1_330.S	5	33660047	33660047-33660047	overdominant	trans	5.88 	5.11 
LUNG.express.ri.2700031B12.ZX00063G16.AK012306.1196.S	16	66872882	64571912-68820283	overdominant	trans	5.87 	5.11 
LUNG.express.scl52624.2.97_42.S	18	34134869	33291740-34134869	overdominant	trans	5.87 	5.11 
LUNG.express.scl0052683.1_230.S	8	17575078	16859046-18055828	overdominant	trans	5.86 	5.21 
LUNG.express.scl0003768.1_149.S	4	97313214	97313214-97964229	overdominant	trans	5.86 	5.23 
LUNG.express.scl016619.3_29.S	3	131729777	131504917-131729777	overdominant	NA	5.86 	5.56 
LUNG.express.GI_12313876.S	10	22640984	22640984-22961250	overdominant	trans	5.86 	5.40 
LUNG.express.scl45217.22.1_37.S	7	103902463	103902463-104154190	overdominant	trans	5.85 	5.06 
LUNG.express.scl51175.1.1_77.S	13	72990649	72990649-73846529	overdominant	trans	5.85 	5.08 
LUNG.express.scl51401.1.1_291.S	12	91946483	91946483-93658977	overdominant	trans	5.84 	5.06 
LUNG.express.scl17201.4.1_50.S	1	191982649	132747429-192407631	overdominant	trans	5.84 	5.11 
LUNG.express.scl26460.30.1_15.S	1	35090385	35090385-35090385	overdominant	trans	5.84 	5.06 
LUNG.express.scl38789.2.1_41.S	5	21329698	21254489-21773079	overdominant	trans	5.84 	5.51 
LUNG.express.GI_38094046.S	13	108070177	108016705-108070177	overdominant	NA	5.83 	5.09 
LUNG.express.scl6689.1.1_19.S	7	140189738	140189738-140189738	overdominant	trans	5.83 	5.05 
LUNG.express.scl18531.6.1_97.S	14	11312893	11312893-13378431	overdominant	trans	5.83 	5.04 
LUNG.express.scl0319996.20_16.S	7	103902463	98058765-104154190	overdominant	trans	5.83 	5.04 
LUNG.express.scl000499.1_2.S	8	127970908	125071460-128733570	overdominant	trans	5.82 	5.11 
LUNG.express.GI_22122486.S	8	79159764	79159764-79535417	overdominant	trans	5.82 	5.10 
LUNG.express.scl0106042.1_246.S	1	178114736	178114736-178859245	overdominant	trans	5.81 	5.52 
LUNG.express.NM_011602.28_chr4_._42386699_42386819_48.S	7	62761433	62761433-63388010	overdominant	NA	5.81 	5.38 
LUNG.express.scl27250.2_266.S	15	51102628	50416638-51159618	overdominant	trans	5.81 	5.34 
LUNG.express.GI_38079577.S	9	105393892	104015736-105393892	overdominant	NA	5.80 	5.83 
LUNG.express.scl32748.6.1_58.S	18	85689414	85689414-86749571	overdominant	trans	5.78 	5.09 
LUNG.express.IGLV2_J00599_Ig_lambda_variable_2_12.S	2	6232263	6232263-6232263	overdominant	trans	5.77 	5.19 
LUNG.express.scl0011308.2_118.S	9	118729237	118729237-118729237	overdominant	trans	5.77 	5.48 
LUNG.express.ri.A830062E06.PX00156C19.AK043977.1752.S	7	79721905	77988727-79935065	overdominant	NA	5.77 	5.10 
LUNG.express.scl42009.20.1_59.S	8	16859046	16859046-17948485	overdominant	trans	5.77 	5.01 
LUNG.express.ri.2610036C07.ZX00034K24.AK011690.1158.S	4	26576934	24030820-27943470	overdominant	NA	5.77 	5.32 
LUNG.express.gi_31981422_ref_NM_011740.2__20_d_1_0.S	11	104889656	104889656-104889656	overdominant	NA	5.77 	5.18 
LUNG.express.scl47815.11_6.S	5	55122580	55122580-55122580	overdominant	trans	5.77 	5.74 
LUNG.express.scl8638.1.1_202.S	9	57666627	57666627-57836554	overdominant	trans	5.76 	5.13 
LUNG.express.GI_38090025.S	4	86870741	86870741-86870741	overdominant	NA	5.76 	5.05 
LUNG.express.scl00231659.1_48.S	1	191177832	191159138-191177832	overdominant	trans	5.76 	5.23 
LUNG.express.scl0002434.1_7.S	11	104889656	104889656-104889656	overdominant	trans	5.75 	5.70 
LUNG.express.RandomSeq28.S	5	48067756	46470610-48322774	overdominant	NA	5.75 	4.97 
LUNG.express.scl40512.21.1_20.S	7	62761433	62761433-63388010	overdominant	trans	5.75 	5.07 
LUNG.express.scl38279.2_20.S	13	70728610	70728610-70728610	overdominant	trans	5.74 	4.97 
LUNG.express.GI_38086729.S	7	86268245	86268245-86268245	overdominant	trans	5.74 	4.99 
LUNG.express.scl30718.8_25.S	6	55120566	54130645-57059937	overdominant	trans	5.74 	5.00 
LUNG.express.scl0077611.1_159.S	10	119645931	119645931-119844777	overdominant	trans	5.73 	4.95 
LUNG.express.scl25307.10.1_185.S	9	104015736	104015736-105393892	overdominant	trans	5.72 	4.98 
LUNG.express.scl00116731.1_145.S	8	77933574	77933574-77933574	overdominant	trans	5.72 	5.57 
LUNG.express.scl0003192.1_1.S	10	35758752	35758752-35758752	overdominant	trans	5.72 	5.38 
LUNG.express.scl33916.7_57.S	8	79159764	31698271-80549284	overdominant	trans	5.71 	5.07 
LUNG.express.scl46140.2.1_115.S	9	110408954	110408954-110408954	overdominant	trans	5.71 	4.96 
LUNG.express.scl29838.9_30.S	19	44953279	44953279-44953279	overdominant	trans	5.71 	5.73 
LUNG.express.scl1251.1.1_43.S	7	62761433	62761433-63388010	overdominant	trans	5.71 	5.28 
LUNG.express.scl0077286.1_137.S	9	44657615	43879730-107473108	overdominant	trans	5.70 	4.98 
LUNG.express.scl0192166.3_30.S	9	118729237	118729237-118729237	overdominant	trans	5.70 	4.96 
LUNG.express.ri.9530095P18.PX00654M17.AK079301.2730.S	6	126825916	126754247-126994035	overdominant	trans	5.70 	5.93 
LUNG.express.scl0258648.1_101.S	14	70643230	69552776-73363588	overdominant	trans	5.70 	4.96 
LUNG.express.ri.A730094F08.PX00153A13.AK043417.911.S	17	29318755	28847849-29373829	overdominant	trans	5.70 	4.97 
LUNG.express.scl50743.8.1_15.S	4	114139262	108947936-114185986	overdominant	trans	5.69 	5.45 
LUNG.express.scl000542.1_1.S	3	92941948	90564724-94926232	overdominant	trans	5.69 	5.06 
LUNG.express.scl43818.5.1_12.S	11	109256010	108092903-109281191	overdominant	trans	5.69 	4.98 
LUNG.express.GI_38090746.S	15	37230672	37230672-38817995	overdominant	trans	5.69 	5.16 
LUNG.express.scl019332.1_23.S	4	52735566	52735566-55503015	overdominant	trans	5.69 	4.92 
LUNG.express.scl0001109.1_6.S	12	5260618	5260618-8100883	overdominant	trans	5.68 	5.04 
LUNG.express.scl49311.6_124.S	7	103902463	103902463-104154190	overdominant	trans	5.67 	5.17 
LUNG.express.scl000032.1_60.S	11	18776471	18776471-19143637	overdominant	trans	5.66 	4.88 
LUNG.express.ri.F730049H03.PL00003N16.AK089540.1039.S	4	24639766	24150848-26886236	overdominant	trans	5.66 	5.10 
LUNG.express.scl25166.4.1_82.S	6	127787931	127118900-127954449	overdominant	trans	5.66 	4.88 
LUNG.express.scl29354.3.1_105.S	11	111796613	111796613-111917413	overdominant	trans	5.65 	5.68 
LUNG.express.scl019983.8_15.S	1	35090385	34861233-35090385	overdominant	trans	5.65 	4.88 
LUNG.express.scl27403.16_260.S	2	162978174	57861668-164778924	overdominant	trans	5.65 	4.94 
LUNG.express.scl076846.5_166.S	7	103902463	28940175-104154190	overdominant	trans	5.65 	5.18 
LUNG.express.scl00209225.2_155.S	1	133662206	132747429-159872834	overdominant	trans	5.65 	4.91 
LUNG.express.scl0072048.1_53.S	6	136340184	136340184-136340184	overdominant	trans	5.65 	4.99 
LUNG.express.scl0077587.1_30.S	12	17739797	17739797-17739797	overdominant	trans	5.65 	5.36 
LUNG.express.scl0258669.1_329.S	3	136180388	136180388-136689544	overdominant	trans	5.64 	4.92 
LUNG.express.ri.9630045A19.PX00116B10.AK036192.4275.S	19	32961444	32961444-32961444	overdominant	trans	5.64 	4.98 
LUNG.express.scl0014933.2_154.S	1	45969119	44144743-45969119	overdominant	NA	5.64 	4.99 
LUNG.express.scl0003512.1_8.S	9	118729237	118729237-118729237	overdominant	NA	5.64 	5.29 
LUNG.express.ri.2900056O08.ZX00069H07.AK013709.1247.S	6	136936001	136936001-137509262	overdominant	trans	5.63 	4.98 
LUNG.express.scl00224903.1_12.S	6	77761416	77761416-82476310	overdominant	trans	5.63 	4.95 
LUNG.express.scl28790.6.1_57.S	2	154372004	145107318-154520155	overdominant	trans	5.63 	4.88 
LUNG.express.scl48556.8.1_18.S	15	45343079	45108862-47739836	overdominant	trans	5.62 	4.85 
LUNG.express.scl39348.7.1_1.S	18	89274850	89274850-89274850	overdominant	trans	5.62 	5.01 
LUNG.express.scl15497.2.1_299.S	3	27500105	27500105-27500105	overdominant	trans	5.62 	5.11 
LUNG.express.scl0003309.1_3.S	18	24601154	24320292-40883820	overdominant	trans	5.62 	4.85 
LUNG.express.scl23298.1.1396_10.S	8	90849212	90849212-90849212	overdominant	trans	5.62 	4.99 
LUNG.express.scl021641.1_199.S	1	64919647	64919647-64919647	overdominant	trans	5.62 	4.90 
LUNG.express.GI_21844548.S	11	102488159	102488159-103578707	overdominant	trans	5.62 	4.85 
LUNG.express.GI_38086664.S	13	116327407	69467927-117704933	overdominant	NA	5.61 	5.16 
LUNG.express.ri.A930006B21.PX00065M16.AK080706.1312.S	11	104772520	104772520-104772520	overdominant	trans	5.61 	5.18 
LUNG.express.GI_38090269.S	9	122561140	122561140-122561140	overdominant	NA	5.61 	4.87 
LUNG.express.scl0103844.2_26.S	4	129250674	129250674-129630675	overdominant	trans	5.61 	4.92 
LUNG.express.scl015032.1_236.S	11	24572649	24572649-29118438	overdominant	trans	5.60 	4.96 
LUNG.express.scl077444.1_67.S	8	34176516	34165570-34176516	overdominant	trans	5.60 	5.19 
LUNG.express.scl21128.7.1_55.S	7	103823476	100081364-104211688	overdominant	trans	5.59 	4.82 
LUNG.express.scl12511.2.1_152.S	1	137411836	39053030-137411836	overdominant	trans	5.59 	4.83 
LUNG.express.IGKV3.9_Y15972_Ig_kappa_variable_3.9_10.S	2	70827829	70827829-71436519	overdominant	NA	5.59 	4.82 
LUNG.express.scl54675.1_483.S	1	112135450	107398179-115554540	overdominant	trans	5.58 	5.59 
LUNG.express.scl22048.1.1257_213.S	12	59183396	59183396-59183396	overdominant	trans	5.58 	5.54 
LUNG.express.scl34064.10_3.S	7	104154190	103902463-104154190	overdominant	trans	5.58 	5.87 
LUNG.express.scl25096.6.1_229.S	4	97603862	97313214-118115938	overdominant	trans	5.58 	4.84 
LUNG.express.scl0019434.2_141.S	5	40155592	40155592-40439225	overdominant	trans	5.57 	5.02 
LUNG.express.scl074356.1_49.S	19	24536944	24536944-24536944	overdominant	trans	5.57 	6.20 
LUNG.express.gi_31981889_ref_NM_009735.2__43_d_12_1.S	11	13574320	12193199-14310670	overdominant	NA	5.57 	4.83 
LUNG.express.ri.A130095K04.PX00125K20.AK038322.1595.S	4	33910931	33910931-126149989	overdominant	trans	5.57 	4.85 
LUNG.express.ri.2500004H04.ZX00052F16.AK010873.627.S	5	147766786	145769625-147766786	overdominant	NA	5.57 	4.99 
LUNG.express.scl0328829.1_249.S	8	68886238	68341439-70845334	overdominant	trans	5.56 	4.98 
LUNG.express.scl0070885.2_95.S	8	18055828	16859046-78222150	overdominant	trans	5.56 	5.15 
LUNG.express.scl21262.1.1_326.S	13	118295239	118295239-118295239	overdominant	trans	5.56 	4.91 
LUNG.express.scl50710.7_436.S	1	45969119	44144743-45969119	overdominant	trans	5.56 	4.95 
LUNG.express.scl34378.13_481.S	6	127388376	126754247-127844838	overdominant	trans	5.55 	4.79 
LUNG.express.scl0001453.1_239.S	6	10580148	10580148-12416950	overdominant	trans	5.55 	5.11 
LUNG.express.scl0003478.1_0.S	13	92982125	91925616-92982125	overdominant	trans	5.55 	5.03 
LUNG.express.scl25548.2.1_197.S	15	14665948	14475136-14665948	overdominant	trans	5.55 	4.82 
LUNG.express.scl17374.15.20_23.S	8	79159764	79159764-80549284	overdominant	trans	5.55 	4.81 
LUNG.express.scl000902.1_10.S	12	14875963	13631549-119426947	overdominant	trans	5.55 	4.77 
LUNG.express.scl0320684.1_229.S	13	108070177	107925388-108070177	overdominant	trans	5.55 	4.93 
LUNG.express.GI_38078931.S	14	85687711	84554068-86419538	overdominant	trans	5.54 	5.30 
LUNG.express.scl00214063.1_272.S	13	92878814	92011514-92953646	overdominant	trans	5.54 	4.91 
LUNG.express.scl0003283.1_36.S	9	34769248	34480629-34769248	overdominant	trans	5.54 	5.35 
LUNG.express.scl0001076.1_117.S	7	103902463	103902463-104154190	overdominant	trans	5.53 	5.05 
LUNG.express.scl0270685.28_30.S	4	154079531	153699184-154079531	overdominant	trans	5.53 	4.85 
LUNG.express.scl17050.20_272.S	1	17297861	17297861-17297861	overdominant	trans	5.53 	4.82 
LUNG.express.scl0016871.2_72.S	18	38814708	38814708-38945103	overdominant	trans	5.53 	4.92 
LUNG.express.ri.A230001G09.PX00126F17.AK038383.2309.S	3	155062096	153986306-155445572	overdominant	trans	5.52 	5.01 
LUNG.express.ri.1700021E15.ZX00074A04.AK006197.1366.S	4	33171359	33171359-33171359	overdominant	trans	5.52 	4.75 
LUNG.express.ri.D130029C05.PX00183D23.AK051287.3462.S	17	35276617	35276617-37268527	overdominant	trans	5.52 	4.82 
LUNG.express.scl0003852.1_15.S	4	97603862	97313214-97964229	overdominant	trans	5.52 	4.79 
LUNG.express.scl094112.1_23.S	1	35090385	35090385-35090385	overdominant	trans	5.52 	4.81 
LUNG.express.gi_31981889_ref_NM_009735.2__43_a_21_0.S	12	26165733	26165733-26165733	overdominant	NA	5.51 	4.76 
LUNG.express.scl0016535.1_193.S	19	10248920	8993876-10248920	overdominant	trans	5.51 	4.91 
LUNG.express.scl54736.1.1_157.S	15	21710342	21710342-22448859	overdominant	trans	5.51 	4.74 
LUNG.express.ri.C130015I21.PX00167C02.AK081416.3274.S	19	47937708	47937708-47937708	overdominant	NA	5.51 	4.88 
LUNG.express.scl49145.9_59.S	7	103902463	103902463-104154190	overdominant	trans	5.51 	5.05 
LUNG.express.scl50395.3.1740_8.S	6	76131992	76131992-140119412	overdominant	trans	5.51 	4.97 
LUNG.express.scl40250.1.1_66.S	6	39884201	39066651-39884201	overdominant	trans	5.51 	4.76 
LUNG.express.ri.9430025C20.PX00109A13.AK034690.2115.S	6	56518289	55120566-57059937	overdominant	trans	5.51 	5.01 
LUNG.express.GI_38081210.S	11	105098566	105098566-105098566	overdominant	NA	5.51 	4.82 
LUNG.express.scl068694.4_24.S	11	36686534	36616353-70265436	overdominant	trans	5.50 	4.79 
LUNG.express.scl27631.2.1_73.S	7	141877628	141279804-141877628	overdominant	trans	5.50 	4.75 
LUNG.express.scl000051.1_2_REVCOMP.S	5	130226896	129764658-130441150	overdominant	trans	5.50 	5.32 
LUNG.express.scl9765.1.1_12.S	16	38155017	37782823-38585401	overdominant	trans	5.50 	4.89 
LUNG.express.GI_38073837.S	1	45969119	45969119-141417567	overdominant	NA	5.50 	4.87 
LUNG.express.ri.D030059B04.PX00181I16.AK083645.2562.S	3	74039289	74039289-74061132	overdominant	trans	5.50 	5.03 
LUNG.express.scl0066310.1_231.S	17	93790718	93712922-94374629	overdominant	NA	5.50 	4.93 
LUNG.express.MJ.1000.74_823_a_21_2.S	5	145200113	145200113-147658707	overdominant	NA	5.49 	4.73 
LUNG.express.scl52062.1.1_324.S	7	129959502	129710003-130955440	overdominant	trans	5.49 	4.73 
LUNG.express.scl067313.2_26.S	4	22163387	22163387-22966056	overdominant	trans	5.49 	4.81 
LUNG.express.scl0003936.1_5.S	4	109541448	108947936-110787730	overdominant	trans	5.49 	5.43 
LUNG.express.scl26859.18.1_18.S	9	118729237	118729237-120753681	overdominant	trans	5.49 	5.22 
LUNG.express.scl25260.1.865_261.S	10	99036087	98705083-100205623	overdominant	trans	5.49 	4.72 
LUNG.express.scl000279.1_1.S	3	19147368	19147368-19163210	overdominant	trans	5.49 	4.96 
LUNG.express.GI_38081700.S	1	93218794	77138595-93932364	overdominant	trans	5.48 	4.71 
LUNG.express.mmu.let.7a.miRNA.Tagged.Template.S	12	94983892	93806361-95600910	overdominant	NA	5.48 	4.91 
LUNG.express.scl0073993.1_2.S	11	16328693	14997257-16763372	overdominant	trans	5.48 	5.33 
LUNG.express.scl22478.3_284.S	14	24629921	23917057-24629921	overdominant	trans	5.47 	4.76 
LUNG.express.scl0001926.1_995.S	12	87124120	87124120-87124120	overdominant	trans	5.47 	4.72 
LUNG.express.scl16830.3.1_34.S	9	69455800	68395001-69502676	overdominant	trans	5.47 	4.82 
LUNG.express.ri.2700078K21.ZX00064I19.AK012535.960.S	13	9569969	6905961-11529188	overdominant	NA	5.47 	5.07 
LUNG.express.scl0227800.12_249.S	5	133538553	132731208-133538553	overdominant	trans	5.47 	5.10 
LUNG.express.scl33596.6.1_111.S	6	125064611	124998504-125515787	overdominant	trans	5.47 	4.73 
LUNG.express.scl20012.17_28.S	5	117307584	117307584-142082080	overdominant	trans	5.47 	5.16 
LUNG.express.scl0406176.1_42.S	10	127521610	127521610-127995220	overdominant	NA	5.46 	4.98 
LUNG.express.scl42172.15.1_30.S	11	6488666	6488666-6488666	overdominant	trans	5.46 	4.83 
LUNG.express.ri.A430083G20.PX00138B03.AK040288.2356.S	5	60623647	60623647-60623647	overdominant	trans	5.45 	4.94 
LUNG.express.scl00268977.2_205.S	4	97603862	97313214-97964229	overdominant	trans	5.45 	4.87 
LUNG.express.scl51928.9.1_0.S	14	11312893	10238823-11312893	overdominant	trans	5.45 	4.70 
LUNG.express.GI_38091526.S	7	104211688	100081364-105747879	overdominant	trans	5.45 	4.72 
LUNG.express.scl00381356.1_149.S	1	68121913	32568244-70774688	overdominant	trans	5.45 	4.86 
LUNG.express.scl48171.9_97.S	1	162450321	160995436-162450321	overdominant	trans	5.45 	4.82 
LUNG.express.scl25565.5.123_2.S	9	118729237	118729237-118729237	overdominant	trans	5.45 	5.44 
LUNG.express.scl12346.1.1_244.S	13	77701237	77701237-77701237	overdominant	trans	5.45 	5.16 
LUNG.express.GI_38085699.S	7	103902463	103902463-104154190	overdominant	trans	5.44 	4.67 
LUNG.express.scl19094.19.1_45.S	15	32238619	31661007-32238619	overdominant	trans	5.44 	5.22 
LUNG.express.scl20134.3.1_312.S	6	135839502	135272017-135996423	overdominant	trans	5.44 	4.67 
LUNG.express.scl34499.5.1_0.S	6	76742046	76580561-76742046	overdominant	trans	5.43 	4.76 
LUNG.express.scl00109054.1_86.S	9	118729237	118729237-118729237	overdominant	NA	5.43 	4.91 
LUNG.express.scl00109054.1_86.S	7	103902463	62761433-104154190	overdominant	NA	5.43 	4.71 
LUNG.express.GI_38089934.S	15	22448859	20394220-40742342	overdominant	trans	5.43 	4.66 
LUNG.express.scl00116849.1_287.S	3	52308561	52308561-52394303	overdominant	trans	5.43 	5.00 
LUNG.express.GI_38093435.S	3	118289974	117266538-118561493	overdominant	NA	5.43 	4.66 
LUNG.express.scl54777.3.514_32.S	19	30055566	30055566-30055566	overdominant	trans	5.43 	4.84 
