trait	chr	pos	QTL_Type	logP_AD	DGE_chr	DGE_start	DGE_end
HP.express.scl16623.1_313.S	18	82409897	overdominant	5.38 	1	73568792	73568842
HP.express.scl29395.16_514.S	11	108750591	overdominant	5.67 	6	141450319	141450369
HP.express.scl35682.17.1_6.S	1	161813131	overdominant	5.38 	9	65935987	65936037
HP.express.scl076284.1_94.S	9	34480629	overdominant	6.20 	10	121024678	121024728
HP.express.ri.9930024G20.PX00120O10.AK036917.1808.S	1	59779921	overdominant	5.46 	17	31570034	31570084
HP.express.scl076193.1_200.S	19	18231012	overdominant	5.40 	3	95115432	95115482
HP.express.scl069046.1_193.S	1	161813131	overdominant	5.37 	NA	NA	NA
HP.express.scl914.1.1_324.S	8	101516277	overdominant	5.37 	6	66726222	66726272
HP.express.scl24389.1.2_18.S	18	60717374	overdominant	6.10 	4	43847950	43848000
HP.express.scl0002801.1_203.S	9	44199942	overdominant	5.44 	4	131894897	131894947
HP.express.mmu.miR.302.miRNA.Tagged.Template.S	17	42640025	overdominant	5.33 	NA	NA	NA
HP.express.scl015289.1_26.S	1	161813131	overdominant	5.32 	NA	NA	NA
HP.express.scl0007.1_62.S	7	30125265	overdominant	5.50 	7	106751945	106751995
HP.express.scl47198.5_117.S	9	42353146	overdominant	5.37 	15	54082762	54082812
HP.express.scl47892.24_470.S	1	161813131	overdominant	5.43 	15	58289014	58289064
HP.express.scl0072404.1_24.S	1	161813131	overdominant	5.37 	X	23382783	23382833
HP.express.scl00040.1_6.S	1	161813131	overdominant	5.31 	7	74377102	74377152
HP.express.scl0003230.1_8.S	13	12509475	overdominant	5.32 	2	32543291	32543341
HP.express.scl0018472.1_99.S	1	161813131	overdominant	5.30 	NA	NA	NA
HP.express.scl28511.1.1_86.S	2	156698689	overdominant	5.39 	6	116532275	116532325
HP.express.scl54871.18_531.S	1	161813131	overdominant	5.33 	X	68672102	68672152
HP.express.scl48128.6_4.S	1	161813131	overdominant	5.30 	15	5168196	5168246
HP.express.scl49942.1.1_173.S	14	40646787	overdominant	5.39 	17	37059205	37059255
HP.express.RandomSeq60.S	11	45715631	overdominant	5.30 	NA	NA	NA
HP.express.scl47300.10_333.S	10	76930059	overdominant	5.28 	15	36169820	36169870
HP.express.scl48431.13.1_5.S	8	129937044	overdominant	5.37 	16	46395145	46395195
HP.express.scl20992.13_564.S	19	30621558	overdominant	5.39 	2	38443506	38443556
HP.express.scl068303.14_11.S	2	65704172	overdominant	5.31 	5	65432130	65432180
HP.express.scl20734.8_508.S	1	161813131	overdominant	5.34 	2	76534412	76534462
HP.express.scl25575.1.1_178.S	1	161813131	overdominant	5.26 	4	33139107	33139157
HP.express.scl0102866.1_231.S	1	161813131	overdominant	5.26 	X	73031110	73031160
HP.express.scl066073.8_269.S	1	161813131	overdominant	5.35 	4	108534592	108534642
HP.express.ri.E130309K17.PX00208J02.AK053806.2145.S	19	47797152	overdominant	5.29 	6	125586281	125586331
HP.express.scl021665.1_179.S	1	161813131	overdominant	5.25 	10	82112811	82112861
HP.express.GI_38081117.S	5	130848960	overdominant	5.67 	NA	NA	NA
HP.express.scl068750.4_57.S	5	70285683	overdominant	5.24 	13	38043527	38043577
HP.express.scl0003917.1_104.S	7	74778289	overdominant	5.28 	10	110933277	110933327
HP.express.scl20613.1.1_316.S	15	50416638	overdominant	5.34 	2	92147185	92147235
HP.express.scl53272.1_296.S	1	161813131	overdominant	5.24 	19	23242398	23242448
HP.express.ri.2610103H04.ZX00061G05.AK011807.909.S	1	174792234	overdominant	5.23 	7	74812105	74812155
HP.express.ri.E130008E14.PX00207L08.AK053297.2186.S	2	53042542	overdominant	5.23 	11	26434121	26434171
HP.express.scl0070316.1_255.S	1	161813131	overdominant	5.97 	7	129231651	129231701
HP.express.scl33283.1.1_216.S	1	31213164	overdominant	5.42 	8	118295689	118295739
HP.express.scl30059.16.1_6.S	1	161813131	overdominant	5.49 	6	50148249	50148299
HP.express.scl0019700.2_46.S	9	123699321	overdominant	5.22 	2	152460591	152460641
HP.express.scl18541.10_428.S	1	161813131	overdominant	5.24 	2	148519915	148519965
HP.express.scl065100.2_26.S	1	73464630	overdominant	5.26 	14	122863418	122863468
HP.express.GI_38079891.S	6	46787318	overdominant	5.55 	NA	NA	NA
HP.express.GI_38080379.S	3	142491943	overdominant	5.78 	5	113667148	113667198
HP.express.GI_38091326.S	1	161813131	overdominant	5.21 	NA	NA	NA
HP.express.ri.4732488H20.PX00052I16.AK029066.2635.S	2	170413806	overdominant	5.22 	15	35772961	35773011
HP.express.scl28151.4.1_296.S	6	109901791	overdominant	5.23 	5	8773623	8773673
HP.express.scl00347709.1_259.S	1	161813131	overdominant	5.20 	NA	NA	NA
HP.express.ri.4631434O19.PX00012C13.AK014543.2558.S	1	161813131	overdominant	5.21 	3	40870897	40870947
HP.express.scl32852.18.1_87.S	17	35276617	overdominant	5.81 	7	29678219	29678269
HP.express.scl34147.4.1_61.S	15	96030990	overdominant	5.24 	10	79784470	79784520
HP.express.scl38181.9.1_28.S	17	42640025	overdominant	5.29 	10	13367186	13367236
HP.express.scl0022323.2_15.S	5	41067192	overdominant	6.26 	7	19845936	19845986
HP.express.scl066958.2_91.S	1	161813131	overdominant	5.45 	2	84511677	84511727
HP.express.scl29583.7_500.S	9	87963925	overdominant	5.19 	6	117822623	117822673
HP.express.scl0002181.1_493.S	2	51400802	overdominant	5.30 	18	37801127	37801177
HP.express.GI_38074903.S	19	55602330	overdominant	5.78 	2	79172000	79172050
HP.express.GI_38088373.S	16	74160826	overdominant	5.51 	7	95223574	95223624
HP.express.scl072907.1_70.S	10	85003454	overdominant	5.18 	4	141316367	141316417
HP.express.scl075199.2_52.S	17	72441193	overdominant	5.61 	NA	NA	NA
HP.express.scl53875.2.1_71.S	4	55503015	overdominant	5.19 	X	112042068	112042118
HP.express.ri.4932703M08.PX00019G24.AK030143.3535.S	3	76538257	overdominant	5.19 	4	107545984	107546034
HP.express.scl30358.5.1_69.S	11	120818113	overdominant	5.71 	6	17159968	17160018
HP.express.scl18924.1.2532_104.S	1	161813131	overdominant	5.16 	2	104266686	104266736
HP.express.scl17355.9_0.S	1	161813131	overdominant	5.16 	1	155756755	155756805
HP.express.scl019946.1_13.S	1	161813131	overdominant	5.18 	NA	NA	NA
HP.express.ri.2410081C23.ZX00080H11.AK010733.757.S	6	92514577	overdominant	5.17 	13	118014672	118014722
HP.express.scl23230.16_281.S	13	72990649	overdominant	5.40 	3	41420495	41420545
HP.express.scl069727.1_1.S	11	4932000	overdominant	5.44 	5	74396112	74396162
HP.express.scl48341.17.1_31.S	5	142540179	overdominant	5.51 	16	63545158	63545208
HP.express.scl00217232.1_33.S	1	161813131	overdominant	5.25 	11	104364120	104364170
HP.express.scl22012.4.1_114.S	10	35758752	overdominant	5.15 	3	84153430	84153480
HP.express.scl0072724.1_273.S	1	161813131	overdominant	5.15 	6	86664197	86664247
HP.express.scl0071499.1_211.S	1	172980758	overdominant	5.21 	7	54213100	54213150
HP.express.scl020916.11_281.S	1	161813131	overdominant	5.13 	14	73995842	73995892
HP.express.scl015374.1_66.S	1	161813131	overdominant	5.15 	11	115359348	115359398
HP.express.ri.6430564C21.PX00047K12.AK032486.2272.S	5	98407243	overdominant	6.06 	14	34204870	34204920
HP.express.scl0014799.1_68.S	1	161813131	overdominant	5.16 	11	57143447	57143497
HP.express.scl067371.1_2.S	1	161813131	overdominant	5.12 	10	39969361	39969411
HP.express.GI_13654299.S	7	125869448	overdominant	5.40 	13	12892286	12892336
HP.express.scl44946.1_175.S	9	46336554	overdominant	5.82 	13	31652215	31652265
HP.express.scl0022283.1_43.S	4	141465582	overdominant	5.31 	1	190275940	190275990
HP.express.scl022142.1_236.S	1	161813131	overdominant	5.11 	15	98780368	98780418
HP.express.scl00100910.1_246.S	11	68922467	overdominant	5.18 	5	24096265	24096451
HP.express.ri.D330022A08.PX00191B18.AK084620.941.S	14	75630384	overdominant	5.11 	1	99674573	99674623
HP.express.ri.D630022O22.PX00197G01.AK085407.4084.S	5	142718603	overdominant	5.14 	3	151408961	151409011
HP.express.scl43262.30_332.S	17	88910157	overdominant	5.28 	12	39360372	39360422
HP.express.scl51664.18.1_87.S	1	161813131	overdominant	5.12 	18	9995946	9995996
HP.express.GI_38086157.S	1	161813131	overdominant	5.21 	NA	NA	NA
HP.express.scl00217869.1_91.S	2	68706743	overdominant	5.11 	12	112781393	112781443
HP.express.ri.1110012K08.R000016I17.AK003639.760.S	8	99000083	overdominant	5.09 	6	83430444	83430494
HP.express.scl41371.2_575.S	1	161813131	overdominant	5.20 	11	69156012	69156062
HP.express.scl28357.13.1_35.S	10	85003454	overdominant	5.11 	6	128359679	128359729
HP.express.scl26108.8.1_25.S	1	108980302	overdominant	5.31 	5	121250601	121250651
HP.express.scl081702.1_30.S	1	161813131	overdominant	5.07 	5	90657781	90657831
HP.express.GI_38077218.S	3	70146510	overdominant	5.08 	NA	NA	NA
HP.express.scl48886.3.1_53.S	11	101713427	overdominant	5.22 	16	91016524	91016574
HP.express.scl22111.1_41.S	11	69560864	overdominant	5.08 	3	62141955	62142005
HP.express.ri.4930430G18.PX00314C09.AK076750.1480.S	9	110408954	overdominant	6.55 	NA	NA	NA
HP.express.scl42444.40_226.S	1	161813131	overdominant	5.06 	12	56703987	56704037
HP.express.scl0227634.1_319.S	1	161813131	overdominant	5.11 	2	25784727	25784777
HP.express.ri.C030030P04.PX00665H20.AK081254.3483.S	17	31326430	overdominant	5.23 	3	89550311	89550361
HP.express.scl022629.4_2.S	1	161813131	overdominant	5.06 	5	33370151	33370201
HP.express.scl23824.14.1_21.S	4	32476079	overdominant	5.17 	4	125827883	125827933
HP.express.scl012476.8_4.S	9	34769248	overdominant	6.12 	7	148656977	148657027
HP.express.scl0002806.1_2.S	4	23212380	overdominant	5.33 	4	135870022	135870072
HP.express.scl068735.6_63.S	1	161813131	overdominant	5.05 	5	101233432	101233482
HP.express.scl52593.10.1_23.S	1	161813131	overdominant	5.05 	19	29423384	29423434
HP.express.scl0002949.1_35.S	14	76816724	overdominant	5.09 	NA	NA	NA
HP.express.scl0051810.1_209.S	1	161813131	overdominant	5.05 	NA	NA	NA
HP.express.scl0098221.1_97.S	1	161813131	overdominant	5.08 	NA	NA	NA
HP.express.GI_38079055.S	10	85003454	overdominant	5.05 	4	151488520	151488570
HP.express.scl28579.2_420.S	1	161813131	overdominant	5.05 	NA	NA	NA
HP.express.scl0320742.4_149.S	11	5684549	overdominant	5.49 	X	20563424	20563474
HP.express.scl35730.1.1_37.S	4	27943470	overdominant	5.40 	9	61854779	61854829
HP.express.scl0003917.1_104.S	12	101684485	overdominant	7.33 	10	110933277	110933327
HP.express.ri.C430018F20.PX00078L07.AK049509.2238.S	12	118579723	overdominant	5.03 	4	61975363	61975413
HP.express.scl26652.5.3_3.S	1	161813131	overdominant	5.04 	5	42027091	42027141
HP.express.scl21980.4.1_109.S	13	96545269	overdominant	5.19 	3	88086695	88086745
HP.express.GI_38079661.S	2	23949060	overdominant	5.12 	5	36818907	36818957
HP.express.scl31237.29_375.S	1	161813131	overdominant	5.06 	7	72441142	72441192
HP.express.scl21697.14.1_152.S	2	68706743	overdominant	5.13 	3	106190374	106190424
HP.express.scl53971.12.1_214.S	4	141381986	overdominant	5.03 	X	99480102	99480152
HP.express.ri.D330039A05.PX00192F06.AK084755.1937.S	1	161813131	overdominant	5.01 	6	21392589	21392639
HP.express.scl16341.2.6_147.S	16	87111930	overdominant	5.02 	1	129650321	129650371
HP.express.scl0140795.1_279.S	5	142718603	overdominant	5.01 	3	58918604	58918654
HP.express.scl0002109.1_724.S	1	161813131	overdominant	5.04 	3	151847198	151847248
HP.express.scl0012540.1_20.S	6	23475984	overdominant	5.13 	4	136875926	136875976
HP.express.scl49771.23.1_24.S	10	85003454	overdominant	5.08 	17	56326611	56326661
HP.express.scl54954.24_73.S	18	16225937	overdominant	5.29 	X	45318691	45318741
HP.express.ri.4930463G05.PX00032C21.AK015497.893.S	8	99553110	overdominant	5.04 	19	47897492	47897542
HP.express.GI_38075768.S	1	161813131	overdominant	5.03 	2	174888124	174888174
HP.express.scl48397.1.1161_123.S	1	161813131	overdominant	5.03 	16	52271544	52271594
HP.express.scl0068703.1_191.S	1	157663164	overdominant	5.02 	NA	NA	NA
HP.express.scl0330938.1_96.S	1	161813131	overdominant	5.00 	9	50471094	50471144
HP.express.scl20455.7_430.S	13	104051588	overdominant	5.00 	2	117007806	117007856
HP.express.scl0018173.2_296.S	1	161813131	overdominant	5.06 	1	74432557	74432607
HP.express.scl00236293.1_126.S	4	59713369	overdominant	5.06 	19	8234877	8234927
HP.express.scl067539.1_109.S	1	161813131	overdominant	5.24 	9	21604674	21604724
HP.express.scl40226.1.1_221.S	13	111811137	overdominant	5.14 	11	53585908	53585958
HP.express.scl018786.2_1.S	1	161813131	overdominant	5.02 	4	94236020	94236070
HP.express.scl18252.2_52.S	1	161813131	overdominant	5.04 	2	174288015	174288065
HP.express.scl46056.12.1_60.S	11	120818113	overdominant	5.22 	14	79823263	79823313
HP.express.scl20341.2.61_4.S	1	161813131	overdominant	4.99 	2	125500002	125500052
HP.express.scl29349.27_37.S	2	71276705	overdominant	5.00 	6	146980103	146980153
HP.express.scl34573.4.1_45.S	14	76816724	overdominant	5.02 	8	86534280	86534330
HP.express.scl18004.30_24.S	1	161813131	overdominant	5.00 	1	44059755	44059805
HP.express.ri.4930528A17.PX00034A18.AK015922.1754.S	18	5597365	overdominant	5.28 	4	21774016	21774066
HP.express.scl35851.64.1_128.S	10	8619404	overdominant	4.99 	9	53247641	53247691
HP.express.ri.6430531D06.PX00046D24.AK032385.3341.S	14	11312893	overdominant	5.02 	14	28727224	28727274
HP.express.scl0056324.2_184.S	1	161813131	overdominant	4.99 	2	52547884	52547934
HP.express.scl26802.3_29.S	11	111022376	overdominant	5.13 	5	23949719	23949769
HP.express.GI_38050472.S	4	150322101	overdominant	5.16 	12	81858413	81858463
HP.express.scl39652.23.1463_24.S	1	161813131	overdominant	4.98 	11	97021056	97021106
HP.express.GI_38090010.S	1	161813131	overdominant	5.01 	NA	NA	NA
HP.express.scl46842.21.1_64.S	1	161813131	overdominant	5.19 	15	90318178	90318228
HP.express.scl00319236.1_170.S	1	29231326	overdominant	5.42 	NA	NA	NA
HP.express.scl29242.30.1_27.S	1	161813131	overdominant	4.98 	6	23213078	23213128
HP.express.ri.0710001I10.R000005G15.AK002960.937.S	17	92560240	overdominant	5.11 	NA	NA	NA
HP.express.scl020104.1_26.S	1	161813131	overdominant	4.99 	NA	NA	NA
HP.express.scl093739.4_24.S	1	161813131	overdominant	4.99 	8	114476735	114476785
HP.express.scl18702.4_379.S	1	161813131	overdominant	4.98 	2	127459095	127459145
HP.express.scl0211660.12_302.S	1	161813131	overdominant	5.02 	1	10126750	10126800
HP.express.scl00226016.2_58.S	1	161813131	overdominant	4.99 	19	21758720	21758770
HP.express.scl0003655.1_16.S	18	40883820	overdominant	5.23 	13	64538715	64538765
HP.express.scl52776.8.1_198.S	1	161813131	overdominant	4.97 	19	8867642	8867692
HP.express.scl46691.10.1_0.S	2	45735399	overdominant	4.97 	15	101760129	101760179
HP.express.scl23302.1.414_13.S	1	161813131	overdominant	4.97 	3	31021132	31021182
HP.express.scl29465.6.1_47.S	12	11922032	overdominant	5.17 	6	129355190	129355240
HP.express.scl0020347.2_287.S	15	4349154	overdominant	5.12 	9	107500728	107500779
HP.express.scl0002335.1_101.S	5	147658707	overdominant	5.04 	12	101388108	101388158
HP.express.scl012314.1_140.S	1	161813131	overdominant	4.96 	17	87832952	87833002
HP.express.scl30792.12_207.S	1	161813131	overdominant	4.95 	7	120459596	120459646
HP.express.scl000669.1_31.S	11	111022376	overdominant	4.98 	8	86096752	86096802
HP.express.scl51737.13.1_28.S	1	161813131	overdominant	4.95 	18	78021179	78021229
HP.express.ri.1110049N09.R000018C18.AK004213.831.S	4	92380821	overdominant	5.72 	3	146561155	146561205
HP.express.scl20277.23.1_59.S	1	161813131	overdominant	4.95 	2	130379329	130379379
HP.express.scl074255.2_27.S	1	161813131	overdominant	4.95 	4	40684183	40684233
HP.express.scl34866.14.1_23.S	17	32163936	overdominant	5.23 	8	46424476	46424526
HP.express.scl26603.11_362.S	1	161813131	overdominant	4.94 	5	48780833	48780883
HP.express.scl26188.18_422.S	6	23475984	overdominant	4.94 	5	114477005	114477055
HP.express.scl000028.1_0.S	1	161813131	overdominant	4.95 	7	140912643	140912693
HP.express.GI_23956081.S	1	161813131	overdominant	4.96 	NA	NA	NA
HP.express.scl18174.5_252.S	5	113588467	overdominant	4.99 	1	9616687	9616737
HP.express.scl054381.6_56.S	4	150322101	overdominant	5.13 	15	33427037	33427087
HP.express.ri.D930050H18.PX00204O02.AK086770.1941.S	1	188993256	overdominant	4.94 	5	82125789	82125839
HP.express.GI_38080300.S	1	161813131	overdominant	4.94 	5	92236038	92236088
HP.express.scl28154.19_171.S	2	66543092	overdominant	5.10 	5	9119184	9119234
HP.express.scl066680.1_207.S	1	161813131	overdominant	5.12 	NA	NA	NA
HP.express.scl0319379.1_17.S	3	29724236	overdominant	5.26 	19	28911532	28911582
HP.express.scl27856.9_321.S	19	24783638	overdominant	5.46 	5	44303556	44303606
HP.express.scl32498.36_67.S	4	22678091	overdominant	4.99 	7	86593994	86594044
HP.express.scl074105.1_2.S	5	103867798	overdominant	5.26 	7	129132374	129132424
HP.express.scl27811.23.1_37.S	1	161813131	overdominant	4.95 	5	54294719	54294769
HP.express.scl0028185.2_148.S	1	161813131	overdominant	4.95 	16	57154411	57154461
HP.express.scl0001001.1_58.S	5	103867798	overdominant	4.92 	1	59049107	59049157
HP.express.scl38752.15.1_10.S	12	47697984	overdominant	5.99 	10	75651813	75651863
HP.express.scl068028.3_20.S	1	161813131	overdominant	4.93 	3	28705691	28705741
HP.express.GI_23956057.S	1	161813131	overdominant	4.92 	X	133372528	133372578
HP.express.scl33237.1.1_308.S	15	83917389	overdominant	5.32 	8	124126068	124126118
HP.express.scl16445.14.1_18.S	1	5896445	overdominant	5.05 	1	98956048	98956098
HP.express.scl18135.9.1_68.S	19	25196336	overdominant	5.08 	1	19156126	19156176
HP.express.scl0207269.7_127.S	11	36686534	overdominant	6.19 	18	60603412	60603462
HP.express.ri.D930042A21.PX00203M12.AK086621.3561.S	10	85003454	overdominant	5.10 	NA	NA	NA
HP.express.scl077765.1_46.S	11	116402796	overdominant	5.42 	3	81736912	81736962
HP.express.scl0017859.1_306.S	1	161813131	overdominant	4.92 	19	53447700	53447750
HP.express.scl018538.1_192.S	1	161813131	overdominant	4.92 	2	132075167	132075217
HP.express.scl40847.3_4.S	1	63303607	overdominant	5.16 	11	103000387	103000437
HP.express.scl066477.2_23.S	1	161813131	overdominant	4.91 	NA	NA	NA
HP.express.scl39554.8_358.S	1	161813131	overdominant	4.91 	11	100576576	100576626
HP.express.scl45459.17_81.S	1	161813131	overdominant	4.91 	14	61984074	61984124
HP.express.scl071158.2_21.S	12	101866183	overdominant	5.10 	2	90328206	90328256
HP.express.scl49051.19.1_7.S	13	116237914	overdominant	4.92 	16	49016410	49016460
