trait	chr	pos	QTL_Type	logP_AD	DGE_chr	DGE_start	DGE_end
LUNG.express.gi_31981889_ref_NM_009735.2__43_a_28_0.S	12	26165733	overdominant	5.16 	NA	NA	NA
LUNG.express.X9627947_61.S	17	33155241	overdominant	5.12 	NA	NA	NA
LUNG.express.scl2363.1.1_330.S	5	33660047	overdominant	5.11 	4	88513150	88513200
LUNG.express.ri.2700031B12.ZX00063G16.AK012306.1196.S	16	66872882	overdominant	5.11 	12	28020203	28020253
LUNG.express.scl52624.2.97_42.S	18	34134869	overdominant	5.11 	19	25745824	25745874
LUNG.express.scl0052683.1_230.S	8	17575078	overdominant	5.21 	15	89203102	89203152
LUNG.express.scl0003768.1_149.S	4	97313214	overdominant	5.23 	10	126501425	126501475
LUNG.express.scl016619.3_29.S	3	131729777	overdominant	5.56 	NA	NA	NA
LUNG.express.GI_12313876.S	10	22640984	overdominant	5.40 	7	51311934	51311984
LUNG.express.scl45217.22.1_37.S	7	103902463	overdominant	5.06 	14	99476525	99476575
LUNG.express.scl51175.1.1_77.S	13	72990649	overdominant	5.08 	18	89034829	89034879
LUNG.express.scl51401.1.1_291.S	12	91946483	overdominant	5.06 	18	56578078	56578128
LUNG.express.scl17201.4.1_50.S	1	191982649	overdominant	5.11 	1	174408381	174408431
LUNG.express.scl26460.30.1_15.S	1	35090385	overdominant	5.06 	5	76329319	76329369
LUNG.express.scl38789.2.1_41.S	5	21329698	overdominant	5.51 	10	70666918	70666968
LUNG.express.GI_38094046.S	13	108070177	overdominant	5.09 	NA	NA	NA
LUNG.express.scl6689.1.1_19.S	7	140189738	overdominant	5.05 	9	19650427	19650477
LUNG.express.scl18531.6.1_97.S	14	11312893	overdominant	5.04 	2	150136807	150136857
LUNG.express.scl0319996.20_16.S	7	103902463	overdominant	5.04 	2	121761259	121761309
LUNG.express.scl000499.1_2.S	8	127970908	overdominant	5.11 	19	29190233	29190283
LUNG.express.GI_22122486.S	8	79159764	overdominant	5.10 	11	69156938	69156988
LUNG.express.scl0106042.1_246.S	1	178114736	overdominant	5.52 	15	93329645	93329695
LUNG.express.NM_011602.28_chr4_._42386699_42386819_48.S	7	62761433	overdominant	5.38 	NA	NA	NA
LUNG.express.scl27250.2_266.S	15	51102628	overdominant	5.34 	5	123479973	123480023
LUNG.express.GI_38079577.S	9	105393892	overdominant	5.83 	NA	NA	NA
LUNG.express.scl32748.6.1_58.S	18	85689414	overdominant	5.09 	7	50904337	50904387
LUNG.express.IGLV2_J00599_Ig_lambda_variable_2_12.S	2	6232263	overdominant	5.19 	16	19260763	19260906
LUNG.express.scl0011308.2_118.S	9	118729237	overdominant	5.48 	2	22796120	22796170
LUNG.express.ri.A830062E06.PX00156C19.AK043977.1752.S	7	79721905	overdominant	5.10 	NA	NA	NA
LUNG.express.scl42009.20.1_59.S	8	16859046	overdominant	5.01 	12	114198451	114198501
LUNG.express.ri.2610036C07.ZX00034K24.AK011690.1158.S	4	26576934	overdominant	5.32 	NA	NA	NA
LUNG.express.gi_31981422_ref_NM_011740.2__20_d_1_0.S	11	104889656	overdominant	5.18 	NA	NA	NA
LUNG.express.scl47815.11_6.S	5	55122580	overdominant	5.74 	15	75543456	75543506
LUNG.express.scl8638.1.1_202.S	9	57666627	overdominant	5.13 	17	20639961	20640011
LUNG.express.GI_38090025.S	4	86870741	overdominant	5.05 	NA	NA	NA
LUNG.express.scl00231659.1_48.S	1	191177832	overdominant	5.23 	5	116069358	116069666
LUNG.express.scl0002434.1_7.S	11	104889656	overdominant	5.70 	15	80713386	80713436
LUNG.express.RandomSeq28.S	5	48067756	overdominant	4.97 	NA	NA	NA
LUNG.express.scl40512.21.1_20.S	7	62761433	overdominant	5.07 	11	11714393	11714443
LUNG.express.scl38279.2_20.S	13	70728610	overdominant	4.97 	10	127931851	127931901
LUNG.express.GI_38086729.S	7	86268245	overdominant	4.99 	X	118448691	118448741
LUNG.express.scl30718.8_25.S	6	55120566	overdominant	5.00 	7	129181428	129181478
LUNG.express.scl0077611.1_159.S	10	119645931	overdominant	4.95 	13	95802135	95802185
LUNG.express.scl25307.10.1_185.S	9	104015736	overdominant	4.98 	4	85880121	85880171
LUNG.express.scl00116731.1_145.S	8	77933574	overdominant	5.57 	18	37347065	37347115
LUNG.express.scl0003192.1_1.S	10	35758752	overdominant	5.38 	2	31470243	31470293
LUNG.express.scl33916.7_57.S	8	79159764	overdominant	5.07 	8	35233495	35233545
LUNG.express.scl46140.2.1_115.S	9	110408954	overdominant	4.96 	14	69793445	69793495
LUNG.express.scl29838.9_30.S	19	44953279	overdominant	5.73 	6	83293713	83293763
LUNG.express.scl1251.1.1_43.S	7	62761433	overdominant	5.28 	16	44741163	44741213
LUNG.express.scl0077286.1_137.S	9	44657615	overdominant	4.98 	X	34427795	34427845
LUNG.express.scl0192166.3_30.S	9	118729237	overdominant	4.96 	2	27052170	27052220
LUNG.express.ri.9530095P18.PX00654M17.AK079301.2730.S	6	126825916	overdominant	5.93 	1	121491944	121491994
LUNG.express.scl0258648.1_101.S	14	70643230	overdominant	4.96 	6	43103751	43103801
LUNG.express.ri.A730094F08.PX00153A13.AK043417.911.S	17	29318755	overdominant	4.97 	1	133826570	133826620
LUNG.express.scl50743.8.1_15.S	4	114139262	overdominant	5.45 	17	37046827	37046877
LUNG.express.scl000542.1_1.S	3	92941948	overdominant	5.06 	19	40457310	40457360
LUNG.express.scl43818.5.1_12.S	11	109256010	overdominant	4.98 	13	64583097	64583147
LUNG.express.GI_38090746.S	15	37230672	overdominant	5.16 	10	100075472	100075522
LUNG.express.scl019332.1_23.S	4	52735566	overdominant	4.92 	8	11454284	11454334
LUNG.express.scl0001109.1_6.S	12	5260618	overdominant	5.04 	6	120481246	120481296
LUNG.express.scl49311.6_124.S	7	103902463	overdominant	5.17 	16	23113139	23113189
LUNG.express.scl000032.1_60.S	11	18776471	overdominant	4.88 	2	126501203	126501253
LUNG.express.ri.F730049H03.PL00003N16.AK089540.1039.S	4	24639766	overdominant	5.10 	9	66734262	66734312
LUNG.express.scl25166.4.1_82.S	6	127787931	overdominant	4.88 	4	106780035	106780085
LUNG.express.scl29354.3.1_105.S	11	111796613	overdominant	5.68 	6	146613839	146613889
LUNG.express.scl019983.8_15.S	1	35090385	overdominant	4.88 	5	108336933	108336983
LUNG.express.scl27403.16_260.S	2	162978174	overdominant	4.94 	5	114006060	114006110
LUNG.express.scl076846.5_166.S	7	103902463	overdominant	5.18 	7	3658423	3658473
LUNG.express.scl00209225.2_155.S	1	133662206	overdominant	4.91 	7	87237453	87237503
LUNG.express.scl0072048.1_53.S	6	136340184	overdominant	4.99 	1	167393343	167393393
LUNG.express.scl0077587.1_30.S	12	17739797	overdominant	5.36 	6	146781685	146781735
LUNG.express.scl0258669.1_329.S	3	136180388	overdominant	4.92 	10	129563165	129563215
LUNG.express.ri.9630045A19.PX00116B10.AK036192.4275.S	19	32961444	overdominant	4.98 	6	64228570	64228620
LUNG.express.scl0014933.2_154.S	1	45969119	overdominant	4.99 	NA	NA	NA
LUNG.express.scl0003512.1_8.S	9	118729237	overdominant	5.29 	NA	NA	NA
LUNG.express.ri.2900056O08.ZX00069H07.AK013709.1247.S	6	136936001	overdominant	4.98 	11	51412471	51412521
LUNG.express.scl00224903.1_12.S	6	77761416	overdominant	4.95 	17	56745223	56745273
LUNG.express.scl28790.6.1_57.S	2	154372004	overdominant	4.88 	6	83621654	83621704
LUNG.express.scl48556.8.1_18.S	15	45343079	overdominant	4.85 	16	32084634	32084684
LUNG.express.scl39348.7.1_1.S	18	89274850	overdominant	5.01 	11	114978372	114978422
LUNG.express.scl15497.2.1_299.S	3	27500105	overdominant	5.11 	8	74084509	74084559
LUNG.express.scl0003309.1_3.S	18	24601154	overdominant	4.85 	2	30281934	30281984
LUNG.express.scl23298.1.1396_10.S	8	90849212	overdominant	4.99 	3	32265905	32265955
LUNG.express.scl021641.1_199.S	1	64919647	overdominant	4.90 	13	19270274	19270324
LUNG.express.GI_21844548.S	11	102488159	overdominant	4.85 	7	16344222	16344272
LUNG.express.GI_38086664.S	13	116327407	overdominant	5.16 	NA	NA	NA
LUNG.express.ri.A930006B21.PX00065M16.AK080706.1312.S	11	104772520	overdominant	5.18 	19	10261575	10261625
LUNG.express.GI_38090269.S	9	122561140	overdominant	4.87 	NA	NA	NA
LUNG.express.scl0103844.2_26.S	4	129250674	overdominant	4.92 	11	70502491	70502541
LUNG.express.scl015032.1_236.S	11	24572649	overdominant	4.96 	17	36175431	36175481
LUNG.express.scl077444.1_67.S	8	34176516	overdominant	5.19 	9	96723104	96723154
LUNG.express.scl21128.7.1_55.S	7	103823476	overdominant	4.82 	2	28360609	28360659
LUNG.express.scl12511.2.1_152.S	1	137411836	overdominant	4.83 	3	117676371	117676421
LUNG.express.IGKV3.9_Y15972_Ig_kappa_variable_3.9_10.S	2	70827829	overdominant	4.82 	NA	NA	NA
LUNG.express.scl54675.1_483.S	1	112135450	overdominant	5.59 	X	108012234	108012284
LUNG.express.scl22048.1.1257_213.S	12	59183396	overdominant	5.54 	3	79036324	79036374
LUNG.express.scl34064.10_3.S	7	104154190	overdominant	5.87 	8	13055838	13055888
LUNG.express.scl25096.6.1_229.S	4	97603862	overdominant	4.84 	4	114744199	114744249
LUNG.express.scl0019434.2_141.S	5	40155592	overdominant	5.02 	18	66094478	66094528
LUNG.express.scl074356.1_49.S	19	24536944	overdominant	6.20 	8	107804599	107804649
LUNG.express.gi_31981889_ref_NM_009735.2__43_d_12_1.S	11	13574320	overdominant	4.83 	NA	NA	NA
LUNG.express.ri.A130095K04.PX00125K20.AK038322.1595.S	4	33910931	overdominant	4.85 	3	115419361	115419411
LUNG.express.ri.2500004H04.ZX00052F16.AK010873.627.S	5	147766786	overdominant	4.99 	NA	NA	NA
LUNG.express.scl0328829.1_249.S	8	68886238	overdominant	4.98 	17	48262645	48262695
LUNG.express.scl0070885.2_95.S	8	18055828	overdominant	5.15 	8	71351245	71351295
LUNG.express.scl21262.1.1_326.S	13	118295239	overdominant	4.91 	2	14405377	14405427
LUNG.express.scl50710.7_436.S	1	45969119	overdominant	4.95 	17	43226598	43226648
LUNG.express.scl34378.13_481.S	6	127388376	overdominant	4.79 	8	108654527	108654577
LUNG.express.scl0001453.1_239.S	6	10580148	overdominant	5.11 	11	50713756	50713806
LUNG.express.scl0003478.1_0.S	13	92982125	overdominant	5.03 	9	64543185	64543235
LUNG.express.scl25548.2.1_197.S	15	14665948	overdominant	4.82 	4	40422483	40422533
LUNG.express.scl17374.15.20_23.S	8	79159764	overdominant	4.81 	1	153305071	153305121
LUNG.express.scl000902.1_10.S	12	14875963	overdominant	4.77 	1	175961856	175961906
LUNG.express.scl0320684.1_229.S	13	108070177	overdominant	4.93 	2	135406999	135407049
LUNG.express.GI_38078931.S	14	85687711	overdominant	5.30 	4	140939736	140939786
LUNG.express.scl00214063.1_272.S	13	92878814	overdominant	4.91 	4	141317983	141318033
LUNG.express.scl0003283.1_36.S	9	34769248	overdominant	5.35 	2	69218552	69218602
LUNG.express.scl0001076.1_117.S	7	103902463	overdominant	5.05 	6	51412377	51412427
LUNG.express.scl0270685.28_30.S	4	154079531	overdominant	4.85 	10	6190740	6190790
LUNG.express.scl17050.20_272.S	1	17297861	overdominant	4.82 	1	193447071	193447121
LUNG.express.scl0016871.2_72.S	18	38814708	overdominant	4.92 	2	26056744	26056795
LUNG.express.ri.A230001G09.PX00126F17.AK038383.2309.S	3	155062096	overdominant	5.01 	4	114528579	114528629
LUNG.express.ri.1700021E15.ZX00074A04.AK006197.1366.S	4	33171359	overdominant	4.75 	5	108568202	108568252
LUNG.express.ri.D130029C05.PX00183D23.AK051287.3462.S	17	35276617	overdominant	4.82 	6	113753627	113753677
LUNG.express.scl0003852.1_15.S	4	97603862	overdominant	4.79 	10	128138433	128138483
LUNG.express.scl094112.1_23.S	1	35090385	overdominant	4.81 	16	17651632	17651682
LUNG.express.gi_31981889_ref_NM_009735.2__43_a_21_0.S	12	26165733	overdominant	4.76 	NA	NA	NA
LUNG.express.scl0016535.1_193.S	19	10248920	overdominant	4.91 	7	150612746	150612796
LUNG.express.scl54736.1.1_157.S	15	21710342	overdominant	4.74 	X	98840451	98840501
LUNG.express.ri.C130015I21.PX00167C02.AK081416.3274.S	19	47937708	overdominant	4.88 	NA	NA	NA
LUNG.express.scl49145.9_59.S	7	103902463	overdominant	5.05 	16	38768874	38768924
LUNG.express.scl50395.3.1740_8.S	6	76131992	overdominant	4.97 	17	88877221	88877271
LUNG.express.scl40250.1.1_66.S	6	39884201	overdominant	4.76 	11	51807336	51807386
LUNG.express.ri.9430025C20.PX00109A13.AK034690.2115.S	6	56518289	overdominant	5.01 	4	3734268	3734318
LUNG.express.GI_38081210.S	11	105098566	overdominant	4.82 	NA	NA	NA
LUNG.express.scl068694.4_24.S	11	36686534	overdominant	4.79 	3	92511859	92511909
LUNG.express.scl27631.2.1_73.S	7	141877628	overdominant	4.75 	5	88410494	88410544
LUNG.express.scl000051.1_2_REVCOMP.S	5	130226896	overdominant	5.32 	8	107776539	107776589
LUNG.express.scl9765.1.1_12.S	16	38155017	overdominant	4.89 	15	99802916	99802966
LUNG.express.GI_38073837.S	1	45969119	overdominant	4.87 	NA	NA	NA
LUNG.express.ri.D030059B04.PX00181I16.AK083645.2562.S	3	74039289	overdominant	5.03 	7	53938439	53938489
LUNG.express.scl0066310.1_231.S	17	93790718	overdominant	4.93 	NA	NA	NA
LUNG.express.MJ.1000.74_823_a_21_2.S	5	145200113	overdominant	4.73 	NA	NA	NA
LUNG.express.scl52062.1.1_324.S	7	129959502	overdominant	4.73 	18	37597760	37597810
LUNG.express.scl067313.2_26.S	4	22163387	overdominant	4.81 	1	138112356	138112406
LUNG.express.scl0003936.1_5.S	4	109541448	overdominant	5.43 	10	127918744	127918794
LUNG.express.scl26859.18.1_18.S	9	118729237	overdominant	5.22 	5	20493156	20493206
LUNG.express.scl25260.1.865_261.S	10	99036087	overdominant	4.72 	4	97781587	97781637
LUNG.express.scl000279.1_1.S	3	19147368	overdominant	4.96 	7	52625303	52625353
LUNG.express.GI_38081700.S	1	93218794	overdominant	4.71 	17	13082996	13083150
LUNG.express.mmu.let.7a.miRNA.Tagged.Template.S	12	94983892	overdominant	4.91 	NA	NA	NA
LUNG.express.scl0073993.1_2.S	11	16328693	overdominant	5.33 	7	133884788	133884838
LUNG.express.scl22478.3_284.S	14	24629921	overdominant	4.76 	3	146168020	146168070
LUNG.express.scl0001926.1_995.S	12	87124120	overdominant	4.72 	3	106535584	106535634
LUNG.express.scl16830.3.1_34.S	9	69455800	overdominant	4.82 	1	39463616	39463666
LUNG.express.ri.2700078K21.ZX00064I19.AK012535.960.S	13	9569969	overdominant	5.07 	NA	NA	NA
LUNG.express.scl0227800.12_249.S	5	133538553	overdominant	5.10 	2	37421824	37421874
LUNG.express.scl33596.6.1_111.S	6	125064611	overdominant	4.73 	8	86552402	86552452
LUNG.express.scl20012.17_28.S	5	117307584	overdominant	5.16 	2	157297501	157297551
LUNG.express.scl0406176.1_42.S	10	127521610	overdominant	4.98 	NA	NA	NA
LUNG.express.scl42172.15.1_30.S	11	6488666	overdominant	4.83 	12	99452547	99452597
LUNG.express.ri.A430083G20.PX00138B03.AK040288.2356.S	5	60623647	overdominant	4.94 	11	119756010	119756060
LUNG.express.scl00268977.2_205.S	4	97603862	overdominant	4.87 	17	75790932	75790982
LUNG.express.scl51928.9.1_0.S	14	11312893	overdominant	4.70 	18	56645036	56645086
LUNG.express.GI_38091526.S	7	104211688	overdominant	4.72 	11	83600177	83600227
LUNG.express.scl00381356.1_149.S	1	68121913	overdominant	4.86 	2	26876363	26876413
LUNG.express.scl48171.9_97.S	1	162450321	overdominant	4.82 	16	94719457	94719507
LUNG.express.scl25565.5.123_2.S	9	118729237	overdominant	5.44 	4	34513199	34513249
LUNG.express.scl12346.1.1_244.S	13	77701237	overdominant	5.16 	13	22567244	22567294
LUNG.express.GI_38085699.S	7	103902463	overdominant	4.67 	7	6083158	6083208
LUNG.express.scl19094.19.1_45.S	15	32238619	overdominant	5.22 	2	76877543	76877593
LUNG.express.scl20134.3.1_312.S	6	135839502	overdominant	4.67 	2	151537823	151537873
LUNG.express.scl34499.5.1_0.S	6	76742046	overdominant	4.76 	8	94322825	94322875
LUNG.express.scl00109054.1_86.S	9	118729237	overdominant	4.91 	NA	NA	NA
LUNG.express.scl00109054.1_86.S	7	103902463	overdominant	4.71 	NA	NA	NA
LUNG.express.GI_38089934.S	15	22448859	overdominant	4.66 	9	59566138	59566188
LUNG.express.scl00116849.1_287.S	3	52308561	overdominant	5.00 	10	117726732	117726782
LUNG.express.GI_38093435.S	3	118289974	overdominant	4.66 	NA	NA	NA
LUNG.express.scl54777.3.514_32.S	19	30055566	overdominant	4.84 	X	91886861	91886911
LUNG.express.scl39171.1.14_4.S	11	111355259	overdominant	4.79 	10	7384047	7384097
LUNG.express.scl00218215.2_303.S	8	99553110	overdominant	4.66 	13	47341768	47341818
LUNG.express.scl017330.5_48.S	9	118729237	overdominant	4.84 	19	32589493	32589543
LUNG.express.scl23898.4_2.S	2	112746430	overdominant	4.82 	4	118950319	118950369
LUNG.express.scl0070568.2_167.S	2	113101520	overdominant	4.64 	4	19449273	19449323
LUNG.express.scl0002809.1_7.S	10	89234939	overdominant	5.37 	4	136095060	136095110
LUNG.express.AmbionRNASpike8_1800_d_2_0.S	16	31326242	overdominant	4.64 	NA	NA	NA
LUNG.express.scl51810.1.734_119.S	5	113796516	overdominant	5.14 	18	68108452	68108502
LUNG.express.scl0003389.1_16.S	5	68657651	overdominant	4.79 	2	163484901	163484951
LUNG.express.scl27591.6.1_80.S	4	5362913	overdominant	4.67 	5	91577300	91577350
LUNG.express.scl36170.1.1_65.S	11	56329468	overdominant	4.76 	9	20302974	20303024
LUNG.express.scl071038.1_236.S	14	46175254	overdominant	4.73 	3	135496778	135496828
LUNG.express.scl32421.3_11.S	8	89032766	overdominant	4.66 	7	95639343	95639393
LUNG.express.scl41193.29.1_8.S	1	57882115	overdominant	4.65 	11	78773181	78773231
LUNG.express.scl064113.1_17.S	6	135272017	overdominant	4.82 	12	103980474	103980524
LUNG.express.scl00213541.1_28.S	17	37268527	overdominant	4.99 	4	131767944	131767994
LUNG.express.scl18485.3_471.S	12	15739287	overdominant	4.89 	2	153166955	153167005
LUNG.express.scl0017258.2_124.S	13	70728610	overdominant	4.63 	7	74379717	74379767
LUNG.express.scl0022647.1_28.S	5	120493505	overdominant	4.79 	2	120335627	120335677
LUNG.express.scl50986.5.1_79.S	17	39314765	overdominant	4.63 	17	25436796	25436846
LUNG.express.scl066568.3_30.S	17	39314765	overdominant	4.78 	3	120874510	120874560
LUNG.express.scl0057260.2_132.S	2	6232263	overdominant	4.63 	14	56381593	56381643
LUNG.express.scl28641.19_283.S	7	123831181	overdominant	4.66 	6	97061337	97061387
LUNG.express.scl35728.11_285.S	2	6022032	overdominant	5.05 	9	61801437	61801487
LUNG.express.ri.9930022A15.PX00120B21.AK036889.3954.S	10	30430549	overdominant	4.68 	18	44191679	44191729
LUNG.express.scl48783.2_107.S	4	108770805	overdominant	4.68 	16	8633708	8633758
LUNG.express.scl0320338.6_28.S	11	116402796	overdominant	4.93 	18	67352430	67352480
LUNG.express.scl32749.5_501.S	10	125239648	overdominant	4.62 	7	50873455	50873505
LUNG.express.scl30576.6.1_92.S	10	48870670	overdominant	4.63 	7	140019416	140019466
LUNG.express.scl25084.5.1_206.S	11	7852779	overdominant	4.63 	4	115508696	115508746
LUNG.express.scl000056.1_228_REVCOMP.S	3	50235045	overdominant	4.64 	8	107776664	107776714
LUNG.express.scl015962.1_0.S	13	104051588	overdominant	5.05 	NA	NA	NA
LUNG.express.ri.D130027A21.PX00183N24.AK051268.1800.S	1	45969119	overdominant	4.80 	NA	NA	NA
LUNG.express.scl0011488.2_256.S	13	42935415	overdominant	4.88 	11	102640210	102640262
LUNG.express.scl18461.1.1980_40.S	18	56912584	overdominant	5.47 	2	155287472	155287522
