trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
ENSRNOT00000041686	10	9662618	9662618-9714278	dominant	trans	6.83 	8.42 
ENSRNOT00000052351	7	22947514	22789681-22958361	overdominant	trans	6.82 	6.03 
ENSRNOT00000048564	15	99045043	99045043-99289592	dominant	trans	6.81 	10.16 
ENSRNOT00000035186	20	4867124	4867124-4867124	partial-dominant	cis	6.79 	23.08 
ENSRNOT00000046357	1	202851725	202851725-234305027	overdominant	trans	6.78 	7.44 
ENSRNOT00000037866	17	67107511	66811318-96899427	dominant	trans	6.78 	7.92 
ENSRNOT00000054954	7	92556095	89964629-92613727	overdominant	trans	6.77 	5.96 
ENSRNOT00000057917	9	70098916	68042762-70496491	overdominant	trans	6.76 	6.26 
ENSRNOT00000029787	10	95365201	95365201-95365201	dominant	trans	6.76 	8.34 
ENSRNOT00000044044	16	23527180	23302277-23639845	dominant	trans	6.76 	9.59 
ENSRNOT00000038429	17	29161337	28835771-29791771	overdominant	trans	6.75 	8.06 
ENSRNOT00000042708	7	107564015	106715623-108389425	dominant	trans	6.73 	9.86 
ENSRNOT00000063792	4	26466090	26305940-26510690	dominant	trans	6.72 	10.05 
ENSRNOT00000036265	7	28315214	28315214-28315214	overdominant	trans	6.72 	6.36 
ENSRNOT00000068401	1	53510931	53433334-54553083	dominant	trans	6.72 	9.21 
ENSRNOT00000022711	2	211624684	211624684-211986342	overdominant	trans	6.71 	7.62 
ENSRNOT00000060521	9	42592702	42219351-42592702	overdominant	trans	6.71 	6.08 
ENSRNOT00000028735	14	25844116	25844116-25938218	overdominant	trans	6.71 	8.49 
ENSRNOT00000044239	5	7519882	5313085-10159945	dominant	trans	6.71 	11.08 
ENSRNOT00000002692	9	19184849	17416053-19473960	overdominant	trans	6.70 	5.90 
ENSRNOT00000061987	1	154280991	153728540-154280991	dominant	trans	6.70 	10.95 
ENSRNOT00000060563	5	524455	219789-2664467	dominant	trans	6.68 	8.65 
ENSRNOT00000031935	1	220568737	123314967-220574228	overdominant	trans	6.68 	6.44 
ENSRNOT00000041590	15	45188494	45188494-45188494	dominant	trans	6.68 	7.72 
ENSRNOT00000019181	15	70517335	70148443-72628409	overdominant	trans	6.67 	6.23 
ENSRNOT00000057247	3	147080000	146107471-147080000	overdominant	trans	6.66 	6.18 
ENSRNOT00000015172	7	125956338	122107110-125956338	overdominant	trans	6.65 	6.00 
ENSRNOT00000068639	9	19184849	19184849-19473960	overdominant	trans	6.65 	5.87 
ENSRNOT00000042648	9	6137984	6132645-6137984	dominant	trans	6.65 	9.00 
ENSRNOT00000057589	17	85101888	85101888-85857257	overdominant	trans	6.63 	5.84 
ENSRNOT00000058190	13	43315928	43315928-43337919	overdominant	trans	6.62 	5.90 
ENSRNOT00000067392	1	200791590	199953332-246257884	overdominant	trans	6.61 	6.95 
ENSRNOT00000011619	6	122855152	122707842-122914653	overdominant	trans	6.61 	5.82 
ENSRNOT00000015054	3	149307347	6352693-149367163	overdominant	trans	6.60 	6.08 
ENSRNOT00000012578	2	211624684	211624684-211986342	overdominant	trans	6.60 	7.73 
ENSRNOT00000029766	10	85747170	85673983-85751130	overdominant	trans	6.59 	8.82 
ENSRNOT00000006659	6	48051106	48033392-48051106	dominant	trans	6.58 	8.38 
ENSRNOT00000046903	1	162864982	159037396-165597572	overdominant	trans	6.58 	14.54 
ENSRNOT00000043058	19	38812774	38812774-39409121	overdominant	trans	6.58 	7.61 
ENSRNOT00000039874	11	44937982	43708870-45087715	dominant	trans	6.57 	9.93 
ENSRNOT00000067802	18	65463527	65463527-65821637	dominant	trans	6.56 	7.31 
ENSRNOT00000050844	4	77267450	74801320-79257904	overdominant	trans	6.56 	6.33 
ENSRNOT00000000351	16	71935347	71144922-71951421	overdominant	trans	6.55 	7.82 
ENSRNOT00000066933	6	39298312	39244608-45371735	dominant	trans	6.55 	7.29 
ENSRNOT00000036447	20	9691463	9149589-9805167	overdominant	trans	6.55 	7.38 
ENSRNOT00000005674	2	47317040	45881113-48384911	overdominant	trans	6.55 	5.88 
ENSRNOT00000046626	6	69920723	68824143-69927444	overdominant	trans	6.54 	5.86 
ENSRNOT00000049705	18	19413795	19413795-19413795	dominant	trans	6.54 	7.95 
ENSRNOT00000041762	2	228278491	228278491-228332056	overdominant	trans	6.54 	5.77 
ENSRNOT00000038175	14	101650963	101650963-101866943	dominant	trans	6.54 	8.85 
ENSRNOT00000027988	15	34558666	34558666-34558666	dominant	cis	6.53 	10.60 
ENSRNOT00000064269	8	44374362	44374362-44400028	overdominant	trans	6.52 	5.71 
ENSRNOT00000017037	4	120219643	109152684-120452782	dominant	trans	6.52 	7.76 
ENSRNOT00000060329	2	37264542	37264542-37597622	dominant	trans	6.51 	8.60 
ENSRNOT00000056264	9	42592702	42219351-42592702	overdominant	trans	6.51 	6.29 
ENSRNOT00000026742	5	79396382	77493391-80592296	overdominant	trans	6.50 	6.18 
ENSRNOT00000057710	20	16257054	16062636-16465821	overdominant	trans	6.50 	6.27 
ENSRNOT00000012549	10	93326687	93326687-94681415	dominant	trans	6.49 	8.90 
ENSRNOT00000064741	15	19117559	18901755-21697469	dominant	trans	6.48 	11.14 
ENSRNOT00000049345	6	48051106	48033392-48051106	overdominant	trans	6.47 	6.35 
ENSRNOT00000059894	1	105659629	105659629-105765813	overdominant	trans	6.47 	7.76 
ENSRNOT00000056420	2	228278491	228278491-228332056	overdominant	trans	6.47 	5.71 
ENSRNOT00000019482	2	46076533	43653060-48384911	overdominant	trans	6.47 	6.31 
ENSRNOT00000038148	15	91650846	91650846-93709966	dominant	trans	6.46 	8.00 
ENSRNOT00000057989	14	12712624	11500595-12712624	overdominant	trans	6.46 	5.73 
ENSRNOT00000047596	7	130661261	130512431-130679035	overdominant	trans	6.46 	5.66 
ENSRNOT00000004618	9	19184849	19184849-19473960	overdominant	trans	6.46 	5.75 
ENSRNOT00000066064	10	100678120	100678120-100689118	dominant	trans	6.45 	8.14 
ENSRNOT00000028612	1	203453813	203453813-203453813	dominant	trans	6.45 	8.31 
ENSRNOT00000035074	7	71210781	71210781-71943957	dominant	trans	6.43 	8.02 
ENSRNOT00000058962	9	24597752	24335166-24597752	dominant	trans	6.43 	6.82 
ENSRNOT00000016779	2	248154337	248143438-250755642	overdominant	trans	6.42 	7.34 
ENSRNOT00000022144	10	59159713	58661395-59991750	overdominant	trans	6.42 	5.65 
ENSRNOT00000066593	1	173584275	152583209-175246298	overdominant	trans	6.42 	7.84 
ENSRNOT00000063797	2	51278834	50935741-51278834	overdominant	trans	6.41 	5.62 
ENSRNOT00000016656	7	110944066	110915340-111694418	dominant	trans	6.41 	8.67 
ENSRNOT00000016656	13	101061525	100706821-104565693	dominant	trans	6.41 	8.79 
ENSRNOT00000057099	4	136015320	136015320-136493353	dominant	trans	6.41 	7.68 
ENSRNOT00000031157	10	85751130	85673983-85751130	overdominant	trans	6.40 	6.85 
ENSRNOT00000001301	10	77648503	77648503-77934004	dominant	trans	6.40 	8.52 
ENSRNOT00000007330	10	22762650	22606912-22762650	overdominant	trans	6.40 	5.91 
ENSRNOT00000018364	7	106735022	105935627-107337609	overdominant	trans	6.39 	6.53 
ENSRNOT00000064387	10	72803745	72437857-72803745	dominant	trans	6.39 	8.99 
ENSRNOT00000002292	15	84020586	83975835-84218742	overdominant	trans	6.38 	5.58 
ENSRNOT00000055757	17	71976038	70641030-71976038	overdominant	trans	6.38 	6.40 
ENSRNOT00000049655	17	61946360	61944113-62141243	overdominant	trans	6.38 	5.64 
ENSRNOT00000067410	17	61946360	61944113-62141243	overdominant	trans	6.38 	5.64 
ENSRNOT00000066906	15	45188494	45188494-45188494	dominant	trans	6.38 	8.75 
ENSRNOT00000018484	6	66204558	66160991-66531774	dominant	trans	6.38 	8.31 
ENSRNOT00000041334	9	42592702	42219351-42592702	overdominant	trans	6.37 	5.61 
ENSRNOT00000064236	1	203742364	203742364-203827036	dominant	trans	6.37 	7.73 
ENSRNOT00000066132	12	31356627	31356627-31490646	overdominant	trans	6.36 	5.80 
ENSRNOT00000005881	9	42592702	42219351-42592702	overdominant	trans	6.36 	5.93 
ENSRNOT00000066738	6	146293482	146293482-146293482	dominant	trans	6.36 	8.47 
ENSRNOT00000015527	4	32918437	32561584-32947042	overdominant	trans	6.36 	5.95 
ENSRNOT00000041337	3	47684934	47684934-47734439	dominant	trans	6.35 	8.54 
ENSRNOT00000027754	14	14450419	14014801-14878870	overdominant	trans	6.34 	5.67 
ENSRNOT00000059645	3	162653164	162309149-163101371	dominant	trans	6.34 	10.86 
ENSRNOT00000059185	4	149403997	149403997-149403997	overdominant	trans	6.34 	5.63 
ENSRNOT00000043328	17	67107511	66811318-96899427	dominant	trans	6.33 	7.76 
ENSRNOT00000067767	3	166571352	166467153-166571352	overdominant	trans	6.33 	5.59 
ENSRNOT00000004400	7	61170793	61138305-63877621	overdominant	trans	6.33 	5.53 
ENSRNOT00000019579	16	74443503	73391227-74665865	overdominant	trans	6.32 	6.05 
ENSRNOT00000067968	5	76502092	76320402-76550773	dominant	trans	6.32 	7.72 
ENSRNOT00000043351	12	31767668	31677856-32066538	overdominant	trans	6.32 	6.01 
ENSRNOT00000037605	11	26353886	26285016-27249111	dominant	trans	6.31 	8.39 
ENSRNOT00000001549	9	64099346	63966251-64166959	overdominant	trans	6.31 	5.51 
ENSRNOT00000005102	2	47909777	46076533-48384911	overdominant	trans	6.30 	5.51 
ENSRNOT00000035238	9	19418496	19184849-19473960	overdominant	trans	6.30 	5.54 
ENSRNOT00000066823	13	65616424	65616424-66057174	dominant	trans	6.29 	8.55 
ENSRNOT00000038277	8	34601861	34601861-34710296	dominant	trans	6.29 	9.08 
ENSRNOT00000043465	2	32398982	32398982-32398982	dominant	trans	6.29 	8.75 
ENSRNOT00000026345	2	228278491	228278491-228332056	overdominant	trans	6.29 	5.49 
ENSRNOT00000004482	16	74443503	74443503-74522413	overdominant	trans	6.29 	6.88 
ENSRNOT00000014248	2	73166976	72514757-74574029	overdominant	trans	6.29 	6.91 
ENSRNOT00000016764	16	67061078	67061078-67753742	overdominant	cis	6.28 	7.35 
ENSRNOT00000017153	4	185607295	184839399-186013628	overdominant	trans	6.27 	5.53 
ENSRNOT00000029297	1	241852780	240690815-241957678	overdominant	trans	6.27 	7.46 
ENSRNOT00000021797	13	71240855	71204532-72143407	overdominant	trans	6.26 	5.52 
ENSRNOT00000025748	17	70985474	70856943-71765897	overdominant	trans	6.26 	6.70 
ENSRNOT00000055902	16	74443503	74179058-74665865	overdominant	trans	6.26 	5.46 
ENSRNOT00000028875	10	82878979	82298742-83870540	overdominant	trans	6.26 	5.54 
ENSRNOT00000035435	14	70936394	70657200-89478804	overdominant	trans	6.25 	6.25 
ENSRNOT00000011300	5	24102000	24102000-24675972	overdominant	trans	6.25 	6.21 
ENSRNOT00000039082	9	19418496	19184849-106039188	overdominant	trans	6.25 	5.74 
ENSRNOT00000033864	8	32459888	32421233-32459888	dominant	trans	6.25 	11.50 
ENSRNOT00000006403	9	19184849	17210669-39345979	overdominant	trans	6.24 	5.50 
ENSRNOT00000043067	2	228278491	228278491-228332056	overdominant	trans	6.24 	5.52 
ENSRNOT00000067187	8	80304068	80237930-80658829	overdominant	trans	6.24 	6.40 
ENSRNOT00000003022	7	71210781	71210781-71943957	dominant	trans	6.23 	7.50 
ENSRNOT00000042405	4	143295079	143295079-147225592	dominant	trans	6.23 	9.47 
ENSRNOT00000005894	9	78394485	78196978-78399768	overdominant	trans	6.23 	5.85 
ENSRNOT00000044728	6	115259065	115258614-115259065	dominant	trans	6.22 	10.99 
ENSRNOT00000017180	6	47163549	1031666-47213220	overdominant	trans	6.22 	6.21 
ENSRNOT00000019237	14	54601357	53669481-57622001	overdominant	trans	6.22 	5.99 
ENSRNOT00000014836	2	93056197	92401319-93334092	overdominant	trans	6.22 	6.48 
ENSRNOT00000011599	6	60953823	60953823-60999133	overdominant	trans	6.22 	5.51 
ENSRNOT00000045525	6	48620448	48594256-48624708	dominant	trans	6.22 	8.79 
ENSRNOT00000029848	8	46934336	46934336-46952121	overdominant	trans	6.21 	7.14 
ENSRNOT00000066692	15	84020586	83812520-84218742	overdominant	trans	6.21 	5.43 
ENSRNOT00000057434	4	182145093	181908323-182234993	overdominant	trans	6.21 	5.45 
ENSRNOT00000051414	8	79069409	78257724-98198932	overdominant	trans	6.21 	5.47 
ENSRNOT00000006239	10	41601574	41041011-43377238	overdominant	trans	6.21 	5.81 
ENSRNOT00000068098	2	92741762	82999491-204755300	overdominant	trans	6.20 	5.51 
ENSRNOT00000067192	15	92619637	92619637-92660534	overdominant	trans	6.20 	6.22 
ENSRNOT00000023751	10	85747170	84464885-85751130	overdominant	trans	6.19 	9.97 
ENSRNOT00000017420	12	10451529	8954120-11019610	overdominant	trans	6.19 	5.47 
ENSRNOT00000009220	5	86805556	86189555-86805556	overdominant	trans	6.19 	7.35 
ENSRNOT00000063958	4	134997923	134657047-134997923	dominant	trans	6.19 	7.57 
ENSRNOT00000040799	8	81903543	81280944-82860861	overdominant	trans	6.19 	5.93 
ENSRNOT00000027558	1	246081020	246028639-246257884	dominant	trans	6.18 	7.34 
ENSRNOT00000014569	12	12247817	10049059-12449516	overdominant	trans	6.18 	5.44 
ENSRNOT00000033017	2	21239145	18833102-21995329	overdominant	trans	6.18 	5.39 
ENSRNOT00000018137	13	22827140	19394481-30191535	overdominant	trans	6.18 	5.51 
ENSRNOT00000024540	14	54280552	46777147-59250988	overdominant	trans	6.18 	5.54 
ENSRNOT00000007004	2	211624684	211624684-211986342	overdominant	trans	6.18 	7.68 
ENSRNOT00000043327	7	106735022	105411838-108389425	overdominant	trans	6.17 	6.36 
ENSRNOT00000008083	13	71302050	71204532-72143407	overdominant	trans	6.17 	5.39 
ENSRNOT00000021284	3	147728288	147000765-148297402	overdominant	trans	6.17 	5.38 
ENSRNOT00000028034	2	47918674	45881113-48384911	overdominant	trans	6.16 	5.38 
ENSRNOT00000010970	9	42592702	42219351-42592702	overdominant	trans	6.16 	5.62 
ENSRNOT00000042169	2	192136860	178892593-192673395	dominant	trans	6.16 	6.80 
ENSRNOT00000064611	13	13618161	13366996-36236238	overdominant	trans	6.16 	5.37 
ENSRNOT00000032937	17	73564283	73518898-73672480	overdominant	trans	6.15 	7.24 
ENSRNOT00000029333	6	100148255	100114499-103286095	overdominant	trans	6.15 	6.68 
ENSRNOT00000048031	20	40505287	40505287-41116950	overdominant	trans	6.15 	5.39 
ENSRNOT00000060859	10	84971238	84872781-96704472	overdominant	trans	6.15 	5.37 
ENSRNOT00000060436	15	57052700	55900854-58477835	overdominant	trans	6.15 	5.54 
ENSRNOT00000026192	9	65052634	64899127-65052634	overdominant	trans	6.14 	5.43 
ENSRNOT00000000743	17	79944734	79944734-79947086	overdominant	trans	6.14 	5.36 
ENSRNOT00000022002	5	110632656	110632656-111549595	dominant	trans	6.14 	8.69 
ENSRNOT00000065781	18	10192855	8771536-13639446	overdominant	trans	6.14 	5.38 
ENSRNOT00000010660	10	91512018	91157487-91814902	overdominant	trans	6.14 	5.58 
ENSRNOT00000035815	7	107564015	107454682-108389425	overdominant	trans	6.14 	5.34 
ENSRNOT00000034851	18	11209143	10116226-13162842	overdominant	trans	6.13 	5.61 
ENSRNOT00000043421	5	22672971	22672971-22672971	dominant	trans	6.13 	9.58 
ENSRNOT00000049426	2	21239145	21239145-21995329	overdominant	trans	6.13 	5.45 
ENSRNOT00000057874	7	71210781	71210781-71943957	dominant	trans	6.13 	8.02 
ENSRNOT00000055295	3	149017846	149017846-149017846	overdominant	trans	6.13 	5.43 
ENSRNOT00000019144	14	74023295	73721827-74646931	overdominant	trans	6.12 	5.38 
ENSRNOT00000001243	17	79944734	79407326-80267880	overdominant	trans	6.12 	5.34 
ENSRNOT00000016303	19	30529663	30420665-30704930	overdominant	trans	6.12 	7.08 
ENSRNOT00000051511	4	16671293	13738947-18725189	overdominant	trans	6.12 	5.55 
ENSRNOT00000065832	14	28744674	28723182-28951728	overdominant	cis	6.12 	6.01 
ENSRNOT00000002667	17	67107511	66811318-96899427	dominant	trans	6.11 	7.80 
ENSRNOT00000029848	10	98370526	98244510-99503783	overdominant	trans	6.11 	6.03 
ENSRNOT00000046310	7	103743644	102278338-103762120	dominant	trans	6.11 	8.07 
ENSRNOT00000002292	2	228278491	228278491-228332056	overdominant	trans	6.11 	5.57 
ENSRNOT00000065562	7	107564015	107454682-108389425	overdominant	trans	6.11 	5.73 
ENSRNOT00000021008	10	101785747	100725441-103967671	dominant	trans	6.11 	8.30 
ENSRNOT00000023421	2	211624684	211624684-212121364	overdominant	trans	6.11 	5.52 
ENSRNOT00000067827	8	115975797	91600069-115975797	dominant	trans	6.11 	8.16 
ENSRNOT00000051114	11	79696684	71016631-79696684	dominant	trans	6.10 	8.14 
ENSRNOT00000060832	7	31585140	31560915-56086075	overdominant	trans	6.09 	5.30 
ENSRNOT00000052134	3	108853748	104025529-110440065	overdominant	trans	6.08 	5.71 
ENSRNOT00000022307	14	54190298	46594034-64577732	overdominant	trans	6.08 	5.41 
ENSRNOT00000004236	2	55271271	54269250-55584441	dominant	trans	6.08 	6.93 
ENSRNOT00000060563	7	105935627	105411838-106735022	dominant	trans	6.08 	9.78 
ENSRNOT00000025616	16	74443503	74375575-74665865	overdominant	trans	6.07 	5.62 
ENSRNOT00000040056	16	28254479	26451631-28254479	overdominant	trans	6.07 	6.10 
ENSRNOT00000019639	6	115039585	114790235-122914653	overdominant	trans	6.07 	5.30 
ENSRNOT00000066920	3	112180315	111968392-112652899	overdominant	trans	6.06 	5.29 
ENSRNOT00000028070	2	211624684	211624684-211986342	overdominant	trans	6.06 	7.42 
ENSRNOT00000039294	6	116317817	116317817-116317817	dominant	trans	6.06 	8.07 
ENSRNOT00000029823	10	83665830	83665830-83870540	overdominant	trans	6.06 	5.30 
ENSRNOT00000034672	11	67211876	67194917-67352772	overdominant	trans	6.06 	5.91 
ENSRNOT00000014565	14	15180112	15180112-15241077	dominant	trans	6.05 	7.86 
ENSRNOT00000032376	14	9108228	8850409-9108228	overdominant	trans	6.05 	5.30 
ENSRNOT00000065196	16	22876768	22653381-23639845	dominant	trans	6.05 	8.02 
ENSRNOT00000061255	20	35723139	35696786-36036369	overdominant	trans	6.05 	5.89 
ENSRNOT00000064743	13	104502268	104179649-104899405	overdominant	trans	6.04 	5.31 
ENSRNOT00000025761	10	41496656	41041011-43377238	overdominant	trans	6.04 	5.33 
ENSRNOT00000068097	5	48347051	48347051-48347051	dominant	trans	6.04 	7.50 
ENSRNOT00000063865	8	106585521	106427055-107289332	overdominant	trans	6.04 	5.70 
ENSRNOT00000055272	9	42592702	38205053-42592702	overdominant	trans	6.04 	5.26 
ENSRNOT00000007811	2	1585343	1585343-5393303	overdominant	trans	6.04 	6.18 
ENSRNOT00000054696	19	5395344	4956591-5817354	dominant	trans	6.03 	7.27 
ENSRNOT00000042058	2	93055084	83548526-93976960	overdominant	trans	6.03 	5.96 
ENSRNOT00000024540	4	13009019	12917785-13343296	overdominant	trans	6.03 	5.39 
ENSRNOT00000067841	2	61857594	61857594-62456025	overdominant	trans	6.02 	5.27 
ENSRNOT00000019237	4	12917785	12917785-120269620	overdominant	trans	6.02 	5.88 
ENSRNOT00000057388	10	59125471	58906115-67836170	overdominant	trans	6.02 	5.50 
ENSRNOT00000065033	18	78163315	77849121-78176542	dominant	trans	6.02 	7.86 
ENSRNOT00000065516	17	67107511	66811318-96899427	dominant	trans	6.02 	6.58 
ENSRNOT00000018845	10	93326687	92635455-94681415	dominant	trans	6.02 	8.19 
ENSRNOT00000034969	15	93869465	93869465-93869465	overdominant	trans	6.02 	6.00 
ENSRNOT00000022585	14	91171998	91171998-91171998	overdominant	trans	6.01 	5.29 
ENSRNOT00000065558	18	64905527	54677236-64920818	dominant	trans	6.01 	7.23 
ENSRNOT00000016044	2	74574029	72514757-74574029	dominant	trans	6.01 	8.26 
ENSRNOT00000057546	20	35743696	35620907-35747192	overdominant	trans	6.01 	6.14 
ENSRNOT00000007127	1	124673177	123839473-124795788	overdominant	trans	6.01 	5.80 
