trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
ENSRNOG00000040308	1	2518973	2193028-2679723	partial-dominant	cis	12.30 	54.21 
ENSRNOG00000024064	20	1473491	420985-1478935	partial-dominant	cis	10.86 	29.95 
ENSRNOG00000029001	20	5084631	3611755-5084631	partial-dominant	trans	10.25 	36.28 
ENSRNOG00000032959	2	235401965	235401965-235798836	dominant	cis	10.18 	23.56 
ENSRNOG00000042989	4	173795814	173686554-173825333	partial-dominant	cis	10.15 	31.20 
ENSRNOG00000030074	2	190887839	190887839-191454679	partial-dominant	cis	10.08 	32.26 
ENSRNOG00000039386	15	31765696	31765696-31881355	partial-dominant	trans	9.76 	35.18 
ENSRNOG00000002130	14	5313455	5313455-6260213	partial-dominant	cis	9.67 	31.34 
ENSRNOG00000000999	6	97595716	88892423-97710479	overdominant	trans	9.43 	9.30 
ENSRNOG00000042788	5	139812222	139812222-140123812	overdominant	trans	9.41 	11.25 
ENSRNOG00000027103	4	76861404	76861404-77156450	overdominant	trans	9.30 	9.02 
ENSRNOG00000027271	18	71865954	71865954-72161875	partial-dominant	trans	9.22 	65.00 
ENSRNOG00000032825	7	69621337	69621337-71820326	partial-dominant	trans	8.87 	74.23 
ENSRNOG00000031296	10	13987097	12884321-14407712	partial-dominant	trans	8.85 	44.45 
ENSRNOG00000029899	17	14040203	13874087-14326935	overdominant	trans	8.78 	8.67 
ENSRNOG00000028926	2	10525682	10160746-22042661	dominant	trans	8.62 	10.35 
ENSRNOG00000015156	1	205868625	205115809-206039298	partial-dominant	cis	8.55 	19.93 
ENSRNOG00000035425	1	185539285	184707040-186370915	partial-dominant	cis	8.44 	21.90 
ENSRNOG00000036513	20	41914457	41914457-42268767	dominant	trans	8.27 	9.97 
ENSRNOG00000042302	20	13230130	13230130-13592581	dominant	trans	8.26 	11.55 
ENSRNOG00000036075	12	9829656	9774888-9863949	overdominant	trans	8.25 	8.87 
ENSRNOG00000021533	1	194703560	194360897-194703560	overdominant	trans	8.19 	7.34 
ENSRNOG00000036075	6	1753734	1695146-1985332	overdominant	trans	8.14 	7.29 
ENSRNOG00000042583	14	5943426	5313455-6260213	partial-dominant	cis	8.11 	29.19 
ENSRNOG00000029006	10	9303527	9302342-9736377	overdominant	trans	8.05 	7.51 
ENSRNOG00000034612	9	18761558	18487429-19997885	overdominant	trans	8.00 	8.93 
ENSRNOG00000036622	1	215811731	215360573-216267550	partial-dominant	cis	8.00 	29.60 
ENSRNOG00000002361	14	11968526	11847578-12726934	partial-dominant	cis	7.88 	26.16 
ENSRNOG00000042898	5	35334765	35333617-36698858	overdominant	trans	7.81 	7.25 
ENSRNOG00000043343	10	85673983	84313886-85817887	overdominant	trans	7.79 	10.94 
ENSRNOG00000001050	1	46657124	46562102-46805299	overdominant	trans	7.77 	7.44 
ENSRNOG00000018121	10	13595295	12884321-14407712	partial-dominant	trans	7.74 	38.47 
ENSRNOG00000016678	14	91171998	91171998-91190404	overdominant	trans	7.74 	6.89 
ENSRNOG00000043180	3	1220347	1181106-3208630	partial-dominant	cis	7.69 	29.28 
ENSRNOG00000028446	5	76502092	76354029-76578097	dominant	trans	7.67 	9.32 
ENSRNOG00000039493	3	107867421	107867421-107867421	overdominant	trans	7.67 	7.24 
ENSRNOG00000001837	9	24597752	24542210-24646233	dominant	trans	7.66 	8.51 
ENSRNOG00000038789	18	52609107	52374627-52730250	overdominant	trans	7.60 	7.35 
ENSRNOG00000010567	3	147783283	147250809-148297402	overdominant	trans	7.58 	6.78 
ENSRNOG00000020730	3	148446521	147118262-148648338	overdominant	trans	7.57 	6.74 
ENSRNOG00000033517	15	56510711	56269869-56833654	partial-dominant	trans	7.56 	57.43 
ENSRNOG00000019050	1	238646861	238567042-238880307	partial-dominant	cis	7.53 	31.64 
ENSRNOG00000024299	14	68419480	67995378-68646278	dominant	trans	7.49 	11.83 
ENSRNOG00000044313	16	63016219	63016219-63016219	dominant	trans	7.48 	9.70 
ENSRNOG00000020630	10	85747170	85556542-85817887	overdominant	trans	7.45 	11.50 
ENSRNOG00000031437	2	26132132	25009733-26132132	overdominant	trans	7.44 	6.61 
ENSRNOG00000029903	16	29843718	28647076-30066461	partial-dominant	cis	7.43 	24.41 
ENSRNOG00000030555	20	16618334	16578435-16670070	overdominant	trans	7.38 	6.55 
ENSRNOG00000000254	3	149122174	149032980-149181335	overdominant	trans	7.34 	6.60 
ENSRNOG00000006363	5	44546258	43905182-44588426	overdominant	trans	7.33 	6.57 
ENSRNOG00000045224	4	143248806	143248806-143590905	dominant	trans	7.31 	9.04 
ENSRNOG00000007026	4	154450695	154271655-154450695	overdominant	trans	7.31 	6.76 
ENSRNOG00000036056	8	43841912	43509420-44402112	overdominant	trans	7.30 	6.69 
ENSRNOG00000018794	3	4514344	4514344-6351887	partial-dominant	cis	7.29 	29.00 
ENSRNOG00000044070	2	151457930	149642334-159563607	overdominant	trans	7.27 	6.60 
ENSRNOG00000044976	15	83811407	83795104-83846801	overdominant	trans	7.22 	8.64 
ENSRNOG00000036459	5	31932146	31655767-32315436	dominant	trans	7.21 	10.82 
ENSRNOG00000022616	8	91609883	90756312-91661604	dominant	trans	7.21 	10.01 
ENSRNOG00000028194	19	53896413	52183227-55304632	overdominant	trans	7.19 	6.77 
ENSRNOG00000039350	11	79642995	79642995-79696684	overdominant	trans	7.17 	6.64 
ENSRNOG00000024508	4	169146925	169040674-170822179	partial-dominant	cis	7.16 	20.03 
ENSRNOG00000024511	16	37595241	32716248-45061899	overdominant	trans	7.15 	6.50 
ENSRNOG00000040442	2	136650013	136650013-136650013	dominant	trans	7.13 	11.64 
ENSRNOG00000034487	6	55309870	55226750-57730483	overdominant	trans	7.12 	6.74 
ENSRNOG00000032303	2	11455496	11213794-12250070	dominant	trans	7.09 	8.91 
ENSRNOG00000010324	15	14489914	14458845-15310342	overdominant	trans	7.05 	7.81 
ENSRNOG00000012710	3	147766595	146942917-148396000	overdominant	trans	7.05 	6.37 
ENSRNOG00000003005	2	24262730	24085831-24484135	overdominant	trans	7.05 	6.36 
ENSRNOG00000036539	7	105421290	105421290-105993269	dominant	trans	7.04 	7.59 
ENSRNOG00000001645	1	122617186	122600046-122958127	overdominant	trans	7.00 	6.27 
ENSRNOG00000045415	2	152158569	149642334-157388718	overdominant	trans	6.99 	6.18 
ENSRNOG00000042649	10	44323909	44323909-45327458	dominant	trans	6.97 	8.82 
ENSRNOG00000018701	10	50640880	50640880-50640880	overdominant	trans	6.95 	6.41 
ENSRNOG00000030173	18	69500782	69366761-69607019	overdominant	trans	6.95 	6.45 
ENSRNOG00000042980	2	228277855	228277666-229341627	overdominant	trans	6.92 	6.69 
ENSRNOG00000037052	2	128245694	128245694-129061942	overdominant	trans	6.91 	6.43 
ENSRNOG00000036657	1	190497951	190497951-190936254	partial-dominant	cis	6.91 	19.32 
ENSRNOG00000026974	13	69632522	69513617-70178014	overdominant	trans	6.89 	6.09 
ENSRNOG00000044316	2	151457930	149642334-158577861	overdominant	trans	6.87 	6.12 
ENSRNOG00000006877	3	143894492	143894492-143920688	overdominant	trans	6.85 	6.09 
ENSRNOG00000003419	20	35983216	35338124-36074068	overdominant	trans	6.84 	6.24 
ENSRNOG00000035287	3	163184218	163109060-163393230	overdominant	trans	6.80 	6.86 
ENSRNOG00000034410	4	148358701	148211432-149074647	overdominant	trans	6.80 	6.21 
ENSRNOG00000041645	16	10279839	9713303-11020834	overdominant	trans	6.79 	6.20 
ENSRNOG00000037949	1	230442663	230144198-230445184	overdominant	trans	6.78 	7.77 
ENSRNOG00000044121	2	152158569	149642334-157388718	overdominant	trans	6.78 	5.98 
ENSRNOG00000006690	3	147766595	147075350-148297402	overdominant	trans	6.76 	5.97 
ENSRNOG00000036009	15	22852814	22821615-23637152	overdominant	trans	6.74 	6.67 
ENSRNOG00000017422	20	36074068	35983216-38743562	overdominant	trans	6.72 	6.46 
ENSRNOG00000034898	6	144974524	144851593-145212203	partial-dominant	cis	6.72 	17.59 
ENSRNOG00000042310	6	56113564	55226750-56733706	dominant	trans	6.70 	7.50 
ENSRNOG00000037879	3	82034331	81806183-86044400	overdominant	trans	6.69 	7.46 
ENSRNOG00000006429	14	90319807	90221501-90319807	overdominant	trans	6.69 	6.00 
ENSRNOG00000045057	1	54764206	53406791-56518768	dominant	trans	6.68 	8.81 
ENSRNOG00000037096	4	44623061	44214489-45127625	overdominant	trans	6.67 	5.93 
ENSRNOG00000008138	8	43848819	43848819-44121006	partial-dominant	cis	6.67 	23.06 
ENSRNOG00000014942	5	7935184	6968126-9702412	overdominant	trans	6.67 	6.00 
ENSRNOG00000030101	10	100411584	100324179-100659462	overdominant	trans	6.66 	5.86 
ENSRNOG00000030551	4	10567574	10142190-10597492	overdominant	trans	6.66 	7.81 
ENSRNOG00000025365	8	117946762	117469387-118103389	dominant	trans	6.66 	7.34 
ENSRNOG00000002987	2	54613461	54269250-54613461	dominant	trans	6.62 	7.18 
ENSRNOG00000040299	5	31932146	31655767-32315436	dominant	trans	6.62 	8.71 
ENSRNOG00000030426	3	161938430	161793843-162875221	overdominant	trans	6.60 	6.29 
ENSRNOG00000045484	10	100160311	99659443-100205664	dominant	trans	6.58 	9.36 
ENSRNOG00000012563	3	147280139	147118262-148297402	overdominant	trans	6.58 	5.77 
ENSRNOG00000007622	17	73564283	73554508-73753576	dominant	trans	6.58 	9.01 
ENSRNOG00000038471	10	29319092	29317420-29397859	overdominant	trans	6.57 	5.89 
ENSRNOG00000020643	4	154991349	153780053-155088245	overdominant	trans	6.57 	5.87 
ENSRNOG00000009222	19	31505255	31108041-32144148	overdominant	trans	6.57 	5.93 
ENSRNOG00000016217	9	112261787	112261787-113005319	overdominant	trans	6.56 	5.82 
ENSRNOG00000009742	1	181146719	180134244-182807458	overdominant	trans	6.55 	6.14 
ENSRNOG00000027079	9	19184849	19184849-19473960	overdominant	trans	6.55 	5.84 
ENSRNOG00000023280	19	15731878	15731878-16659284	overdominant	trans	6.53 	5.73 
ENSRNOG00000034312	4	26510690	26298436-26545114	dominant	trans	6.53 	8.71 
ENSRNOG00000015225	3	149252386	149215134-149368659	overdominant	trans	6.53 	6.04 
ENSRNOG00000023233	3	118183439	116397002-118255405	overdominant	trans	6.53 	5.73 
ENSRNOG00000009001	3	143894492	143894492-143920688	overdominant	trans	6.53 	5.72 
ENSRNOG00000022204	18	72890350	72890350-72898552	overdominant	trans	6.52 	5.81 
ENSRNOG00000008234	14	70657200	70657200-86119984	overdominant	trans	6.52 	5.71 
ENSRNOG00000030551	2	243045854	241587569-243045854	overdominant	trans	6.51 	6.81 
ENSRNOG00000015656	10	51578899	47465002-54046311	overdominant	trans	6.51 	6.73 
ENSRNOG00000016298	7	107558360	107457588-108443800	overdominant	trans	6.48 	5.92 
ENSRNOG00000039541	7	128668195	128355020-129060521	overdominant	trans	6.48 	5.68 
ENSRNOG00000027126	4	153272162	151879105-153541530	overdominant	trans	6.48 	6.01 
ENSRNOG00000044899	10	102874559	102714553-102910899	overdominant	trans	6.47 	6.16 
ENSRNOG00000026387	1	213762375	213762375-213762973	partial-dominant	cis	6.47 	22.81 
ENSRNOG00000000705	1	122615667	122610520-123211017	overdominant	trans	6.46 	5.88 
ENSRNOG00000033666	10	95896479	95896479-96056075	overdominant	trans	6.46 	7.08 
ENSRNOG00000012110	7	107558360	107457588-108443800	overdominant	trans	6.45 	7.68 
ENSRNOG00000011634	15	85386881	85240071-85606864	overdominant	trans	6.44 	5.64 
ENSRNOG00000025957	3	46656052	46287282-46863162	partial-dominant	trans	6.44 	23.34 
ENSRNOG00000013702	20	48691669	47823181-48833355	overdominant	trans	6.44 	6.60 
ENSRNOG00000028352	17	933064	32990-1002769	overdominant	trans	6.44 	5.73 
ENSRNOG00000029401	2	211624684	211376494-211986342	overdominant	trans	6.44 	6.12 
ENSRNOG00000036910	5	24911305	24908648-25135987	overdominant	trans	6.44 	7.09 
ENSRNOG00000034012	1	93960720	92497832-94399167	partial-dominant	cis	6.43 	20.19 
ENSRNOG00000025856	13	44986420	44091677-44986420	overdominant	trans	6.43 	6.53 
ENSRNOG00000008915	14	15180112	11934212-15241077	overdominant	trans	6.43 	5.85 
ENSRNOG00000003942	3	147787480	147080000-149017846	overdominant	trans	6.42 	5.63 
ENSRNOG00000005931	2	83077205	83023764-83957128	overdominant	trans	6.42 	5.98 
ENSRNOG00000042022	9	14149475	14006306-15268731	overdominant	trans	6.42 	5.62 
ENSRNOG00000018333	19	52341823	52183227-55960512	overdominant	trans	6.41 	5.78 
ENSRNOG00000038980	18	58667230	11694006-58917694	overdominant	trans	6.40 	5.68 
ENSRNOG00000017405	3	149252386	149215134-149368659	overdominant	trans	6.39 	5.72 
ENSRNOG00000015768	16	47933230	47933230-48071613	overdominant	trans	6.39 	6.18 
ENSRNOG00000030111	14	74724313	74364404-75189039	overdominant	trans	6.38 	5.58 
ENSRNOG00000042741	5	43001941	41853352-43787346	overdominant	trans	6.38 	5.60 
ENSRNOG00000001966	9	19184849	17478254-19473960	overdominant	trans	6.38 	5.64 
ENSRNOG00000006871	1	213268664	207742763-220568737	overdominant	trans	6.36 	5.57 
ENSRNOG00000031608	19	40956561	40956561-46674624	overdominant	trans	6.36 	5.74 
ENSRNOG00000003135	11	68256550	67393817-68418357	overdominant	trans	6.35 	5.55 
ENSRNOG00000028121	8	89376759	89376759-91661604	dominant	trans	6.35 	7.58 
ENSRNOG00000030358	7	107558360	107454682-108443800	dominant	trans	6.35 	8.96 
ENSRNOG00000041552	8	27899541	27648389-27934416	dominant	trans	6.35 	8.86 
ENSRNOG00000012989	3	147787480	146082173-148297402	overdominant	trans	6.34 	5.55 
ENSRNOG00000013294	10	100653964	100411584-101951152	overdominant	trans	6.33 	5.66 
ENSRNOG00000007764	16	20157196	20157196-20334385	overdominant	trans	6.33 	5.54 
ENSRNOG00000010849	9	36748066	36128628-37169284	overdominant	trans	6.32 	5.54 
ENSRNOG00000019419	1	188959988	188546593-189696873	overdominant	trans	6.32 	5.55 
ENSRNOG00000020014	1	124961766	119877895-232367733	overdominant	trans	6.31 	5.92 
ENSRNOG00000028598	3	164438321	164365051-164438321	overdominant	trans	6.31 	5.66 
ENSRNOG00000033457	9	17716055	17657541-18390252	dominant	trans	6.30 	7.38 
ENSRNOG00000004372	15	100503694	100503694-100768409	dominant	trans	6.30 	7.63 
ENSRNOG00000033131	4	16416304	14981230-16453020	overdominant	trans	6.30 	5.56 
ENSRNOG00000004372	10	13291694	13291694-13358654	overdominant	trans	6.29 	6.64 
ENSRNOG00000041785	10	41598691	41033431-41610985	overdominant	trans	6.29 	6.57 
ENSRNOG00000017146	8	24279369	24205293-24618070	overdominant	trans	6.29 	5.49 
ENSRNOG00000005220	9	19311344	19184849-19463020	overdominant	trans	6.29 	5.54 
ENSRNOG00000019674	3	147766595	147250809-148396000	overdominant	trans	6.28 	6.47 
ENSRNOG00000018903	2	243884497	243884497-244014322	overdominant	trans	6.28 	6.22 
ENSRNOG00000031082	19	56281970	6434444-56286682	overdominant	trans	6.28 	5.52 
ENSRNOG00000016968	2	228277855	228277666-228332056	overdominant	trans	6.27 	5.52 
ENSRNOG00000005277	10	85747170	85556542-85817887	overdominant	trans	6.26 	5.58 
ENSRNOG00000030351	12	6516381	6393427-6684583	partial-dominant	trans	6.26 	51.23 
ENSRNOG00000032138	8	11156218	10874233-11325259	dominant	trans	6.25 	6.69 
ENSRNOG00000038574	1	110714899	110714114-115391855	overdominant	trans	6.24 	5.46 
ENSRNOG00000004694	8	97653444	94813614-97653444	overdominant	trans	6.24 	5.85 
ENSRNOG00000004372	8	20386542	20386542-21016135	overdominant	trans	6.24 	6.02 
ENSRNOG00000037375	1	101301712	101301712-102238812	overdominant	trans	6.23 	5.65 
ENSRNOG00000017908	10	105538210	105197690-105850227	overdominant	trans	6.23 	5.52 
ENSRNOG00000035550	2	235094696	234969331-235582441	overdominant	trans	6.23 	5.47 
ENSRNOG00000014543	6	34680304	34680304-34680304	overdominant	trans	6.22 	5.55 
ENSRNOG00000002381	14	70739124	14042773-70959574	overdominant	trans	6.22 	5.81 
ENSRNOG00000016497	7	107454682	106715310-108443800	overdominant	trans	6.21 	5.78 
ENSRNOG00000020361	7	51918102	51918102-54090236	overdominant	trans	6.21 	6.45 
ENSRNOG00000023256	3	47650882	47650882-47742302	overdominant	trans	6.21 	6.97 
ENSRNOG00000016295	13	15165143	14052625-31736451	overdominant	trans	6.20 	6.12 
ENSRNOG00000034298	9	42588450	29359094-42600568	overdominant	trans	6.19 	6.08 
ENSRNOG00000021266	8	54975306	53557372-91609526	overdominant	trans	6.19 	5.42 
ENSRNOG00000030429	10	88896859	88896859-88953651	overdominant	trans	6.18 	6.62 
ENSRNOG00000010152	3	7464412	6388141-9534670	dominant	cis	6.18 	17.08 
ENSRNOG00000026774	5	63579199	62873819-63627835	dominant	trans	6.18 	9.96 
ENSRNOG00000028386	4	143095062	142938289-143233839	overdominant	trans	6.18 	5.58 
ENSRNOG00000020276	2	54613461	54269250-55101934	overdominant	trans	6.18 	5.83 
ENSRNOG00000019456	1	116090322	110714114-118275430	overdominant	trans	6.18 	6.14 
ENSRNOG00000024634	7	96508541	95502632-97886345	overdominant	trans	6.18 	5.99 
ENSRNOG00000015347	3	147080000	146082173-147080000	overdominant	trans	6.17 	5.68 
ENSRNOG00000004320	6	128745569	128514281-128851530	overdominant	trans	6.17 	5.54 
ENSRNOG00000015992	9	29755767	29106718-30547058	overdominant	trans	6.16 	5.54 
ENSRNOG00000030481	5	110700308	110700308-111579307	dominant	trans	6.15 	9.29 
ENSRNOG00000006962	7	107234289	107001151-108443800	overdominant	trans	6.15 	6.80 
ENSRNOG00000023064	15	2996416	2200421-3657660	overdominant	trans	6.15 	5.51 
ENSRNOG00000027912	4	80369065	80369065-80455899	overdominant	trans	6.15 	6.60 
ENSRNOG00000013119	2	20175992	10160746-21609022	overdominant	trans	6.15 	5.35 
ENSRNOG00000023957	19	31172613	31108041-31917180	overdominant	trans	6.14 	6.66 
ENSRNOG00000006779	3	149215134	146942917-149368659	overdominant	trans	6.14 	5.88 
ENSRNOG00000040874	1	102047607	101301712-102238812	dominant	trans	6.14 	7.95 
ENSRNOG00000013752	10	90077554	89792191-90990706	overdominant	trans	6.13 	5.44 
ENSRNOG00000006806	7	107558360	106715310-108443800	overdominant	trans	6.13 	6.25 
ENSRNOG00000015543	3	147258102	147000765-148297402	overdominant	trans	6.13 	5.38 
ENSRNOG00000009928	7	106735022	106715310-107558360	overdominant	trans	6.13 	5.43 
ENSRNOG00000020979	4	154450695	154035256-154975269	overdominant	trans	6.13 	5.34 
ENSRNOG00000022160	2	205944952	205944952-206125503	overdominant	trans	6.12 	5.78 
ENSRNOG00000039490	1	229840098	229840098-229840098	overdominant	trans	6.12 	5.40 
ENSRNOG00000043123	3	149252386	149018024-149368659	overdominant	trans	6.12 	5.35 
ENSRNOG00000007006	20	35743696	35620907-35772358	overdominant	trans	6.12 	5.45 
ENSRNOG00000038657	4	161193096	161193096-161370729	overdominant	trans	6.12 	6.25 
ENSRNOG00000033154	15	14779467	14719173-14930948	dominant	trans	6.12 	7.48 
ENSRNOG00000038535	1	231739909	230311696-232053147	overdominant	trans	6.12 	6.29 
ENSRNOG00000042263	7	109558595	106762428-109790083	overdominant	trans	6.11 	8.01 
ENSRNOG00000041828	7	36616497	36542916-37781097	overdominant	trans	6.11 	5.56 
ENSRNOG00000033260	4	67212844	66458818-69247867	overdominant	trans	6.11 	6.19 
ENSRNOG00000042806	16	8670198	8605096-8817525	overdominant	trans	6.11 	5.53 
ENSRNOG00000028382	2	149769233	143405515-153326887	overdominant	trans	6.11 	5.35 
ENSRNOG00000001520	2	115444688	112021983-115519647	overdominant	trans	6.10 	7.40 
ENSRNOG00000000380	10	41598691	41033431-43377238	overdominant	trans	6.10 	5.93 
ENSRNOG00000044024	18	22336640	21798912-22709750	overdominant	trans	6.09 	7.16 
ENSRNOG00000041316	2	136564210	136438661-138100000	dominant	trans	6.09 	8.58 
ENSRNOG00000039339	20	35931634	35542436-38884292	overdominant	trans	6.09 	6.02 
ENSRNOG00000013663	1	242587566	97201100-245389605	overdominant	trans	6.09 	5.30 
ENSRNOG00000023330	13	78076841	74194452-78297531	overdominant	trans	6.08 	5.33 
ENSRNOG00000026907	9	19184849	19184849-19473960	overdominant	trans	6.08 	5.71 
ENSRNOG00000000436	15	12854201	11296580-15310342	overdominant	trans	6.07 	5.33 
ENSRNOG00000024456	8	123979069	123792775-124083790	overdominant	trans	6.07 	5.39 
ENSRNOG00000032549	15	17408230	17408230-17985842	overdominant	trans	6.07 	5.40 
ENSRNOG00000020651	1	177086645	175920932-177705441	overdominant	trans	6.07 	5.40 
ENSRNOG00000033196	14	17132323	16455461-17596637	dominant	trans	6.07 	9.75 
ENSRNOG00000014980	7	109746897	109558595-109790083	overdominant	trans	6.06 	5.33 
ENSRNOG00000022196	9	19184849	19184849-19473960	overdominant	trans	6.06 	5.37 
ENSRNOG00000009771	16	76052294	18989910-76484402	overdominant	trans	6.06 	5.32 
ENSRNOG00000019506	6	34680304	34680304-34680304	overdominant	trans	6.06 	5.88 
ENSRNOG00000007367	2	228277855	228277666-228332056	overdominant	trans	6.06 	5.42 
ENSRNOG00000004666	10	102548922	102401882-102689152	overdominant	trans	6.06 	5.31 
ENSRNOG00000010185	7	108145593	107001151-108443800	overdominant	trans	6.05 	6.38 
ENSRNOG00000001380	8	88991790	88365217-90612497	overdominant	trans	6.05 	5.78 
ENSRNOG00000008862	2	211624684	211624684-211986342	overdominant	trans	6.05 	6.76 
ENSRNOG00000031240	11	71376388	70330414-71376388	overdominant	trans	6.04 	5.63 
ENSRNOG00000001633	8	32945575	32537982-35130039	overdominant	trans	6.04 	6.22 
ENSRNOG00000022116	3	6202971	4514344-6351887	overdominant	trans	6.04 	6.03 
ENSRNOG00000014443	2	211624684	211624684-211986342	overdominant	trans	6.04 	6.35 
ENSRNOG00000030146	2	32846166	32846166-34215388	overdominant	trans	6.03 	5.80 
ENSRNOG00000039059	1	234452593	234295663-234478415	overdominant	trans	6.03 	7.89 
ENSRNOG00000035124	6	21691985	21502283-21863958	overdominant	trans	6.03 	5.46 
ENSRNOG00000011568	19	32420324	32420324-32479754	overdominant	trans	6.03 	5.39 
ENSRNOG00000010353	9	42219351	34120560-42600568	overdominant	trans	6.03 	5.33 
ENSRNOG00000014587	9	19399160	19184849-19473960	overdominant	trans	6.02 	5.31 
ENSRNOG00000003603	1	232290819	119877895-232367733	overdominant	trans	6.02 	5.71 
ENSRNOG00000035486	5	7519882	4630492-10240963	overdominant	trans	6.02 	7.21 
ENSRNOG00000007284	6	36062758	35759775-36660511	overdominant	trans	6.02 	6.74 
ENSRNOG00000014791	14	89045997	89045997-89203784	overdominant	trans	6.01 	5.49 
ENSRNOG00000022910	3	106911575	106662120-107606680	overdominant	trans	6.01 	6.12 
ENSRNOG00000009176	14	85918942	70657200-86119984	overdominant	trans	6.00 	5.46 
ENSRNOG00000035270	9	18487429	18487429-19997885	overdominant	trans	6.00 	5.39 
ENSRNOG00000027907	8	15084340	15084340-18134126	dominant	trans	5.99 	9.98 
ENSRNOG00000009001	2	228277666	159167594-228332056	overdominant	trans	5.99 	5.56 
ENSRNOG00000024114	4	65148990	64450661-65247615	dominant	trans	5.99 	7.59 
ENSRNOG00000000780	6	7190475	7104515-7191510	overdominant	trans	5.99 	5.29 
ENSRNOG00000038909	4	107710508	107710508-107710508	overdominant	trans	5.99 	5.34 
ENSRNOG00000028796	10	82878979	82274077-83732387	overdominant	trans	5.99 	5.29 
ENSRNOG00000016872	3	146082173	145833655-147080000	overdominant	trans	5.98 	6.85 
ENSRNOG00000033731	19	13724241	12960410-13918126	overdominant	trans	5.98 	5.56 
ENSRNOG00000010610	1	122859252	120532002-208612809	overdominant	trans	5.98 	5.69 
ENSRNOG00000000028	3	147080000	107521497-149368659	overdominant	trans	5.98 	5.40 
ENSRNOG00000028708	10	27995962	27633968-28254906	overdominant	trans	5.98 	5.31 
ENSRNOG00000039804	5	62515254	62515254-62581118	dominant	trans	5.97 	7.14 
ENSRNOG00000017681	10	105197690	105197690-105971490	overdominant	trans	5.97 	5.48 
ENSRNOG00000002722	4	154847375	154353739-155061719	overdominant	trans	5.97 	6.04 
ENSRNOG00000002105	2	21452009	21239145-22334540	overdominant	trans	5.97 	5.55 
ENSRNOG00000015301	1	124961766	123839473-125508479	overdominant	trans	5.97 	5.50 
ENSRNOG00000024605	3	146942917	146082173-147080000	overdominant	trans	5.96 	5.34 
ENSRNOG00000012344	15	84551168	83961192-84551168	overdominant	trans	5.96 	5.41 
ENSRNOG00000003180	5	54793402	54557903-56529797	overdominant	trans	5.96 	5.60 
ENSRNOG00000029341	4	3168283	146162-4697654	overdominant	trans	5.96 	5.60 
ENSRNOG00000026951	2	211624684	211624684-253009629	overdominant	trans	5.95 	6.10 
ENSRNOG00000026813	13	58563320	58160953-59971399	dominant	trans	5.94 	8.33 
ENSRNOG00000031193	7	21692945	21692945-21972187	dominant	trans	5.94 	8.45 
ENSRNOG00000039625	9	91815319	91815319-91834663	overdominant	trans	5.94 	5.44 
ENSRNOG00000003209	11	33078233	31960717-33143129	overdominant	trans	5.94 	5.54 
ENSRNOG00000035904	10	21306600	21104427-21412347	overdominant	trans	5.94 	5.63 
ENSRNOG00000025753	3	144048761	143443932-144182853	overdominant	trans	5.94 	7.83 
ENSRNOG00000038241	5	147614610	147593713-147651868	overdominant	trans	5.94 	6.49 
ENSRNOG00000016894	1	183691179	183642103-189696873	overdominant	trans	5.94 	5.86 
ENSRNOG00000010379	2	21011065	10160746-229329693	overdominant	trans	5.93 	5.34 
