trait	chr	pos	QTL_Type	logP_AD	DGE_chr	DGE_start	DGE_end
gnl.UG.Ssc.S35173945	13	103289372	overdominant	5.74 	NA	NA	NA
gnl.UG.Ssc.S35165284	11	25547790	overdominant	5.64 	14	7073529	7120390
gnl.UG.Ssc.S18388281	4	76549679	overdominant	6.18 	2	79823591	79881875
PTG01_0076_C10	16	65821577	overdominant	5.95 	NA	NA	NA
MLTL1_0032_E11	4	136802563	overdominant	6.04 	NA	NA	NA
gnl.UG.Ssc.S31124488	2	10979357	overdominant	6.38 	NA	NA	NA
gnl.UG.Ssc.S40218950	1	187458914	overdominant	5.61 	1	254937355	254944245
gnl.UG.Ssc.S23212994	9	147079835	overdominant	5.65 	3	42700754	42706839
gnl.UG.Ssc.S35171216	5	91801107	overdominant	6.86 	NA	NA	NA
gnl.UG.Ssc.S35173985	7	128674508	overdominant	6.02 	3	5166112	5179043
gnl.UG.Ssc.S23760447	3	31835126	partial-dominant	35.87 	3	33043721	33064367
gnl.UG.Ssc.S35172079	14	3034421	overdominant	5.69 	GL895352.1	15711	29819
gnl.UG.Ssc.S18358007	8	105550345	overdominant	5.70 	NA	NA	NA
gnl.UG.Ssc.S40150775	17	50302040	overdominant	5.61 	NA	NA	NA
ADR01_0046_G06	8	145979013	overdominant	5.77 	2	147857842	147953421
gnl.UG.Ssc.S18382464	11	51044016	overdominant	6.60 	NA	NA	NA
gnl.UG.Ssc.S46879075	1	223043310	overdominant	5.85 	7	12713074	12733740
gnl.UG.Ssc.S35166369	1	285851068	overdominant	5.60 	NA	NA	NA
gnl.UG.Ssc.S47005444	7	30435355	overdominant	5.63 	4	33354419	33361711
gnl.UG.Ssc.S40064815	6	5592689	overdominant	5.58 	NA	NA	NA
ADR01_0068_D04	11	86676975	overdominant	5.58 	1	109591051	109606006
gnl.UG.Ssc.S35170447	13	148090109	overdominant	5.83 	8	145213370	145216908
gnl.UG.Ssc.S46881207	9	153172073	overdominant	6.72 	NA	NA	NA
gnl.UG.Ssc.S19550097	14	125978735	overdominant	5.66 	2	67665760	67692357
gnl.UG.Ssc.S35168404	6	151102532	overdominant	5.83 	2	77968841	77972112
gnl.UG.Ssc.S21631326	12	35017301	overdominant	5.64 	NA	NA	NA
gnl.UG.Ssc.S19546082	5	91801107	overdominant	5.59 	NA	NA	NA
PBL01_0014_A06	15	105166304	partial-dominant	41.91 	15	105299264	105309294
gnl.UG.Ssc.S31130713	10	53395551	overdominant	5.66 	4	107036322	107038687
OVR01_0006_E09	13	5362894	overdominant	5.65 	NA	NA	NA
gnl.UG.Ssc.S16771004	2	41391662	overdominant	5.59 	NA	NA	NA
gnl.UG.Ssc.S18283307	1	58339176	overdominant	5.54 	14	42956562	42958960
gnl.UG.Ssc.S23697277	15	132803704	overdominant	5.56 	4	75061575	75128850
gnl.UG.Ssc.S39797120	11	14630959	overdominant	5.54 	5	22759690	22765948
gnl.UG.Ssc.S35171040	6	37779571	overdominant	5.51 	11	72092330	72161779
gnl.UG.Ssc.S47626207	12	11915433	overdominant	5.51 	NA	NA	NA
gnl.UG.Ssc.S35169944	5	7013047	overdominant	5.79 	10	63625465	63662232
gnl.UG.Ssc.S35173451	5	5995341	overdominant	5.80 	NA	NA	NA
gnl.UG.Ssc.S26735430	12	37502410	overdominant	5.73 	NA	NA	NA
gnl.UG.Ssc.S35173089	8	124371875	overdominant	5.51 	6	50753346	50792318
gnl.UG.Ssc.S18353762	3	139305792	overdominant	5.53 	NA	NA	NA
gnl.UG.Ssc.S34498339	6	96365981	partial-dominant	41.81 	NA	NA	NA
SPL01_0038_G05	6	21988030	overdominant	5.50 	15	61816694	61920619
gnl.UG.Ssc.S40216720	6	144070966	overdominant	5.60 	4	90692768	90699934
gnl.UG.Ssc.S17511429	9	38447487	overdominant	5.51 	NA	NA	NA
gnl.UG.Ssc.S35169183	12	18182604	overdominant	5.66 	12	26313938	26335220
gnl.UG.Ssc.S35171239	15	144746875	overdominant	5.48 	6	43232995	43239670
gnl.UG.Ssc.S26723508	10	12978836	partial-dominant	61.63 	10	12977461	13015992
TCH01_0058_H04	9	66742756	overdominant	5.75 	NA	NA	NA
LVRM1_0166_D04	11	4689240	overdominant	5.67 	13	37264062	37271951
gnl.UG.Ssc.S46875740	8	20094203	overdominant	5.59 	GL895293.1	77478	95569
gnl.UG.Ssc.S46877911	11	85136926	overdominant	5.46 	7	37905566	37968899
gnl.UG.Ssc.S35325457	4	138123252	overdominant	5.55 	NA	NA	NA
gnl.UG.Ssc.S35174222	13	61289053	overdominant	5.51 	9	77018779	77046296
gnl.UG.Ssc.S35166926	9	41060549	overdominant	6.25 	GL892332.2	289527	324238
gnl.UG.Ssc.S17518772	7	1705011	overdominant	5.69 	NA	NA	NA
gnl.UG.Ssc.S18547705	7	117272199	overdominant	5.66 	NA	NA	NA
gnl.UG.Ssc.S35168877	13	116929203	overdominant	5.46 	13	73071411	73079829
gnl.UG.Ssc.S35169245	18	46199686	overdominant	5.63 	2	70079758	70084452
LNG01_0019_F01	2	141604068	overdominant	5.57 	14	31326046	31331718
gnl.UG.Ssc.S26721893	7	128891964	overdominant	5.49 	NA	NA	NA
gnl.UG.Ssc.S18354763	3	98100280	overdominant	5.53 	7	70667589	70695692
gnl.UG.Ssc.S18358567	14	10716778	overdominant	5.50 	NA	NA	NA
gnl.UG.Ssc.S6043657	11	20902453	overdominant	5.51 	NA	NA	NA
gnl.UG.Ssc.S40040528	8	127777989	overdominant	5.54 	NA	NA	NA
gnl.UG.Ssc.S35164233	14	111511025	overdominant	5.71 	15	53182412	53222250
PTG01_0023_B12	1	300771132	overdominant	5.42 	18	10742587	10822097
gnl.UG.Ssc.S23775437	15	57351718	overdominant	5.49 	NA	NA	NA
gnl.UG.Ssc.S46875914	12	8894982	overdominant	5.54 	17	48698399	48701183
gnl.UG.Ssc.S35168088	13	35107691	overdominant	5.95 	GL892917.1	19279	29566
gnl.UG.Ssc.S6090233	15	26347667	overdominant	5.41 	NA	NA	NA
gnl.UG.Ssc.S35172294	7	93251213	overdominant	5.51 	18	20855084	20884021
gnl.UG.Ssc.S35164132	13	21056862	overdominant	5.42 	GL894284.2	84266	120275
gnl.UG.Ssc.S23212898	11	74827003	overdominant	5.71 	1	39594720	39595802
gnl.UG.Ssc.S39802929	6	144184031	overdominant	5.73 	NA	NA	NA
gnl.UG.Ssc.S23756754	4	79472865	dominant	7.41 	NA	NA	NA
gnl.UG.Ssc.S46879400	3	92014512	overdominant	5.39 	5	18948440	18952540
SPL01_0094_C11	11	6927024	overdominant	5.55 	3	11634918	11669064
MLN01_0033_E01	10	2870481	overdominant	5.55 	13	79390523	79408292
THY01_0053_D06	7	20917296	overdominant	5.45 	NA	NA	NA
gnl.UG.Ssc.S46875945	1	58339176	overdominant	5.39 	17	44384399	44414300
gnl.UG.Ssc.S18384881	1	288036346	overdominant	5.47 	7	86384372	86403987
gnl.UG.Ssc.S40978319	1	252151860	overdominant	5.39 	2	156291	161297
gnl.UG.Ssc.S17515108	11	66764035	overdominant	5.36 	NA	NA	NA
gnl.UG.Ssc.S29974909	8	73286056	overdominant	5.43 	NA	NA	NA
gnl.UG.Ssc.S24317996	1	31685020	overdominant	5.64 	15	104122882	104175081
gnl.UG.Ssc.S35170375	3	78944101	overdominant	5.54 	NA	NA	NA
SPL01_0083_D10	9	6244800	overdominant	5.35 	NA	NA	NA
gnl.UG.Ssc.S18378248	11	80694285	overdominant	5.38 	NA	NA	NA
gnl.UG.Ssc.S39983911	2	47117943	overdominant	5.56 	NA	NA	NA
THY01_0090_G10	7	4406736	overdominant	5.41 	17	65136536	65146713
gnl.UG.Ssc.S18291157	16	58545152	overdominant	5.43 	NA	NA	NA
gnl.UG.Ssc.S35166160	7	5073862	overdominant	5.70 	NA	NA	NA
gnl.UG.Ssc.S40391338	16	82487541	overdominant	5.37 	NA	NA	NA
gnl.UG.Ssc.S35172997	8	106508752	overdominant	5.45 	18	6107243	6143620
gnl.UG.Ssc.S35171360	6	4373781	overdominant	5.33 	6	13511296	13513055
gnl.UG.Ssc.S35174175	10	77623992	overdominant	5.38 	X	71117451	71117970
gnl.UG.Ssc.S31133600	7	992405	overdominant	5.35 	NA	NA	NA
gnl.UG.Ssc.S6055619	5	5995341	overdominant	5.33 	6	137259293	137316747
gnl.UG.Ssc.S26735265	5	75248430	overdominant	5.33 	NA	NA	NA
gnl.UG.Ssc.S29975107	16	82282400	overdominant	5.32 	NA	NA	NA
gnl.UG.Ssc.S17515303	12	24496991	partial-dominant	31.41 	12	23968530	23972991
gnl.UG.Ssc.S46876251	11	14630959	overdominant	5.45 	15	84972453	85014156
gnl.UG.Ssc.S15238694	4	9204694	overdominant	5.35 	NA	NA	NA
gnl.UG.Ssc.S18383637	9	136369976	overdominant	5.57 	NA	NA	NA
gnl.UG.Ssc.S26727939	15	26384045	overdominant	5.36 	NA	NA	NA
TCH01_0049_G06	9	48378678	overdominant	5.52 	8	12422474	12431639
gnl.UG.Ssc.S5985153	13	17111368	overdominant	5.75 	GL894040.1	21699	25372
THY01_0206_H07	1	244079211	overdominant	5.62 	14	109782799	109844276
gnl.UG.Ssc.S35172653	9	4014490	overdominant	5.55 	GL893226.1	113842	114990
THY01_0121_G10	14	134561404	overdominant	5.30 	NA	NA	NA
gnl.UG.Ssc.S6005332	6	127961520	overdominant	5.33 	NA	NA	NA
gnl.UG.Ssc.S40276387	2	86270240	overdominant	5.30 	12	18391607	18431381
gnl.UG.Ssc.S14900094	17	60545674	overdominant	5.33 	NA	NA	NA
gnl.UG.Ssc.S35168743	14	32650321	dominant	5.51 	NA	NA	NA
ADR01_0089_C08	18	9522823	overdominant	5.33 	3	41262670	41274628
gnl.UG.Ssc.S35166399	11	23815370	overdominant	5.95 	15	152264832	152286818
gnl.UG.Ssc.S35172521	15	82449386	overdominant	5.51 	NA	NA	NA
gnl.UG.Ssc.S46880973	8	139592943	overdominant	5.27 	1	267875444	267886719
gnl.UG.Ssc.S26395831	1	8531297	overdominant	5.28 	9	53830781	53907681
gnl.UG.Ssc.S35166033	2	2582104	overdominant	5.32 	3	16504924	16532546
gnl.UG.Ssc.S31107940	4	136331395	overdominant	5.44 	NA	NA	NA
gnl.UG.Ssc.S6089862	8	14946506	partial-dominant	52.46 	8	12329454	12351892
gnl.UG.Ssc.S31101663	4	109905911	overdominant	5.54 	NA	NA	NA
gnl.UG.Ssc.S19544549	3	20734853	overdominant	5.28 	8	130594675	130649857
gnl.UG.Ssc.S26718173	5	1722176	overdominant	5.36 	NA	NA	NA
gnl.UG.Ssc.S35331738	13	6582320	overdominant	5.26 	NA	NA	NA
SMG01_0091_A12	16	37448044	overdominant	5.91 	2	6939770	6942952
gnl.UG.Ssc.S40459425	1	19903791	overdominant	5.33 	10	48738286	48829185
gnl.UG.Ssc.S40171664	10	54839	overdominant	5.50 	NA	NA	NA
gnl.UG.Ssc.S23691163	17	32292040	overdominant	5.25 	NA	NA	NA
gnl.UG.Ssc.S23691864	6	75464653	overdominant	5.31 	NA	NA	NA
gnl.UG.Ssc.S35173837	15	65197141	overdominant	5.28 	15	87032975	87079679
ADR01_0093_B02	12	26289830	overdominant	5.25 	6	82337830	82348373
gnl.UG.Ssc.S35173907	6	72139678	overdominant	5.90 	18	37015611	37082916
gnl.UG.Ssc.S40430463	6	44351210	overdominant	6.13 	9	50701465	50745892
gnl.UG.Ssc.S46875952	1	23169763	overdominant	6.31 	NA	NA	NA
ADR01_0077_A09	1	302552307	overdominant	5.40 	NA	NA	NA
SPL01_0104_E10	8	107928428	overdominant	5.31 	GL896135.1	110	2309
gnl.UG.Ssc.S26396324	13	188700141	overdominant	5.50 	X	47784223	47810470
gnl.UG.Ssc.S46879652	10	67147687	overdominant	5.47 	4	92685722	92713628
gnl.UG.Ssc.S35173487	8	141906060	overdominant	5.27 	2	112579328	112614906
gnl.UG.Ssc.S6074772	17	64145544	overdominant	5.36 	NA	NA	NA
gnl.UG.Ssc.S26724389	15	21536579	overdominant	5.24 	NA	NA	NA
gnl.UG.Ssc.S29980750	16	51686047	overdominant	5.23 	NA	NA	NA
LNG01_0045_B11	1	31769330	overdominant	5.24 	NA	NA	NA
gnl.UG.Ssc.S35170629	1	252997864	overdominant	5.45 	2	147800960	147801928
UTR01_0031_G04	1	32601824	overdominant	5.42 	17	45431707	45457127
OVRM1_0211_D07	11	82923271	overdominant	5.58 	5	69219130	69394433
SMG01_0065_B09	6	134685885	overdominant	5.28 	NA	NA	NA
gnl.UG.Ssc.S17515303	2	12456588	overdominant	6.04 	12	23968530	23972991
gnl.UG.Ssc.S35167864	18	49673543	overdominant	8.96 	18	46675442	46768425
gnl.UG.Ssc.S34513999	7	19061593	overdominant	5.36 	GL894027.2	13540	64498
gnl.UG.Ssc.S35171245	13	156966095	overdominant	5.31 	7	29036552	29042147
ADR01_0016_B04	14	22171562	overdominant	5.49 	14	43959350	43986982
gnl.UG.Ssc.S18551640	9	105742262	overdominant	5.23 	14	82376236	82430844
gnl.UG.Ssc.S25095094	7	25215084	overdominant	5.23 	NA	NA	NA
gnl.UG.Ssc.S46879620	12	45246268	overdominant	5.28 	4	97178847	97183306
LVR01_0082_F12	10	61621550	overdominant	5.64 	12	39298344	39403816
gnl.UG.Ssc.S35169804	15	124145530	overdominant	5.34 	5	6490153	6494212
OVRM1_0110_C12	12	54699212	overdominant	5.35 	NA	NA	NA
gnl.UG.Ssc.S35169857	15	13833344	overdominant	5.21 	13	38039440	38041636
DCI01_0035_H03	1	45679931	partial-dominant	27.62 	NA	NA	NA
gnl.UG.Ssc.S23694635	1	84223593	overdominant	5.20 	NA	NA	NA
gnl.UG.Ssc.S6059023	1	293142185	overdominant	5.19 	NA	NA	NA
gnl.UG.Ssc.S6082166	4	139080993	overdominant	5.22 	NA	NA	NA
gnl.UG.Ssc.S18359512	15	154557138	overdominant	5.84 	12	44387557	44405332
UTR01_0105_F03	3	108469178	overdominant	5.19 	NA	NA	NA
gnl.UG.Ssc.S23762476	8	129287055	overdominant	5.24 	NA	NA	NA
gnl.UG.Ssc.S6063765	13	21999054	overdominant	5.21 	6	65937788	66016364
gnl.UG.Ssc.S23776610	14	122427131	overdominant	5.32 	NA	NA	NA
gnl.UG.Ssc.S35166016	1	250241920	overdominant	5.42 	3	9925863	9927499
gnl.UG.Ssc.S35170071	2	10286572	overdominant	5.30 	NA	NA	NA
gnl.UG.Ssc.S34530346	1	144006972	overdominant	5.37 	2	59195505	59212649
gnl.UG.Ssc.S39800017	7	127564283	overdominant	5.21 	NA	NA	NA
gnl.UG.Ssc.S29978805	4	13570127	overdominant	5.91 	NA	NA	NA
gnl.UG.Ssc.S35166526	6	68141010	overdominant	5.39 	13	131370850	131377493
gnl.UG.Ssc.S16350996	4	124599055	overdominant	5.19 	NA	NA	NA
gnl.UG.Ssc.S23699482	2	118635459	overdominant	5.55 	NA	NA	NA
gnl.UG.Ssc.S39772369	7	50260218	overdominant	5.31 	12	37386682	37434559
gnl.UG.Ssc.S35167795	8	32113980	overdominant	5.80 	3	61449509	61488277
gnl.UG.Ssc.S18384988	17	11203694	overdominant	5.23 	9	118217376	118236706
gnl.UG.Ssc.S40433116	18	16052831	overdominant	5.21 	NA	NA	NA
OVR01_0033_G04	18	2847696	overdominant	5.39 	NA	NA	NA
gnl.UG.Ssc.S16769569	4	38827175	overdominant	5.22 	NA	NA	NA
gnl.UG.Ssc.S46878619	18	48426310	overdominant	5.18 	7	83530031	83558527
gnl.UG.Ssc.S50180809	4	68299979	overdominant	5.25 	NA	NA	NA
gnl.UG.Ssc.S41576201	3	71708951	overdominant	5.40 	NA	NA	NA
gnl.UG.Ssc.S19549887	12	33982636	overdominant	5.75 	NA	NA	NA
gnl.UG.Ssc.S22277738	11	68927725	overdominant	5.23 	X	140009675	140070260
ADR01_0051_D09	7	94573223	partial-dominant	48.66 	NA	NA	NA
gnl.UG.Ssc.S19540354	4	140839709	overdominant	5.16 	NA	NA	NA
gnl.UG.Ssc.S35169661	14	149388611	overdominant	5.68 	11	3530444	3601260
gnl.UG.Ssc.S35172474	11	9156777	overdominant	5.40 	13	21193215	21240142
gnl.UG.Ssc.S46879577	1	227708485	overdominant	5.34 	4	40006392	40202274
gnl.UG.Ssc.S46879708	17	46957171	overdominant	5.17 	4	82506092	82518561
gnl.UG.Ssc.S35165872	16	13511743	overdominant	5.16 	4	117822828	117848382
gnl.UG.Ssc.S20116409	9	95952589	overdominant	5.16 	9	108068516	108551541
gnl.UG.Ssc.S39979313	3	28357285	overdominant	5.33 	NA	NA	NA
gnl.UG.Ssc.S16518117	6	131254700	overdominant	5.15 	6	49721684	49725897
gnl.UG.Ssc.S6088795	15	130599165	overdominant	5.14 	NA	NA	NA
gnl.UG.Ssc.S23759538	3	138503280	overdominant	5.14 	NA	NA	NA
gnl.UG.Ssc.S35170346	1	35387799	overdominant	5.22 	3	41124103	41132446
gnl.UG.Ssc.S35169668	9	17004309	overdominant	5.39 	9	7354090	7382435
gnl.UG.Ssc.S40184229	4	41613692	overdominant	5.15 	NA	NA	NA
gnl.UG.Ssc.S35173207	11	14689399	overdominant	5.41 	6	40777928	40779026
gnl.UG.Ssc.S46881256	1	298192996	overdominant	5.23 	NA	NA	NA
gnl.UG.Ssc.S35171879	4	74329795	overdominant	5.21 	NA	NA	NA
gnl.UG.Ssc.S35171453	5	93029076	overdominant	5.75 	NA	NA	NA
BKFL1_0034_D03	6	126174465	overdominant	5.63 	2	162170117	162186215
gnl.UG.Ssc.S40472168	15	27818243	overdominant	5.13 	NA	NA	NA
gnl.UG.Ssc.S35170051	11	80964804	overdominant	5.19 	1	204956631	204974124
gnl.UG.Ssc.S46879992	2	3958244	overdominant	5.61 	4	104700117	104761145
gnl.UG.Ssc.S35170090	11	60026383	overdominant	5.12 	X	51717062	51719461
gnl.UG.Ssc.S39809664	13	18244202	overdominant	5.10 	NA	NA	NA
gnl.UG.Ssc.S46877484	18	56497390	overdominant	5.16 	13	73271290	73278801
gnl.UG.Ssc.S18384867	11	6210518	overdominant	5.10 	NA	NA	NA
gnl.UG.Ssc.S17513877	5	99053897	overdominant	5.71 	NA	NA	NA
gnl.UG.Ssc.S40436485	12	15953277	overdominant	5.27 	NA	NA	NA
gnl.UG.Ssc.S46876697	7	95077435	overdominant	5.10 	14	35688333	35701411
gnl.UG.Ssc.S35164167	7	129856855	overdominant	5.19 	13	30992609	31029396
MLN01_0026_B06	6	142452858	overdominant	5.09 	NA	NA	NA
gnl.UG.Ssc.S35173319	11	67401150	overdominant	5.23 	13	192359274	192373116
gnl.UG.Ssc.S34505901	4	15259283	overdominant	5.16 	NA	NA	NA
gnl.UG.Ssc.S35164091	16	18536184	overdominant	5.12 	17	42143808	42150802
gnl.UG.Ssc.S39781560	1	184833146	overdominant	5.08 	NA	NA	NA
gnl.UG.Ssc.S35171141	4	131377049	overdominant	5.11 	NA	NA	NA
gnl.UG.Ssc.S34498248	18	22129853	overdominant	5.56 	NA	NA	NA
gnl.UG.Ssc.S38481364	1	59453638	overdominant	5.11 	8	82519524	82579225
gnl.UG.Ssc.S5993568	12	15315430	overdominant	5.12 	3	41033945	41079796
gnl.UG.Ssc.S29990650	9	41381817	overdominant	5.09 	14	150935646	151052955
gnl.UG.Ssc.S18551559	17	64366946	overdominant	5.11 	NA	NA	NA
gnl.UG.Ssc.S26724832	13	43350796	overdominant	5.07 	NA	NA	NA
gnl.UG.Ssc.S35168509	9	99702804	overdominant	5.34 	NA	NA	NA
gnl.UG.Ssc.S46876135	7	51082607	dominant	5.55 	15	71682577	71745410
