trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
gnl.UG.Ssc.S35172564	14	69045328	69045328-70922882	overdominant	NA	7.68 	6.86 
PBL01_0007_F05	6	18639561	17688765-18639561	partial-dominant	cis	7.57 	13.75 
gnl.UG.Ssc.S35170943	10	65438854	65438854-65718548	overdominant	trans	7.54 	7.22 
gnl.UG.Ssc.S31102047	3	109299266	109299266-109299266	overdominant	NA	7.45 	7.17 
gnl.UG.Ssc.S46877767	2	19206291	18328185-19206291	overdominant	trans	7.44 	6.63 
gnl.UG.Ssc.S40175258	6	41520004	41520004-41520004	overdominant	trans	7.42 	7.31 
gnl.UG.Ssc.S39836829	9	149938781	147742245-151898935	dominant	NA	7.41 	7.95 
gnl.UG.Ssc.S46877679	8	93139248	93139248-93139248	overdominant	trans	7.40 	6.69 
gnl.UG.Ssc.S35172940	5	104488085	104488085-104488085	overdominant	NA	7.36 	6.73 
gnl.UG.Ssc.S46878250	17	64830799	64830799-64830799	overdominant	trans	7.32 	6.58 
gnl.UG.Ssc.S31123750	9	13826057	13826057-13826057	dominant	NA	7.22 	32.58 
gnl.UG.Ssc.S41658109	9	62792510	62792510-121359360	overdominant	trans	7.21 	6.41 
gnl.UG.Ssc.S35164277	5	58178196	39588852-58178196	overdominant	trans	7.21 	6.37 
DCI01_0068_E12	18	41909499	39499943-41909499	overdominant	trans	7.18 	6.36 
gnl.UG.Ssc.S23763543	3	14296505	14296505-14296505	overdominant	trans	7.17 	6.34 
gnl.UG.Ssc.S34529606	2	10475248	10475248-10475248	overdominant	trans	7.17 	6.34 
DCI01_0076_C05	16	38700968	38700968-38700968	overdominant	NA	7.16 	6.44 
gnl.UG.Ssc.S23213250	5	23032447	22969678-28208992	overdominant	trans	7.16 	6.49 
gnl.UG.Ssc.S39967395	2	26235217	26235217-26235217	overdominant	trans	7.16 	6.64 
gnl.UG.Ssc.S35172455	17	30063721	30063721-30063721	dominant	cis	7.15 	38.73 
gnl.UG.Ssc.S17499579	3	133714877	133714877-133714877	overdominant	NA	7.14 	6.38 
gnl.UG.Ssc.S21631326	7	126067443	126067443-128174387	overdominant	NA	7.08 	6.49 
gnl.UG.Ssc.S18384308	13	18167411	16082398-40281260	overdominant	trans	7.07 	6.34 
OVR01_0042_C03	10	57044576	57044576-57044576	overdominant	trans	7.07 	6.24 
gnl.UG.Ssc.S18555750	3	32838997	32091276-33605451	partial-dominant	NA	7.06 	56.31 
gnl.UG.Ssc.S21107119	13	202689206	202689206-202689206	overdominant	NA	7.05 	6.37 
gnl.UG.Ssc.S27604166	6	143976085	139099898-150422204	overdominant	NA	7.02 	6.19 
MLN01_0059_A11	5	26815041	22969678-58402986	overdominant	NA	6.96 	6.47 
gnl.UG.Ssc.S40265193	9	19753580	17433040-22022847	overdominant	NA	6.96 	6.27 
gnl.UG.Ssc.S35166337	7	112327905	112327905-112327905	overdominant	NA	6.94 	6.22 
gnl.UG.Ssc.S34504774	8	146101319	145970149-148081003	overdominant	NA	6.93 	6.89 
gnl.UG.Ssc.S48368244	18	43266873	43266873-43266873	overdominant	NA	6.91 	6.12 
gnl.UG.Ssc.S46877354	13	7506446	6825145-10781844	overdominant	trans	6.90 	6.17 
gnl.UG.Ssc.S17524908	10	37609054	37609054-37635770	overdominant	NA	6.90 	6.39 
gnl.UG.Ssc.S46878463	7	42576292	42576292-42576292	partial-dominant	cis	6.87 	24.17 
LVRM1_0012_F08	11	75298434	75009361-75298434	overdominant	trans	6.86 	6.32 
gnl.UG.Ssc.S36038433	7	30314760	29771985-30327269	overdominant	trans	6.85 	6.23 
gnl.UG.Ssc.S40480073	9	105742262	105742262-105742262	overdominant	NA	6.81 	5.99 
gnl.UG.Ssc.S46875685	10	49454203	49454203-49454203	overdominant	trans	6.80 	6.06 
TCH01_0013_E11	12	60445548	60445548-60445548	overdominant	NA	6.80 	5.99 
gnl.UG.Ssc.S17502826	8	139770558	139770558-139770558	overdominant	NA	6.80 	6.05 
gnl.UG.Ssc.S22277516	8	41198162	41198162-41242759	partial-dominant	NA	6.78 	35.30 
SPL01_0034_C03	5	61046313	61046313-61046313	overdominant	trans	6.77 	5.97 
OVRM1_0070_G11	2	28864038	28864038-35319218	overdominant	trans	6.76 	6.01 
gnl.UG.Ssc.S34518195	9	28910116	24108843-36536908	overdominant	trans	6.76 	6.16 
gnl.UG.Ssc.S6667231	6	41520004	38501524-41520004	overdominant	trans	6.75 	6.15 
gnl.UG.Ssc.S35167642	15	22841929	22841929-22841929	overdominant	trans	6.75 	5.92 
gnl.UG.Ssc.S31105501	6	110689566	101085863-111605555	overdominant	NA	6.75 	5.94 
gnl.UG.Ssc.S23758444	13	32176224	32176224-32309148	overdominant	trans	6.71 	5.92 
gnl.UG.Ssc.S40155098	13	88881627	88881627-88881627	overdominant	NA	6.70 	6.04 
gnl.UG.Ssc.S40406997	11	87274981	87274981-87274981	overdominant	NA	6.69 	5.88 
gnl.UG.Ssc.S6077133	10	61583800	59776918-61631826	overdominant	trans	6.67 	5.85 
gnl.UG.Ssc.S6061185	15	31743477	31743477-31743477	overdominant	NA	6.63 	5.84 
gnl.UG.Ssc.S17527614	15	134984250	134984250-140324685	overdominant	NA	6.63 	5.98 
gnl.UG.Ssc.S46879719	8	76714854	34810760-76714854	overdominant	trans	6.61 	5.79 
gnl.UG.Ssc.S23701196	7	65257522	63460736-67250213	partial-dominant	cis	6.61 	33.44 
gnl.UG.Ssc.S23765987	7	93251213	93251213-127836927	overdominant	trans	6.61 	6.08 
gnl.UG.Ssc.S38481945	6	147886998	147886998-147886998	overdominant	NA	6.60 	6.24 
gnl.UG.Ssc.S23769808	18	11223850	10064157-14334075	overdominant	trans	6.60 	5.81 
gnl.UG.Ssc.S40478006	3	117067138	114269775-117527556	overdominant	trans	6.59 	5.94 
gnl.UG.Ssc.S18554615	12	15953277	15953277-15953277	overdominant	NA	6.59 	6.29 
gnl.UG.Ssc.S35165453	11	15826708	14196029-20826258	overdominant	trans	6.58 	5.91 
gnl.UG.Ssc.S46877214	1	50500358	48045213-65531824	overdominant	trans	6.57 	5.87 
gnl.UG.Ssc.S46879075	8	15408835	15408835-123346210	dominant	trans	6.56 	6.18 
gnl.UG.Ssc.S19544236	1	257954281	257954281-257954281	overdominant	NA	6.55 	6.07 
gnl.UG.Ssc.S23758906	6	108870601	108870601-108870601	overdominant	NA	6.55 	6.02 
gnl.UG.Ssc.S35171372	15	141057513	141057513-141057513	overdominant	trans	6.54 	5.86 
gnl.UG.Ssc.S35168137	14	150319623	144818166-153114220	overdominant	NA	6.52 	5.84 
LVRM1_0041_A02	15	133138277	133138277-133342361	overdominant	NA	6.51 	6.00 
gnl.UG.Ssc.S23758955	7	64909501	64909501-106890993	overdominant	trans	6.51 	5.86 
gnl.UG.Ssc.S18358331	2	2715091	2715091-6829568	overdominant	NA	6.51 	5.76 
PTG01_0019_H02	4	107959349	107959349-107959349	overdominant	trans	6.51 	5.81 
gnl.UG.Ssc.S46881210	18	11430257	11121298-14334075	overdominant	NA	6.50 	6.01 
gnl.UG.Ssc.S32392684	2	142373868	142373868-142849729	partial-dominant	cis	6.50 	42.23 
gnl.UG.Ssc.S46880124	4	101855077	101855077-101855077	partial-dominant	NA	6.49 	48.41 
gnl.UG.Ssc.S6081090	6	132543418	122732836-133682098	overdominant	NA	6.49 	5.69 
gnl.UG.Ssc.S39802929	15	129532439	35048496-129532439	overdominant	NA	6.49 	5.91 
gnl.UG.Ssc.S26650429	8	27843287	27009610-32113980	overdominant	NA	6.48 	5.70 
gnl.UG.Ssc.S35173945	13	103289372	103266554-103289372	overdominant	NA	6.46 	5.74 
gnl.UG.Ssc.S35165284	11	25547790	25547790-25547790	overdominant	trans	6.45 	5.64 
gnl.UG.Ssc.S18388281	4	76549679	76549679-76549679	overdominant	trans	6.45 	6.18 
PTG01_0076_C10	16	65821577	59756435-67411243	overdominant	NA	6.45 	5.95 
MLTL1_0032_E11	4	136802563	131377049-142053035	overdominant	NA	6.44 	6.04 
gnl.UG.Ssc.S31124488	2	10979357	9336636-10979357	overdominant	NA	6.43 	6.38 
gnl.UG.Ssc.S40218950	1	187458914	187458914-187458914	overdominant	trans	6.43 	5.61 
gnl.UG.Ssc.S23212994	9	147079835	146799282-151659207	overdominant	trans	6.43 	5.65 
gnl.UG.Ssc.S35171216	5	91801107	91801107-91801107	overdominant	NA	6.42 	6.86 
gnl.UG.Ssc.S35173985	7	128674508	128674508-128674508	overdominant	trans	6.42 	6.02 
gnl.UG.Ssc.S23760447	3	31835126	31517116-33818991	partial-dominant	cis	6.41 	35.87 
gnl.UG.Ssc.S35172079	14	3034421	246866-3793177	overdominant	trans	6.41 	5.69 
gnl.UG.Ssc.S18358007	8	105550345	83746076-107146070	overdominant	NA	6.41 	5.70 
gnl.UG.Ssc.S40150775	17	50302040	50152171-50302040	overdominant	NA	6.41 	5.61 
ADR01_0046_G06	8	145979013	18856058-148081003	overdominant	trans	6.41 	5.77 
gnl.UG.Ssc.S18382464	11	51044016	51044016-51704408	overdominant	NA	6.40 	6.60 
gnl.UG.Ssc.S46879075	1	223043310	183918598-223066633	overdominant	trans	6.40 	5.85 
gnl.UG.Ssc.S35166369	1	285851068	283099184-285851068	overdominant	NA	6.40 	5.60 
gnl.UG.Ssc.S47005444	7	30435355	30369805-102013846	overdominant	trans	6.39 	5.63 
gnl.UG.Ssc.S40064815	6	5592689	5592689-10041550	overdominant	NA	6.39 	5.58 
ADR01_0068_D04	11	86676975	86552038-86676975	overdominant	trans	6.39 	5.58 
gnl.UG.Ssc.S35170447	13	148090109	148090109-148090109	overdominant	trans	6.39 	5.83 
gnl.UG.Ssc.S46881207	9	153172073	153172073-153309010	overdominant	NA	6.39 	6.72 
gnl.UG.Ssc.S19550097	14	125978735	125978735-126543093	overdominant	trans	6.38 	5.66 
gnl.UG.Ssc.S35168404	6	151102532	41842283-152594579	overdominant	trans	6.38 	5.83 
gnl.UG.Ssc.S21631326	12	35017301	35017301-35017301	overdominant	NA	6.37 	5.64 
gnl.UG.Ssc.S19546082	5	91801107	91801107-91801107	overdominant	NA	6.37 	5.59 
PBL01_0014_A06	15	105166304	103012674-106595537	partial-dominant	cis	6.36 	41.91 
gnl.UG.Ssc.S31130713	10	53395551	47211791-53395551	overdominant	trans	6.35 	5.66 
OVR01_0006_E09	13	5362894	3644178-5362894	overdominant	NA	6.34 	5.65 
gnl.UG.Ssc.S16771004	2	41391662	40297275-41455130	overdominant	NA	6.33 	5.59 
gnl.UG.Ssc.S18283307	1	58339176	58339176-250374522	overdominant	trans	6.32 	5.54 
gnl.UG.Ssc.S23697277	15	132803704	132803704-132803704	overdominant	trans	6.32 	5.56 
gnl.UG.Ssc.S39797120	11	14630959	6927024-14630959	overdominant	trans	6.32 	5.54 
gnl.UG.Ssc.S35171040	6	37779571	37289180-38167884	overdominant	trans	6.32 	5.51 
gnl.UG.Ssc.S47626207	12	11915433	11161527-11915433	overdominant	NA	6.32 	5.51 
gnl.UG.Ssc.S35169944	5	7013047	5995341-83380222	overdominant	trans	6.31 	5.79 
gnl.UG.Ssc.S35173451	5	5995341	5995341-5995341	overdominant	NA	6.31 	5.80 
gnl.UG.Ssc.S26735430	12	37502410	37502410-44114283	overdominant	NA	6.31 	5.73 
gnl.UG.Ssc.S35173089	8	124371875	123346210-139592943	overdominant	trans	6.31 	5.51 
gnl.UG.Ssc.S18353762	3	139305792	139305792-139305792	overdominant	NA	6.30 	5.53 
gnl.UG.Ssc.S34498339	6	96365981	96365981-96365981	partial-dominant	NA	6.30 	41.81 
SPL01_0038_G05	6	21988030	21988030-21988030	overdominant	trans	6.29 	5.50 
gnl.UG.Ssc.S40216720	6	144070966	143137565-145457494	overdominant	trans	6.29 	5.60 
gnl.UG.Ssc.S17511429	9	38447487	27502835-38912997	overdominant	NA	6.29 	5.51 
gnl.UG.Ssc.S35169183	12	18182604	18182604-18182604	overdominant	trans	6.28 	5.66 
gnl.UG.Ssc.S35171239	15	144746875	144746875-144794450	overdominant	trans	6.28 	5.48 
gnl.UG.Ssc.S26723508	10	12978836	12978836-13144752	partial-dominant	cis	6.28 	61.63 
TCH01_0058_H04	9	66742756	61693406-94071916	overdominant	NA	6.28 	5.75 
LVRM1_0166_D04	11	4689240	4689240-23769494	overdominant	trans	6.28 	5.67 
gnl.UG.Ssc.S46875740	8	20094203	18689159-22130325	overdominant	trans	6.27 	5.59 
gnl.UG.Ssc.S46877911	11	85136926	82328383-86425847	overdominant	trans	6.27 	5.46 
gnl.UG.Ssc.S35325457	4	138123252	138123252-138933038	overdominant	NA	6.27 	5.55 
gnl.UG.Ssc.S35174222	13	61289053	50692278-82923130	overdominant	trans	6.27 	5.51 
gnl.UG.Ssc.S35166926	9	41060549	41060549-41060549	overdominant	trans	6.26 	6.25 
gnl.UG.Ssc.S17518772	7	1705011	1705011-1705011	overdominant	NA	6.26 	5.69 
gnl.UG.Ssc.S18547705	7	117272199	117272199-118912757	overdominant	NA	6.26 	5.66 
gnl.UG.Ssc.S35168877	13	116929203	116929203-158949120	overdominant	trans	6.25 	5.46 
gnl.UG.Ssc.S35169245	18	46199686	38620060-48022661	overdominant	trans	6.25 	5.63 
LNG01_0019_F01	2	141604068	141604068-141654819	overdominant	trans	6.25 	5.57 
gnl.UG.Ssc.S26721893	7	128891964	128891964-128891964	overdominant	NA	6.24 	5.49 
gnl.UG.Ssc.S18354763	3	98100280	98100280-98100280	overdominant	trans	6.24 	5.53 
gnl.UG.Ssc.S18358567	14	10716778	10716778-10716778	overdominant	NA	6.24 	5.50 
gnl.UG.Ssc.S6043657	11	20902453	20170154-20902453	overdominant	NA	6.24 	5.51 
gnl.UG.Ssc.S40040528	8	127777989	31085802-127777989	overdominant	NA	6.24 	5.54 
gnl.UG.Ssc.S35164233	14	111511025	111511025-115447844	overdominant	trans	6.23 	5.71 
PTG01_0023_B12	1	300771132	214290390-304383838	overdominant	trans	6.23 	5.42 
gnl.UG.Ssc.S23775437	15	57351718	31801332-122734781	overdominant	NA	6.22 	5.49 
gnl.UG.Ssc.S46875914	12	8894982	6882971-8894982	overdominant	trans	6.22 	5.54 
gnl.UG.Ssc.S35168088	13	35107691	34900991-37220929	overdominant	trans	6.21 	5.95 
gnl.UG.Ssc.S6090233	15	26347667	25518105-30153939	overdominant	NA	6.20 	5.41 
gnl.UG.Ssc.S35172294	7	93251213	51067100-95077435	overdominant	trans	6.20 	5.51 
gnl.UG.Ssc.S35164132	13	21056862	15785723-215163452	overdominant	trans	6.19 	5.42 
gnl.UG.Ssc.S23212898	11	74827003	74827003-74827003	overdominant	trans	6.18 	5.71 
gnl.UG.Ssc.S39802929	6	144184031	137315142-145721703	overdominant	NA	6.18 	5.73 
gnl.UG.Ssc.S23756754	4	79472865	78459865-79472865	dominant	NA	6.18 	7.41 
gnl.UG.Ssc.S46879400	3	92014512	92014512-92014512	overdominant	trans	6.18 	5.39 
SPL01_0094_C11	11	6927024	6927024-67422576	overdominant	trans	6.17 	5.55 
MLN01_0033_E01	10	2870481	2870481-2870481	overdominant	trans	6.17 	5.55 
THY01_0053_D06	7	20917296	18912470-48105743	overdominant	NA	6.17 	5.45 
gnl.UG.Ssc.S46875945	1	58339176	34510880-308294229	overdominant	trans	6.17 	5.39 
gnl.UG.Ssc.S18384881	1	288036346	288036346-288036346	overdominant	trans	6.16 	5.47 
gnl.UG.Ssc.S40978319	1	252151860	130083642-253382924	overdominant	trans	6.16 	5.39 
gnl.UG.Ssc.S17515108	11	66764035	66764035-66764035	overdominant	NA	6.16 	5.36 
gnl.UG.Ssc.S29974909	8	73286056	49000633-78168017	overdominant	NA	6.16 	5.43 
gnl.UG.Ssc.S24317996	1	31685020	31685020-34497061	overdominant	trans	6.16 	5.64 
gnl.UG.Ssc.S35170375	3	78944101	78944101-78944101	overdominant	NA	6.16 	5.54 
SPL01_0083_D10	9	6244800	6244800-6244800	overdominant	NA	6.15 	5.35 
gnl.UG.Ssc.S18378248	11	80694285	79415461-80774774	overdominant	NA	6.15 	5.38 
gnl.UG.Ssc.S39983911	2	47117943	42816595-47117943	overdominant	NA	6.15 	5.56 
THY01_0090_G10	7	4406736	4406736-5194125	overdominant	trans	6.15 	5.41 
gnl.UG.Ssc.S18291157	16	58545152	58545152-58545152	overdominant	NA	6.15 	5.43 
gnl.UG.Ssc.S35166160	7	5073862	1705011-9485821	overdominant	NA	6.14 	5.70 
gnl.UG.Ssc.S40391338	16	82487541	82487541-82766421	overdominant	NA	6.14 	5.37 
gnl.UG.Ssc.S35172997	8	106508752	32934099-116365109	overdominant	trans	6.14 	5.45 
gnl.UG.Ssc.S35171360	6	4373781	4373781-135768882	overdominant	trans	6.14 	5.33 
gnl.UG.Ssc.S35174175	10	77623992	51812251-77623992	overdominant	trans	6.13 	5.38 
gnl.UG.Ssc.S31133600	7	992405	992405-992405	overdominant	NA	6.13 	5.35 
gnl.UG.Ssc.S6055619	5	5995341	5995341-7013047	overdominant	trans	6.13 	5.33 
gnl.UG.Ssc.S26735265	5	75248430	73720920-75579482	overdominant	NA	6.13 	5.33 
gnl.UG.Ssc.S29975107	16	82282400	82282400-82282400	overdominant	NA	6.13 	5.32 
gnl.UG.Ssc.S17515303	12	24496991	24496991-24496991	partial-dominant	cis	6.12 	31.41 
gnl.UG.Ssc.S46876251	11	14630959	14630959-14630959	overdominant	trans	6.12 	5.45 
gnl.UG.Ssc.S15238694	4	9204694	9204694-9204694	overdominant	NA	6.12 	5.35 
gnl.UG.Ssc.S18383637	9	136369976	136369976-137157685	overdominant	NA	6.12 	5.57 
gnl.UG.Ssc.S26727939	15	26384045	26384045-31670677	overdominant	NA	6.12 	5.36 
TCH01_0049_G06	9	48378678	48378678-53063345	overdominant	trans	6.11 	5.52 
gnl.UG.Ssc.S5985153	13	17111368	16895174-17111368	overdominant	trans	6.11 	5.75 
THY01_0206_H07	1	244079211	236253649-244079211	overdominant	trans	6.11 	5.62 
gnl.UG.Ssc.S35172653	9	4014490	4014490-4014490	overdominant	trans	6.10 	5.55 
THY01_0121_G10	14	134561404	120210617-144775978	overdominant	NA	6.10 	5.30 
gnl.UG.Ssc.S6005332	6	127961520	127961520-127961520	overdominant	NA	6.10 	5.33 
gnl.UG.Ssc.S40276387	2	86270240	84850085-123469516	overdominant	trans	6.09 	5.30 
gnl.UG.Ssc.S14900094	17	60545674	13983032-60545674	overdominant	NA	6.09 	5.33 
gnl.UG.Ssc.S35168743	14	32650321	25501095-32650321	dominant	NA	6.08 	5.51 
ADR01_0089_C08	18	9522823	4068478-12578843	overdominant	trans	6.07 	5.33 
gnl.UG.Ssc.S35166399	11	23815370	23815370-23815370	overdominant	trans	6.07 	5.95 
gnl.UG.Ssc.S35172521	15	82449386	82449386-112258757	overdominant	NA	6.07 	5.51 
gnl.UG.Ssc.S46880973	8	139592943	15886903-140437302	overdominant	trans	6.07 	5.27 
gnl.UG.Ssc.S26395831	1	8531297	8531297-269037316	overdominant	trans	6.07 	5.28 
gnl.UG.Ssc.S35166033	2	2582104	2582104-2582104	overdominant	trans	6.07 	5.32 
gnl.UG.Ssc.S31107940	4	136331395	136331395-136331395	overdominant	NA	6.06 	5.44 
gnl.UG.Ssc.S6089862	8	14946506	12390177-14946506	partial-dominant	trans	6.06 	52.46 
gnl.UG.Ssc.S31101663	4	109905911	97993218-112290496	overdominant	NA	6.06 	5.54 
gnl.UG.Ssc.S19544549	3	20734853	20734853-20734853	overdominant	trans	6.06 	5.28 
gnl.UG.Ssc.S26718173	5	1722176	1722176-4517270	overdominant	NA	6.06 	5.36 
gnl.UG.Ssc.S35331738	13	6582320	6582320-6813244	overdominant	NA	6.05 	5.26 
SMG01_0091_A12	16	37448044	37448044-37448044	overdominant	trans	6.05 	5.91 
gnl.UG.Ssc.S40459425	1	19903791	19903791-19903791	overdominant	trans	6.05 	5.33 
gnl.UG.Ssc.S40171664	10	54839	54839-65922	overdominant	NA	6.05 	5.50 
gnl.UG.Ssc.S23691163	17	32292040	29684825-41586298	overdominant	NA	6.05 	5.25 
gnl.UG.Ssc.S23691864	6	75464653	56879701-75464653	overdominant	NA	6.04 	5.31 
gnl.UG.Ssc.S35173837	15	65197141	50464726-91003938	overdominant	trans	6.04 	5.28 
ADR01_0093_B02	12	26289830	24770970-27837406	overdominant	trans	6.04 	5.25 
gnl.UG.Ssc.S35173907	6	72139678	72139678-86558700	overdominant	trans	6.04 	5.90 
gnl.UG.Ssc.S40430463	6	44351210	34032969-44351210	overdominant	trans	6.04 	6.13 
gnl.UG.Ssc.S46875952	1	23169763	22774695-23222522	overdominant	NA	6.04 	6.31 
ADR01_0077_A09	1	302552307	163782468-302552307	overdominant	NA	6.04 	5.40 
SPL01_0104_E10	8	107928428	107928428-107928428	overdominant	trans	6.04 	5.31 
gnl.UG.Ssc.S26396324	13	188700141	22030419-188700141	overdominant	trans	6.04 	5.50 
gnl.UG.Ssc.S46879652	10	67147687	59266739-70551436	overdominant	trans	6.04 	5.47 
gnl.UG.Ssc.S35173487	8	141906060	141087154-141906060	overdominant	trans	6.04 	5.27 
gnl.UG.Ssc.S6074772	17	64145544	64145544-64145544	overdominant	NA	6.03 	5.36 
gnl.UG.Ssc.S26724389	15	21536579	14270957-157157857	overdominant	NA	6.03 	5.24 
gnl.UG.Ssc.S29980750	16	51686047	51686047-51686047	overdominant	NA	6.03 	5.23 
LNG01_0045_B11	1	31769330	24953606-34735325	overdominant	NA	6.03 	5.24 
gnl.UG.Ssc.S35170629	1	252997864	250523000-276982150	overdominant	trans	6.03 	5.45 
UTR01_0031_G04	1	32601824	26091832-32601824	overdominant	trans	6.03 	5.42 
OVRM1_0211_D07	11	82923271	82923271-82923271	overdominant	trans	6.03 	5.58 
SMG01_0065_B09	6	134685885	60933494-135089645	overdominant	NA	6.02 	5.28 
gnl.UG.Ssc.S17515303	2	12456588	12456588-12459648	overdominant	trans	6.02 	6.04 
gnl.UG.Ssc.S35167864	18	49673543	46721915-49892651	overdominant	trans	6.02 	8.96 
gnl.UG.Ssc.S34513999	7	19061593	19061593-22888270	overdominant	trans	6.02 	5.36 
gnl.UG.Ssc.S35171245	13	156966095	145732401-167022760	overdominant	trans	6.02 	5.31 
ADR01_0016_B04	14	22171562	10716778-33833169	overdominant	trans	6.01 	5.49 
gnl.UG.Ssc.S18551640	9	105742262	58287186-105742262	overdominant	trans	6.01 	5.23 
gnl.UG.Ssc.S25095094	7	25215084	25215084-25215084	overdominant	NA	6.00 	5.23 
gnl.UG.Ssc.S46879620	12	45246268	45246268-45246268	overdominant	trans	6.00 	5.28 
LVR01_0082_F12	10	61621550	61621550-61621550	overdominant	trans	6.00 	5.64 
gnl.UG.Ssc.S35169804	15	124145530	124145530-132129168	overdominant	trans	6.00 	5.34 
OVRM1_0110_C12	12	54699212	54699212-54699212	overdominant	NA	5.99 	5.35 
gnl.UG.Ssc.S35169857	15	13833344	4107382-16718985	overdominant	trans	5.99 	5.21 
DCI01_0035_H03	1	45679931	45679931-45972929	partial-dominant	NA	5.99 	27.62 
gnl.UG.Ssc.S23694635	1	84223593	84223593-84223593	overdominant	NA	5.99 	5.20 
gnl.UG.Ssc.S6059023	1	293142185	293060955-302595485	overdominant	NA	5.99 	5.19 
gnl.UG.Ssc.S6082166	4	139080993	138575812-139080993	overdominant	NA	5.99 	5.22 
gnl.UG.Ssc.S18359512	15	154557138	154285911-154557138	overdominant	trans	5.99 	5.84 
UTR01_0105_F03	3	108469178	101510973-108469178	overdominant	NA	5.98 	5.19 
gnl.UG.Ssc.S23762476	8	129287055	119985447-133774505	overdominant	NA	5.98 	5.24 
gnl.UG.Ssc.S6063765	13	21999054	20895731-23407186	overdominant	trans	5.98 	5.21 
gnl.UG.Ssc.S23776610	14	122427131	122427131-126359719	overdominant	NA	5.98 	5.32 
gnl.UG.Ssc.S35166016	1	250241920	210893208-256182593	overdominant	trans	5.98 	5.42 
gnl.UG.Ssc.S35170071	2	10286572	9575182-10286572	overdominant	NA	5.98 	5.30 
gnl.UG.Ssc.S34530346	1	144006972	136639460-202780349	overdominant	trans	5.97 	5.37 
gnl.UG.Ssc.S39800017	7	127564283	124826895-131336733	overdominant	NA	5.97 	5.21 
gnl.UG.Ssc.S29978805	4	13570127	13570127-13581654	overdominant	NA	5.97 	5.91 
gnl.UG.Ssc.S35166526	6	68141010	68141010-93287207	overdominant	trans	5.97 	5.39 
gnl.UG.Ssc.S16350996	4	124599055	21289105-133429382	overdominant	NA	5.97 	5.19 
gnl.UG.Ssc.S23699482	2	118635459	41011761-133825951	overdominant	NA	5.97 	5.55 
gnl.UG.Ssc.S39772369	7	50260218	20287356-125147818	overdominant	trans	5.97 	5.31 
gnl.UG.Ssc.S35167795	8	32113980	32113980-34810760	overdominant	trans	5.97 	5.80 
gnl.UG.Ssc.S18384988	17	11203694	3960816-12188041	overdominant	trans	5.97 	5.23 
gnl.UG.Ssc.S40433116	18	16052831	12083034-41909499	overdominant	NA	5.97 	5.21 
OVR01_0033_G04	18	2847696	2676317-14122641	overdominant	NA	5.96 	5.39 
gnl.UG.Ssc.S16769569	4	38827175	38827175-129654867	overdominant	NA	5.96 	5.22 
gnl.UG.Ssc.S46878619	18	48426310	47530323-48941351	overdominant	trans	5.96 	5.18 
gnl.UG.Ssc.S50180809	4	68299979	21697061-68299979	overdominant	NA	5.96 	5.25 
gnl.UG.Ssc.S41576201	3	71708951	49619063-71708951	overdominant	NA	5.96 	5.40 
gnl.UG.Ssc.S19549887	12	33982636	33982636-40115667	overdominant	NA	5.96 	5.75 
gnl.UG.Ssc.S22277738	11	68927725	66901762-73922396	overdominant	trans	5.96 	5.23 
ADR01_0051_D09	7	94573223	94573223-94573223	partial-dominant	NA	5.96 	48.66 
