trait	chr	pos	CI_logP	eQTL_Type	cis_trans	logP_AD_A	logP_AD
gnl.UG.Ssc.S43001573	9	13427965	13427965-22022847	overdominant	trans	6.19 	5.78 
gnl.UG.Ssc.S35167534	2	131110385	128269275-131110385	overdominant	NA	6.19 	5.42 
gnl.UG.Ssc.S40314380	14	151993696	151196419-153244381	overdominant	trans	6.19 	5.38 
gnl.UG.Ssc.S18550168	17	36746539	36452504-39242076	overdominant	trans	6.18 	5.62 
gnl.UG.Ssc.S18356820	13	212011618	212011618-212011618	overdominant	NA	6.18 	5.38 
gnl.UG.Ssc.S35167357	3	77889376	67286865-77889376	overdominant	NA	6.18 	5.38 
gnl.UG.Ssc.S35172901	16	20946205	20946205-23116999	overdominant	trans	6.18 	5.37 
OVRM1_0045_A12	14	2789202	1095110-2789202	overdominant	NA	6.18 	5.41 
TCH01_0093_A06	6	144303289	38529067-145597231	overdominant	NA	6.17 	5.44 
gnl.UG.Ssc.S23212936	1	9790092	9485275-116134872	overdominant	trans	6.17 	5.37 
gnl.UG.Ssc.S39778593	6	24530069	24530069-24530069	overdominant	NA	6.17 	6.36 
gnl.UG.Ssc.S35167831	13	199825643	199825643-203251297	overdominant	trans	6.16 	5.45 
AMP01_0011_F03	10	17728474	16908101-17728474	overdominant	trans	6.16 	5.80 
gnl.UG.Ssc.S40100108	7	88666002	88552121-88666002	overdominant	trans	6.16 	5.76 
gnl.UG.Ssc.S23212991	1	223868174	223868174-223868174	overdominant	NA	6.16 	5.40 
gnl.UG.Ssc.S16766785	4	118708071	118708071-118708071	overdominant	trans	6.15 	5.77 
gnl.UG.Ssc.S35168059	15	2964759	2964759-20822599	overdominant	trans	6.15 	5.34 
gnl.UG.Ssc.S26719136	1	280118556	270243385-280566104	overdominant	NA	6.14 	5.63 
OVRM1_0065_E07	9	142901191	133614745-145508002	overdominant	NA	6.14 	5.49 
gnl.UG.Ssc.S23696826	11	16554877	16046333-21082412	overdominant	trans	6.13 	5.37 
gnl.UG.Ssc.S46916719	2	154368139	153685013-154394464	overdominant	trans	6.13 	5.45 
gnl.UG.Ssc.S35165649	4	10645620	10645620-10645620	overdominant	trans	6.13 	5.38 
gnl.UG.Ssc.S18359664	9	37031308	37031308-37031308	overdominant	NA	6.12 	5.66 
gnl.UG.Ssc.S18267174	11	10497125	10497125-10497125	overdominant	trans	6.12 	5.44 
gnl.UG.Ssc.S18553537	9	62460346	62460346-65049755	overdominant	NA	6.12 	5.55 
gnl.UG.Ssc.S40440234	8	6326885	6326885-6326885	overdominant	NA	6.12 	5.32 
gnl.UG.Ssc.S18547109	16	74874003	74053569-79354841	overdominant	trans	6.11 	5.37 
MLTL1_0013_E05	15	38440062	38440062-38440062	overdominant	trans	6.11 	8.78 
gnl.UG.Ssc.S35172986	9	26278484	24381594-26278484	overdominant	trans	6.11 	5.48 
gnl.UG.Ssc.S18551314	10	69214587	54371769-69214587	overdominant	trans	6.10 	5.61 
gnl.UG.Ssc.S40436538	1	294332468	86039177-294332468	overdominant	NA	6.10 	5.30 
gnl.UG.Ssc.S23213416	9	32393418	32393418-32393418	overdominant	trans	6.10 	5.41 
gnl.UG.Ssc.S40207318	4	29678208	29546854-94810321	overdominant	NA	6.10 	5.50 
gnl.UG.Ssc.S35169690	15	110027027	88382209-110027027	overdominant	trans	6.10 	5.40 
TCH01_0063_F08	1	27547932	22131174-30962276	overdominant	NA	6.09 	5.48 
LVR01_0048_C07	3	134008198	132300493-142329763	overdominant	trans	6.09 	5.35 
gnl.UG.Ssc.S40158595	11	53280614	31405855-53280614	overdominant	trans	6.09 	5.32 
gnl.UG.Ssc.S40430340	10	15686329	15686329-43045138	overdominant	trans	6.09 	5.37 
SKNB1_0035_H02	12	52546361	52546361-52546361	overdominant	NA	6.09 	5.50 
gnl.UG.Ssc.S18549419	14	84208879	84208879-84208879	overdominant	trans	6.09 	5.29 
gnl.UG.Ssc.S40202470	18	28657517	28657517-28657517	overdominant	NA	6.09 	6.01 
gnl.UG.Ssc.S48853664	16	6704866	6704866-8266032	overdominant	NA	6.09 	5.43 
gnl.UG.Ssc.S18382551	11	79494345	79256053-82289737	overdominant	trans	6.08 	5.77 
gnl.UG.Ssc.S26713572	16	5379864	4364401-6115373	overdominant	NA	6.08 	5.43 
gnl.UG.Ssc.S35170221	3	119029995	83365626-125648737	overdominant	NA	6.08 	5.89 
ADR01_0084_D06	15	40592400	233259-40592400	overdominant	trans	6.08 	5.30 
gnl.UG.Ssc.S40327108	11	83901933	83537428-84452512	overdominant	trans	6.08 	5.74 
gnl.UG.Ssc.S16769028	11	34245272	32387558-34355979	overdominant	trans	6.07 	5.66 
gnl.UG.Ssc.S19542661	3	21309417	21309417-21309417	overdominant	trans	6.07 	20.30 
gnl.UG.Ssc.S23213000	7	51082607	51082607-51082607	overdominant	trans	6.07 	5.54 
gnl.UG.Ssc.S18548738	4	65331655	65331655-66364351	overdominant	NA	6.07 	5.39 
gnl.UG.Ssc.S35169656	14	40248131	22315540-40248131	overdominant	trans	6.07 	5.31 
ADR01_0090_A05	7	89255863	83540027-99096247	overdominant	NA	6.06 	5.29 
gnl.UG.Ssc.S6007053	7	101500800	101500800-101500800	overdominant	NA	6.06 	5.27 
gnl.UG.Ssc.S6082078	10	48866899	48866899-48866899	overdominant	trans	6.06 	5.27 
gnl.UG.Ssc.S6077645	18	28336837	28336837-31686712	overdominant	trans	6.05 	5.35 
gnl.UG.Ssc.S35167454	16	82425544	82425544-82766421	overdominant	NA	6.05 	5.69 
TCH01_0053_G10	5	66454607	63334293-67602407	overdominant	NA	6.05 	5.31 
gnl.UG.Ssc.S18388028	3	141033116	140766546-141033116	overdominant	trans	6.04 	5.64 
gnl.UG.Ssc.S18385764	1	120894943	104737330-120894943	overdominant	NA	6.03 	5.25 
gnl.UG.Ssc.S6025281	16	7471376	3699072-14664283	overdominant	trans	6.03 	5.37 
gnl.UG.Ssc.S35170600	4	16481739	16481739-49538645	overdominant	trans	6.03 	5.33 
LNG01_0069_H10	9	145701788	145701788-145701788	overdominant	trans	6.03 	5.30 
gnl.UG.Ssc.S46878914	1	223868174	223868174-223868174	overdominant	trans	6.03 	5.23 
gnl.UG.Ssc.S46878914	15	7998827	7711069-13727587	overdominant	trans	6.03 	5.23 
gnl.UG.Ssc.S46877484	10	9127184	8641431-9127184	overdominant	trans	6.02 	5.99 
gnl.UG.Ssc.S16763207	13	58873140	58873140-58873140	overdominant	NA	6.02 	5.23 
gnl.UG.Ssc.S46877072	7	128937235	128548034-131372453	overdominant	trans	6.02 	5.32 
gnl.UG.Ssc.S40582147	1	210278501	53691684-231612894	overdominant	NA	6.02 	5.24 
gnl.UG.Ssc.S23213328	1	12827441	12827441-12827441	overdominant	trans	6.02 	5.43 
gnl.UG.Ssc.S26710606	15	33549017	33407774-35588121	overdominant	trans	6.02 	7.34 
gnl.UG.Ssc.S35173504	9	67492313	67492313-71767912	overdominant	NA	6.01 	5.43 
gnl.UG.Ssc.S46877554	3	91605127	91605127-91605127	overdominant	trans	6.01 	5.28 
gnl.UG.Ssc.S18549331	3	99588523	99588523-99588523	overdominant	NA	6.01 	5.51 
gnl.UG.Ssc.S46877035	14	95961878	93791750-97122902	partial-dominant	NA	6.01 	26.85 
gnl.UG.Ssc.S46877624	10	51570192	17075628-52208126	overdominant	NA	6.01 	5.39 
gnl.UG.Ssc.S22312491	1	281901852	281901852-282549258	overdominant	NA	6.01 	5.65 
gnl.UG.Ssc.S40210998	1	215283848	12868209-215283848	overdominant	NA	6.01 	5.22 
gnl.UG.Ssc.S46876712	4	17618429	17618429-17618429	overdominant	trans	6.01 	5.21 
gnl.UG.Ssc.S18385985	4	109952275	109952275-110059745	overdominant	NA	6.00 	5.42 
THY01_0003_B09	3	128270302	53003881-128270302	overdominant	NA	6.00 	5.46 
gnl.UG.Ssc.S35166194	5	18067021	13000041-18067021	overdominant	trans	6.00 	5.38 
gnl.UG.Ssc.S35167557	15	131255295	129798464-131539709	overdominant	trans	6.00 	5.25 
gnl.UG.Ssc.S21579436	4	15209772	15209772-15347124	dominant	NA	6.00 	6.20 
gnl.UG.Ssc.S35171903	14	144296755	144296755-144296755	overdominant	trans	6.00 	5.20 
gnl.UG.Ssc.S19546595	4	36861096	32960684-37092369	overdominant	trans	6.00 	5.43 
gnl.UG.Ssc.S40476691	15	7398645	7398645-7398645	overdominant	trans	6.00 	5.49 
gnl.UG.Ssc.S35164839	3	111922025	111922025-111922025	overdominant	trans	5.99 	6.34 
LVRM1_0156_A12	10	8125532	8068489-8145516	overdominant	trans	5.99 	5.54 
gnl.UG.Ssc.S35165042	16	25164268	25164268-33672880	overdominant	NA	5.98 	5.83 
gnl.UG.Ssc.S31108938	9	35612194	29982654-43178915	overdominant	NA	5.98 	5.44 
gnl.UG.Ssc.S6061935	6	10024253	10024253-10024253	overdominant	NA	5.98 	6.08 
gnl.UG.Ssc.S46876899	16	20308650	19256933-46066010	overdominant	trans	5.98 	5.23 
gnl.UG.Ssc.S35173622	7	128332138	5677993-128371779	overdominant	trans	5.97 	5.20 
gnl.UG.Ssc.S46880029	13	139998680	139998680-139998680	overdominant	NA	5.97 	6.60 
gnl.UG.Ssc.S46880456	1	120908439	120908439-120908439	overdominant	trans	5.97 	5.26 
gnl.UG.Ssc.S18303920	6	8402621	4778689-14521114	overdominant	NA	5.97 	5.19 
gnl.UG.Ssc.S48803428	4	66381089	66089889-66381089	overdominant	trans	5.97 	8.07 
gnl.UG.Ssc.S35166940	11	8505201	8453297-10275504	overdominant	NA	5.97 	5.88 
gnl.UG.Ssc.S46879050	13	107131634	107131634-123782540	overdominant	trans	5.96 	5.64 
gnl.UG.Ssc.S35168521	7	13386409	13386409-13386409	overdominant	trans	5.96 	5.49 
TCH01_0003_B05	17	66843791	62556386-66858045	overdominant	NA	5.95 	5.24 
gnl.UG.Ssc.S39959416	10	37080923	37080923-43471501	overdominant	trans	5.95 	5.78 
gnl.UG.Ssc.S35173108	9	71634723	51792077-94071916	overdominant	trans	5.95 	5.22 
ITT01_0039_E03	2	42087181	42074499-42739676	overdominant	NA	5.95 	5.36 
gnl.UG.Ssc.S19543418	13	488418	488418-488418	dominant	NA	5.94 	5.75 
OVR01_0015_H07	9	108348177	108348177-108348177	overdominant	NA	5.94 	5.17 
gnl.UG.Ssc.S46876041	17	30203358	30203358-30670293	partial-dominant	cis	5.94 	53.06 
gnl.UG.Ssc.S20116197	15	131375223	122734781-131375223	overdominant	trans	5.94 	5.18 
ADR01_0080_H04	4	133757002	116260443-139772782	overdominant	NA	5.94 	5.22 
gnl.UG.Ssc.S23769348	16	84080602	82492625-84330710	overdominant	NA	5.94 	5.15 
gnl.UG.Ssc.S46881204	2	141970187	141970187-141970187	overdominant	trans	5.93 	5.35 
LVRM1_0075_E09	17	25600780	25600780-27274308	dominant	NA	5.93 	5.34 
gnl.UG.Ssc.S18383758	8	142347846	142347846-142347892	overdominant	NA	5.93 	5.24 
gnl.UG.Ssc.S46878714	2	18337627	18337627-18337627	overdominant	trans	5.93 	5.18 
gnl.UG.Ssc.S35167700	11	11590497	10641569-15728936	overdominant	trans	5.93 	5.39 
gnl.UG.Ssc.S19543678	11	18175690	16173455-21520020	overdominant	NA	5.92 	5.43 
gnl.UG.Ssc.S18546604	11	7051629	5433946-9895994	overdominant	trans	5.92 	5.70 
gnl.UG.Ssc.S35168201	2	121270572	121270572-121270572	overdominant	NA	5.92 	5.25 
gnl.UG.Ssc.S46876772	1	71383687	59711534-71383687	overdominant	trans	5.92 	5.25 
gnl.UG.Ssc.S49953839	7	53210700	49584113-53210700	overdominant	trans	5.92 	5.31 
gnl.UG.Ssc.S46878628	2	145884600	144899141-150370400	overdominant	trans	5.92 	5.17 
